algorithm,params,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,W-accuracy,H-accuracy,B-accuracy,Race-accuracy,H-accuracy_over_W-accuracy,B-accuracy_over_W-accuracy,Race-accuracyRatio,diff:W-accuracytoH-accuracy,diff:W-accuracytoB-accuracy,Race-accuracyDiff,W-TPR,H-TPR,B-TPR,Race-TPR,H-TPR_over_W-TPR,B-TPR_over_W-TPR,Race-TPRRatio,diff:W-TPRtoH-TPR,diff:W-TPRtoB-TPR,Race-TPRDiff,W-TNR,H-TNR,B-TNR,Race-TNR,H-TNR_over_W-TNR,B-TNR_over_W-TNR,Race-TNRRatio,diff:W-TNRtoH-TNR,diff:W-TNRtoB-TNR,Race-TNRDiff,W-FPR,H-FPR,B-FPR,Race-FPR,H-FPR_over_W-FPR,B-FPR_over_W-FPR,Race-FPRRatio,diff:W-FPRtoH-FPR,diff:W-FPRtoB-FPR,Race-FPRDiff,W-FNR,H-FNR,B-FNR,Race-FNR,H-FNR_over_W-FNR,B-FNR_over_W-FNR,Race-FNRRatio,diff:W-FNRtoH-FNR,diff:W-FNRtoB-FNR,Race-FNRDiff,W-calibration+,H-calibration+,B-calibration+,Race-calibration+,H-calibration+_over_W-calibration+,B-calibration+_over_W-calibration+,Race-calibration+Ratio,diff:W-calibration+toH-calibration+,diff:W-calibration+toB-calibration+,Race-calibration+Diff,W-calibration-,H-calibration-,B-calibration-,Race-calibration-,H-calibration-_over_W-calibration-,B-calibration-_over_W-calibration-,Race-calibration-Ratio,diff:W-calibration-toH-calibration-,diff:W-calibration-toB-calibration-,Race-calibration-Diff
SVM,,0.74358974359,0.928571428571,0.64,0.784285714286,0.550026042859,0.6696428571428571,0.6510416666666666,0.7885714285714285,0.72,0.833333333333,0.75,0.767777777778,1.15740740741,1.04166666667,1.09953703704,1.11333333333,1.03,1.07166666667,0.909090909091,1.0,1.0,0.969696969697,1.1,1.1,1.1,1.09090909091,1.09090909091,1.09090909091,0.571428571429,0.8,0.666666666667,0.679365079365,1.4,1.16666666667,1.28333333333,1.22857142857,1.09523809524,1.1619047619,0.428571428571,0.2,0.333333333333,0.320634920635,0.466666666667,0.777777777778,0.622222222222,0.771428571429,0.904761904762,0.838095238095,0.0909090909091,0.0,0.0,0.030303030303,0.0,0.0,1.0,0.909090909091,0.909090909091,0.909090909091,0.625,0.5,0.5,0.5416666666666666,0.8,0.8,0.8,0.875,0.875,0.875,0.1111111111111111,0.0,0.0,0.037037037037037035,0.0,0.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
SVM,,0.615384615385,0.391304347826,0.9375,0.664402173913,0.370392736984,0.9642857142857143,0.9642857142857143,0.9907407407407407,0.555555555556,1.0,0.625,0.726851851852,1.8,1.125,1.4625,1.44444444444,1.06944444444,1.25694444444,0.352941176471,1.0,0.4,0.58431372549,2.83333333333,1.13333333333,1.98333333333,1.64705882353,1.04705882353,1.34705882353,0.9,1.0,1.0,0.966666666667,1.11111111111,1.11111111111,1.11111111111,1.1,1.1,1.1,0.1,0.0,0.0,0.0333333333333,0.0,0.0,1.0,0.9,0.9,0.9,0.647058823529,0.0,0.6,0.41568627451,0.0,0.927272727273,0.463636363636,0.352941176471,0.952941176471,0.652941176471,0.8571428571428571,1.0,1.0,0.9523809523809524,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,1.1428571428571428,0.55,0.0,0.5,0.35000000000000003,0.0,0.9090909090909091,0.45454545454545453,0.44999999999999996,0.95,0.7
SVM,,0.769230769231,0.55,1.0,0.775,0.610912666192,1.1979166666666667,1.2473544973544972,1.0516304347826086,0.739130434783,0.888888888889,0.714285714286,0.780768345986,1.20261437908,0.966386554622,1.08450046685,1.14975845411,0.975155279503,1.0624568668,0.5,0.666666666667,0.6,0.588888888889,1.33333333333,1.2,1.26666666667,1.16666666667,1.1,1.13333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.333333333333,0.4,0.411111111111,0.666666666667,0.8,0.733333333333,0.833333333333,0.9,0.866666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35294117647058826,0.14285714285714285,0.5,0.3319327731092437,0.4047619047619047,1.4166666666666665,0.9107142857142856,0.7899159663865546,1.1470588235294117,0.9684873949579831
SVM,,0.641025641026,0.416666666667,1.0,0.708333333333,0.464238345443,0.8571428571428572,0.6964285714285715,0.9615384615384616,0.576923076923,1.0,0.625,0.733974358974,1.73333333333,1.08333333333,1.40833333333,1.42307692308,1.04807692308,1.23557692308,0.388888888889,0.0,0.5,0.296296296296,0.0,1.28571428571,0.642857142857,0.611111111111,1.11111111111,0.861111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.611111111111,1.0,0.5,0.703703703704,1.63636363636,0.818181818182,1.22727272727,1.38888888889,0.888888888889,1.13888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5789473684210527,0.0,0.6,0.39298245614035093,0.0,1.0363636363636364,0.5181818181818182,0.42105263157894735,1.0210526315789474,0.7210526315789474
SVM,,0.769230769231,0.55,1.0,0.775,0.610912666192,1.1979166666666667,1.2138888888888888,1.0516304347826086,0.652173913043,0.9,1.0,0.850724637681,1.38,1.53333333333,1.45666666667,1.24782608696,1.34782608696,1.29782608696,0.428571428571,0.75,1.0,0.72619047619,1.75,2.33333333333,2.04166666667,1.32142857143,1.57142857143,1.44642857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.571428571429,0.25,0.0,0.27380952381,0.4375,0.0,0.21875,0.678571428571,0.428571428571,0.553571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47058823529411764,0.14285714285714285,0.0,0.20448179271708686,0.30357142857142855,0.0,0.15178571428571427,0.6722689075630253,0.5294117647058824,0.6008403361344539
SVM,,0.846153846154,0.666666666667,1.0,0.833333333333,0.720082299823,0.13068181818181818,0.11616161616161615,0.5842391304347826,0.826086956522,1.0,0.777777777778,0.867954911433,1.21052631579,0.941520467836,1.07602339181,1.17391304348,0.951690821256,1.06280193237,0.733333333333,0.0,0.333333333333,0.355555555556,0.0,0.454545454545,0.227272727273,0.266666666667,0.6,0.433333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.266666666667,1.0,0.666666666667,0.644444444444,3.75,2.5,3.125,1.73333333333,1.4,1.56666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.25,0.19444444444444442,0.0,0.75,0.375,0.6666666666666667,0.9166666666666667,0.7916666666666667
SVM,,0.794871794872,0.933333333333,0.708333333333,0.820833333333,0.626202546809,0.7963800904977375,0.7435897435897435,0.8796791443850267,0.818181818182,1.0,0.636363636364,0.818181818182,1.22222222222,0.777777777778,1.0,1.18181818182,0.818181818182,1.0,0.909090909091,1.0,1.0,0.969696969697,1.1,1.1,1.1,1.09090909091,1.09090909091,1.09090909091,0.727272727273,1.0,0.555555555556,0.760942760943,1.375,0.763888888889,1.06944444444,1.27272727273,0.828282828283,1.05050505051,0.272727272727,0.0,0.444444444444,0.239057239057,0.0,1.62962962963,0.814814814815,0.727272727273,1.17171717172,0.949494949495,0.0909090909091,0.0,0.0,0.030303030303,0.0,0.0,1.0,0.909090909091,0.909090909091,0.909090909091,0.7692307692307693,1.0,0.3333333333333333,0.7008547008547009,1.2999999999999998,0.4333333333333333,0.8666666666666666,1.2307692307692308,0.5641025641025641,0.8974358974358975,0.1111111111111111,0.0,0.0,0.037037037037037035,0.0,0.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
SVM,,0.615384615385,0.333333333333,0.944444444444,0.638888888889,0.34293953823,1.1666666666666667,1.246875,1.0317460317460316,0.428571428571,1.0,0.7,0.709523809524,2.33333333333,1.63333333333,1.98333333333,1.57142857143,1.27142857143,1.42142857143,0.214285714286,1.0,0.25,0.488095238095,4.66666666667,1.16666666667,2.91666666667,1.78571428571,1.03571428571,1.41071428571,0.857142857143,1.0,1.0,0.952380952381,1.16666666667,1.16666666667,1.16666666667,1.14285714286,1.14285714286,1.14285714286,0.142857142857,0.0,0.0,0.047619047619,0.0,0.0,1.0,0.857142857143,0.857142857143,0.857142857143,0.785714285714,0.0,0.75,0.511904761905,0.0,0.954545454545,0.477272727273,0.214285714286,0.964285714286,0.589285714286,0.75,1.0,1.0,0.9166666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.25,1.25,1.25,0.6470588235294118,0.0,0.3333333333333333,0.32679738562091504,0.0,0.5151515151515151,0.25757575757575757,0.3529411764705882,0.6862745098039216,0.5196078431372548
SVM,,0.74358974359,0.5,1.0,0.75,0.572351471472,0.37037037037037035,0.5555555555555556,0.8111111111111111,0.666666666667,1.0,1.0,0.888888888889,1.5,1.5,1.5,1.33333333333,1.33333333333,1.33333333333,0.473684210526,0.0,1.0,0.491228070175,0.0,2.11111111111,1.05555555556,0.526315789474,1.52631578947,1.02631578947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.526315789474,1.0,0.0,0.508771929825,1.9,0.0,0.95,1.47368421053,0.473684210526,0.973684210526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47619047619047616,0.0,0.0,0.15873015873015872,0.0,0.0,1.0,0.5238095238095238,0.5238095238095238,0.5238095238095238
SVM,,0.871794871795,0.722222222222,1.0,0.861111111111,0.763762615826,0.6388888888888888,0.6084656084656084,0.8586956521739131,0.782608695652,1.0,1.0,0.927536231884,1.27777777778,1.27777777778,1.27777777778,1.21739130435,1.21739130435,1.21739130435,0.642857142857,1.0,1.0,0.880952380952,1.55555555556,1.55555555556,1.55555555556,1.35714285714,1.35714285714,1.35714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.357142857143,0.0,0.0,0.119047619048,0.0,0.0,1.0,0.642857142857,0.642857142857,0.642857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35714285714285715,0.0,0.0,0.11904761904761905,0.0,0.0,1.0,0.6428571428571428,0.6428571428571428,0.6428571428571428
