algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sex-accuracy,0-accuracy_over_1-accuracy,sex-accuracyRatio,diff:1-accuracyto0-accuracy,sex-accuracyDiff,0-accuracy,1-accuracy,race-accuracy,0-accuracy_over_1-accuracy,race-accuracyRatio,diff:1-accuracyto0-accuracy,race-accuracyDiff,0-accuracy,1-accuracy,sex-race-accuracy,0-accuracy_over_1-1-accuracy,1-accuracy_over_1-1-accuracy,sex-race-accuracyRatio,diff:1-1-accuracyto0-accuracy,diff:1-1-accuracyto1-accuracy,sex-race-accuracyDiff,0-TPR,1-TPR,sex-TPR,0-TPR_over_1-TPR,sex-TPRRatio,diff:1-TPRto0-TPR,sex-TPRDiff,0-TPR,1-TPR,race-TPR,0-TPR_over_1-TPR,race-TPRRatio,diff:1-TPRto0-TPR,race-TPRDiff,0-TPR,1-TPR,sex-race-TPR,0-TPR_over_1-1-TPR,1-TPR_over_1-1-TPR,sex-race-TPRRatio,diff:1-1-TPRto0-TPR,diff:1-1-TPRto1-TPR,sex-race-TPRDiff,0-TNR,1-TNR,sex-TNR,0-TNR_over_1-TNR,sex-TNRRatio,diff:1-TNRto0-TNR,sex-TNRDiff,0-TNR,1-TNR,race-TNR,0-TNR_over_1-TNR,race-TNRRatio,diff:1-TNRto0-TNR,race-TNRDiff,0-TNR,1-TNR,sex-race-TNR,0-TNR_over_1-1-TNR,1-TNR_over_1-1-TNR,sex-race-TNRRatio,diff:1-1-TNRto0-TNR,diff:1-1-TNRto1-TNR,sex-race-TNRDiff,0-FPR,1-FPR,sex-FPR,0-FPR_over_1-FPR,sex-FPRRatio,diff:1-FPRto0-FPR,sex-FPRDiff,0-FPR,1-FPR,race-FPR,0-FPR_over_1-FPR,race-FPRRatio,diff:1-FPRto0-FPR,race-FPRDiff,0-FPR,1-FPR,sex-race-FPR,0-FPR_over_1-1-FPR,1-FPR_over_1-1-FPR,sex-race-FPRRatio,diff:1-1-FPRto0-FPR,diff:1-1-FPRto1-FPR,sex-race-FPRDiff,0-FNR,1-FNR,sex-FNR,0-FNR_over_1-FNR,sex-FNRRatio,diff:1-FNRto0-FNR,sex-FNRDiff,0-FNR,1-FNR,race-FNR,0-FNR_over_1-FNR,race-FNRRatio,diff:1-FNRto0-FNR,race-FNRDiff,0-FNR,1-FNR,sex-race-FNR,0-FNR_over_1-1-FNR,1-FNR_over_1-1-FNR,sex-race-FNRRatio,diff:1-1-FNRto0-FNR,diff:1-1-FNRto1-FNR,sex-race-FNRDiff,0-calibration+,1-calibration+,sex-calibration+,0-calibration+_over_1-calibration+,sex-calibration+Ratio,diff:1-calibration+to0-calibration+,sex-calibration+Diff,0-calibration+,1-calibration+,race-calibration+,0-calibration+_over_1-calibration+,race-calibration+Ratio,diff:1-calibration+to0-calibration+,race-calibration+Diff,0-calibration+,1-calibration+,sex-race-calibration+,0-calibration+_over_1-1-calibration+,1-calibration+_over_1-1-calibration+,sex-race-calibration+Ratio,diff:1-1-calibration+to0-calibration+,diff:1-1-calibration+to1-calibration+,sex-race-calibration+Diff,0-calibration-,1-calibration-,sex-calibration-,0-calibration-_over_1-calibration-,sex-calibration-Ratio,diff:1-calibration-to0-calibration-,sex-calibration-Diff,0-calibration-,1-calibration-,race-calibration-,0-calibration-_over_1-calibration-,race-calibration-Ratio,diff:1-calibration-to0-calibration-,race-calibration-Diff,0-calibration-,1-calibration-,sex-race-calibration-,0-calibration-_over_1-1-calibration-,1-calibration-_over_1-1-calibration-,sex-race-calibration-Ratio,diff:1-1-calibration-to0-calibration-,diff:1-1-calibration-to1-calibration-,sex-race-calibration-Diff
Feldman-SVM-accuracy,lambda=0.0,0,0.8212415856394913,0.008298755186721992,1.0,0.504149377593361,0.08254126506141067,0.0,1.0,1.0023980815347722,0.8921161825726142,0.8056569343065694,0.8488865584395917,1.107315216420821,1.107315216420821,1.0864592482660447,1.0864592482660447,0.7973621103117506,0.8608349900596421,0.8290985501856964,0.9262659156739275,0.9262659156739275,0.9365271202521085,0.9365271202521085,0.8108108108108109,0.8446601941747572,0.827735502492784,None,None,1.0,None,None,1.0,0.0,0.009302325581395349,0.004651162790697674,0.0,1.0,0.9906976744186047,0.9906976744186047,0.011695906432748537,0.0,0.005847953216374269,0.0,1.0,1.0116959064327484,1.0116959064327484,0.011299435028248588,0.0,0.005649717514124294,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,0.9906976744186047,0.9953488372093023,1.0093896713615023,1.0093896713615023,1.0093023255813953,1.0093023255813953,0.9883040935672515,1.0,0.9941520467836258,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9887005649717514,1.0,0.9943502824858756,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.1078838174273859,0.19469835466179158,0.15129108604458874,0.5541074942045079,0.5541074942045079,0.9131854627655943,0.9131854627655943,0.203125,0.13916500994035785,0.17114500497017893,1.4595982142857142,1.4595982142857142,1.0639599900596421,1.0639599900596421,0.18959913326110509,0.1553398058252427,0.17246946954317388,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.05,0,0.8212415856394913,0.008298755186721992,1.0,0.504149377593361,0.08254126506141067,0.0,1.0,1.0023980815347722,0.8921161825726142,0.8056569343065694,0.8488865584395917,1.107315216420821,1.107315216420821,1.0864592482660447,1.0864592482660447,0.7973621103117506,0.8608349900596421,0.8290985501856964,0.9262659156739275,0.9262659156739275,0.9365271202521085,0.9365271202521085,0.8108108108108109,0.8446601941747572,0.827735502492784,None,None,1.0,None,None,1.0,0.0,0.009302325581395349,0.004651162790697674,0.0,1.0,0.9906976744186047,0.9906976744186047,0.011695906432748537,0.0,0.005847953216374269,0.0,1.0,1.0116959064327484,1.0116959064327484,0.011299435028248588,0.0,0.005649717514124294,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,0.9906976744186047,0.9953488372093023,1.0093896713615023,1.0093896713615023,1.0093023255813953,1.0093023255813953,0.9883040935672515,1.0,0.9941520467836258,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9887005649717514,1.0,0.9943502824858756,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.1078838174273859,0.19469835466179158,0.15129108604458874,0.5541074942045079,0.5541074942045079,0.9131854627655943,0.9131854627655943,0.203125,0.13916500994035785,0.17114500497017893,1.4595982142857142,1.4595982142857142,1.0639599900596421,1.0639599900596421,0.18959913326110509,0.1553398058252427,0.17246946954317388,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.1,0,0.8212415856394913,0.008298755186721992,1.0,0.504149377593361,0.08254126506141067,0.0,1.0,1.0023980815347722,0.8921161825726142,0.8056569343065694,0.8488865584395917,1.107315216420821,1.107315216420821,1.0864592482660447,1.0864592482660447,0.7973621103117506,0.8608349900596421,0.8290985501856964,0.9262659156739275,0.9262659156739275,0.9365271202521085,0.9365271202521085,0.8108108108108109,0.8446601941747572,0.827735502492784,None,None,1.0,None,None,1.0,0.0,0.009302325581395349,0.004651162790697674,0.0,1.0,0.9906976744186047,0.9906976744186047,0.011695906432748537,0.0,0.005847953216374269,0.0,1.0,1.0116959064327484,1.0116959064327484,0.011299435028248588,0.0,0.005649717514124294,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,0.9906976744186047,0.9953488372093023,1.0093896713615023,1.0093896713615023,1.0093023255813953,1.0093023255813953,0.9883040935672515,1.0,0.9941520467836258,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9887005649717514,1.0,0.9943502824858756,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.1078838174273859,0.19469835466179158,0.15129108604458874,0.5541074942045079,0.5541074942045079,0.9131854627655943,0.9131854627655943,0.203125,0.13916500994035785,0.17114500497017893,1.4595982142857142,1.4595982142857142,1.0639599900596421,1.0639599900596421,0.18959913326110509,0.1553398058252427,0.17246946954317388,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.15,0,0.8212415856394913,0.008298755186721992,1.0,0.504149377593361,0.08254126506141067,0.0,1.0,1.0023980815347722,0.8921161825726142,0.8056569343065694,0.8488865584395917,1.107315216420821,1.107315216420821,1.0864592482660447,1.0864592482660447,0.7973621103117506,0.8608349900596421,0.8290985501856964,0.9262659156739275,0.9262659156739275,0.9365271202521085,0.9365271202521085,0.8108108108108109,0.8446601941747572,0.827735502492784,None,None,1.0,None,None,1.0,0.0,0.009302325581395349,0.004651162790697674,0.0,1.0,0.9906976744186047,0.9906976744186047,0.011695906432748537,0.0,0.005847953216374269,0.0,1.0,1.0116959064327484,1.0116959064327484,0.011299435028248588,0.0,0.005649717514124294,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,0.9906976744186047,0.9953488372093023,1.0093896713615023,1.0093896713615023,1.0093023255813953,1.0093023255813953,0.9883040935672515,1.0,0.9941520467836258,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9887005649717514,1.0,0.9943502824858756,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.1078838174273859,0.19469835466179158,0.15129108604458874,0.5541074942045079,0.5541074942045079,0.9131854627655943,0.9131854627655943,0.203125,0.13916500994035785,0.17114500497017893,1.4595982142857142,1.4595982142857142,1.0639599900596421,1.0639599900596421,0.18959913326110509,0.1553398058252427,0.17246946954317388,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.2,0,0.8219895287958116,0.012448132780082987,1.0,0.5062240663900415,0.10112987451524146,0.0,1.0,1.0035971223021583,0.8921161825726142,0.8065693430656934,0.8493427628191538,1.1060625973977207,1.1060625973977207,1.0855468395069208,1.0855468395069208,0.7985611510791367,0.8608349900596421,0.8296980705693895,0.9276587967501289,0.9276587967501289,0.9377261610194946,0.9377261610194946,0.8118918918918919,0.8446601941747572,0.8282760430333246,None,None,1.0,None,None,1.0,0.0,0.013953488372093023,0.0069767441860465115,0.0,1.0,0.986046511627907,0.986046511627907,0.017543859649122806,0.0,0.008771929824561403,0.0,1.0,1.0175438596491229,1.0175438596491229,0.01694915254237288,0.0,0.00847457627118644,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,0.986046511627907,0.9930232558139536,1.0141509433962264,1.0141509433962264,1.0139534883720929,1.0139534883720929,0.9824561403508771,1.0,0.9912280701754386,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9830508474576272,1.0,0.9915254237288136,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.1078838174273859,0.1939615736505032,0.15092269553894455,0.5562123228685508,0.5562123228685508,0.9139222437768827,0.9139222437768827,0.20216606498194944,0.13916500994035785,0.17066553746115365,1.4527075812274368,1.4527075812274368,1.0630010550415916,1.0630010550415916,0.18872017353579176,0.1553398058252427,0.17202998968051725,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.25,0,0.8212415856394913,0.008298755186721992,1.0,0.504149377593361,0.08254126506141067,0.0,1.0,1.0023980815347722,0.8921161825726142,0.8056569343065694,0.8488865584395917,1.107315216420821,1.107315216420821,1.0864592482660447,1.0864592482660447,0.7973621103117506,0.8608349900596421,0.8290985501856964,0.9262659156739275,0.9262659156739275,0.9365271202521085,0.9365271202521085,0.8108108108108109,0.8446601941747572,0.827735502492784,None,None,1.0,None,None,1.0,0.0,0.009302325581395349,0.004651162790697674,0.0,1.0,0.9906976744186047,0.9906976744186047,0.011695906432748537,0.0,0.005847953216374269,0.0,1.0,1.0116959064327484,1.0116959064327484,0.011299435028248588,0.0,0.005649717514124294,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,0.9906976744186047,0.9953488372093023,1.0093896713615023,1.0093896713615023,1.0093023255813953,1.0093023255813953,0.9883040935672515,1.0,0.9941520467836258,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9887005649717514,1.0,0.9943502824858756,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.1078838174273859,0.19469835466179158,0.15129108604458874,0.5541074942045079,0.5541074942045079,0.9131854627655943,0.9131854627655943,0.203125,0.13916500994035785,0.17114500497017893,1.4595982142857142,1.4595982142857142,1.0639599900596421,1.0639599900596421,0.18959913326110509,0.1553398058252427,0.17246946954317388,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.3,0,0.8212415856394913,0.008298755186721992,1.0,0.504149377593361,0.08254126506141067,0.0,1.0,1.0023980815347722,0.8921161825726142,0.8056569343065694,0.8488865584395917,1.107315216420821,1.107315216420821,1.0864592482660447,1.0864592482660447,0.7973621103117506,0.8608349900596421,0.8290985501856964,0.9262659156739275,0.9262659156739275,0.9365271202521085,0.9365271202521085,0.8108108108108109,0.8446601941747572,0.827735502492784,None,None,1.0,None,None,1.0,0.0,0.009302325581395349,0.004651162790697674,0.0,1.0,0.9906976744186047,0.9906976744186047,0.011695906432748537,0.0,0.005847953216374269,0.0,1.0,1.0116959064327484,1.0116959064327484,0.011299435028248588,0.0,0.005649717514124294,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,0.9906976744186047,0.9953488372093023,1.0093896713615023,1.0093896713615023,1.0093023255813953,1.0093023255813953,0.9883040935672515,1.0,0.9941520467836258,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9887005649717514,1.0,0.9943502824858756,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.1078838174273859,0.19469835466179158,0.15129108604458874,0.5541074942045079,0.5541074942045079,0.9131854627655943,0.9131854627655943,0.203125,0.13916500994035785,0.17114500497017893,1.4595982142857142,1.4595982142857142,1.0639599900596421,1.0639599900596421,0.18959913326110509,0.1553398058252427,0.17246946954317388,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.35,0,0.8212415856394913,0.008298755186721992,1.0,0.504149377593361,0.08254126506141067,0.0,1.0,1.0023980815347722,0.8921161825726142,0.8056569343065694,0.8488865584395917,1.107315216420821,1.107315216420821,1.0864592482660447,1.0864592482660447,0.7973621103117506,0.8608349900596421,0.8290985501856964,0.9262659156739275,0.9262659156739275,0.9365271202521085,0.9365271202521085,0.8108108108108109,0.8446601941747572,0.827735502492784,None,None,1.0,None,None,1.0,0.0,0.009302325581395349,0.004651162790697674,0.0,1.0,0.9906976744186047,0.9906976744186047,0.011695906432748537,0.0,0.005847953216374269,0.0,1.0,1.0116959064327484,1.0116959064327484,0.011299435028248588,0.0,0.005649717514124294,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,0.9906976744186047,0.9953488372093023,1.0093896713615023,1.0093896713615023,1.0093023255813953,1.0093023255813953,0.9883040935672515,1.0,0.9941520467836258,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9887005649717514,1.0,0.9943502824858756,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.1078838174273859,0.19469835466179158,0.15129108604458874,0.5541074942045079,0.5541074942045079,0.9131854627655943,0.9131854627655943,0.203125,0.13916500994035785,0.17114500497017893,1.4595982142857142,1.4595982142857142,1.0639599900596421,1.0639599900596421,0.18959913326110509,0.1553398058252427,0.17246946954317388,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.4,0,0.8204936424831712,0.004149377593360996,1.0,0.5020746887966805,0.05834364079230004,0.0,1.0,1.001199040767386,0.8921161825726142,0.8047445255474452,0.8484303540600298,1.1085706758498697,1.1085706758498697,1.087371657025169,1.087371657025169,0.7961630695443646,0.8608349900596421,0.8284990298020034,0.9248730345977261,0.9248730345977261,0.9353280794847224,0.9353280794847224,0.8097297297297297,0.8446601941747572,0.8271949619522434,None,None,1.0,None,None,1.0,0.0,0.004651162790697674,0.002325581395348837,0.0,1.0,0.9953488372093023,0.9953488372093023,0.005847953216374269,0.0,0.0029239766081871343,0.0,1.0,1.0058479532163742,1.0058479532163742,0.005649717514124294,0.0,0.002824858757062147,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,0.9953488372093023,0.9976744186046511,1.0046728971962617,1.0046728971962617,1.0046511627906978,1.0046511627906978,0.9941520467836258,1.0,0.9970760233918129,0.9941520467836258,0.9941520467836258,0.9941520467836258,0.9941520467836258,0.9943502824858758,1.0,0.9971751412429379,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.1078838174273859,0.1954337899543379,0.1516588036908619,0.5520223368363905,0.5520223368363905,0.912450027473048,0.912450027473048,0.20408163265306123,0.13916500994035785,0.17162332129670954,1.466472303206997,1.466472303206997,1.0649166227127034,1.0649166227127034,0.19047619047619047,0.1553398058252427,0.17290799815071659,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.45,0,0.8204936424831712,0.004149377593360996,1.0,0.5020746887966805,0.05834364079230004,0.0,1.0,1.001199040767386,0.8921161825726142,0.8047445255474452,0.8484303540600298,1.1085706758498697,1.1085706758498697,1.087371657025169,1.087371657025169,0.7961630695443646,0.8608349900596421,0.8284990298020034,0.9248730345977261,0.9248730345977261,0.9353280794847224,0.9353280794847224,0.8097297297297297,0.8446601941747572,0.8271949619522434,None,None,1.0,None,None,1.0,0.0,0.004651162790697674,0.002325581395348837,0.0,1.0,0.9953488372093023,0.9953488372093023,0.005847953216374269,0.0,0.0029239766081871343,0.0,1.0,1.0058479532163742,1.0058479532163742,0.005649717514124294,0.0,0.002824858757062147,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,0.9953488372093023,0.9976744186046511,1.0046728971962617,1.0046728971962617,1.0046511627906978,1.0046511627906978,0.9941520467836258,1.0,0.9970760233918129,0.9941520467836258,0.9941520467836258,0.9941520467836258,0.9941520467836258,0.9943502824858758,1.0,0.9971751412429379,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.1078838174273859,0.1954337899543379,0.1516588036908619,0.5520223368363905,0.5520223368363905,0.912450027473048,0.912450027473048,0.20408163265306123,0.13916500994035785,0.17162332129670954,1.466472303206997,1.466472303206997,1.0649166227127034,1.0649166227127034,0.19047619047619047,0.1553398058252427,0.17290799815071659,None,None,1.0,None,None,1.0
