algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,male-accuracy,female-accuracy,sex-accuracy,female-accuracy_over_male-accuracy,sex-accuracyRatio,diff:male-accuracytofemale-accuracy,sex-accuracyDiff,youth-accuracy,adult-accuracy,age-accuracy,youth-accuracy_over_adult-accuracy,age-accuracyRatio,diff:adult-accuracytoyouth-accuracy,age-accuracyDiff,male-adult-accuracy,female-youth-accuracy,male-youth-accuracy,female-adult-accuracy,sex-age-accuracy,female-youth-accuracy_over_male-adult-accuracy,male-youth-accuracy_over_male-adult-accuracy,female-adult-accuracy_over_male-adult-accuracy,sex-age-accuracyRatio,diff:male-adult-accuracytofemale-youth-accuracy,diff:male-adult-accuracytomale-youth-accuracy,diff:male-adult-accuracytofemale-adult-accuracy,sex-age-accuracyDiff,male-TPR,female-TPR,sex-TPR,female-TPR_over_male-TPR,sex-TPRRatio,diff:male-TPRtofemale-TPR,sex-TPRDiff,youth-TPR,adult-TPR,age-TPR,youth-TPR_over_adult-TPR,age-TPRRatio,diff:adult-TPRtoyouth-TPR,age-TPRDiff,male-adult-TPR,female-youth-TPR,male-youth-TPR,female-adult-TPR,sex-age-TPR,female-youth-TPR_over_male-adult-TPR,male-youth-TPR_over_male-adult-TPR,female-adult-TPR_over_male-adult-TPR,sex-age-TPRRatio,diff:male-adult-TPRtofemale-youth-TPR,diff:male-adult-TPRtomale-youth-TPR,diff:male-adult-TPRtofemale-adult-TPR,sex-age-TPRDiff,male-TNR,female-TNR,sex-TNR,female-TNR_over_male-TNR,sex-TNRRatio,diff:male-TNRtofemale-TNR,sex-TNRDiff,youth-TNR,adult-TNR,age-TNR,youth-TNR_over_adult-TNR,age-TNRRatio,diff:adult-TNRtoyouth-TNR,age-TNRDiff,male-adult-TNR,female-youth-TNR,male-youth-TNR,female-adult-TNR,sex-age-TNR,female-youth-TNR_over_male-adult-TNR,male-youth-TNR_over_male-adult-TNR,female-adult-TNR_over_male-adult-TNR,sex-age-TNRRatio,diff:male-adult-TNRtofemale-youth-TNR,diff:male-adult-TNRtomale-youth-TNR,diff:male-adult-TNRtofemale-adult-TNR,sex-age-TNRDiff,male-FPR,female-FPR,sex-FPR,female-FPR_over_male-FPR,sex-FPRRatio,diff:male-FPRtofemale-FPR,sex-FPRDiff,youth-FPR,adult-FPR,age-FPR,youth-FPR_over_adult-FPR,age-FPRRatio,diff:adult-FPRtoyouth-FPR,age-FPRDiff,male-adult-FPR,female-youth-FPR,male-youth-FPR,female-adult-FPR,sex-age-FPR,female-youth-FPR_over_male-adult-FPR,male-youth-FPR_over_male-adult-FPR,female-adult-FPR_over_male-adult-FPR,sex-age-FPRRatio,diff:male-adult-FPRtofemale-youth-FPR,diff:male-adult-FPRtomale-youth-FPR,diff:male-adult-FPRtofemale-adult-FPR,sex-age-FPRDiff,male-FNR,female-FNR,sex-FNR,female-FNR_over_male-FNR,sex-FNRRatio,diff:male-FNRtofemale-FNR,sex-FNRDiff,youth-FNR,adult-FNR,age-FNR,youth-FNR_over_adult-FNR,age-FNRRatio,diff:adult-FNRtoyouth-FNR,age-FNRDiff,male-adult-FNR,female-youth-FNR,male-youth-FNR,female-adult-FNR,sex-age-FNR,female-youth-FNR_over_male-adult-FNR,male-youth-FNR_over_male-adult-FNR,female-adult-FNR_over_male-adult-FNR,sex-age-FNRRatio,diff:male-adult-FNRtofemale-youth-FNR,diff:male-adult-FNRtomale-youth-FNR,diff:male-adult-FNRtofemale-adult-FNR,sex-age-FNRDiff,male-calibration+,female-calibration+,sex-calibration+,female-calibration+_over_male-calibration+,sex-calibration+Ratio,diff:male-calibration+tofemale-calibration+,sex-calibration+Diff,youth-calibration+,adult-calibration+,age-calibration+,youth-calibration+_over_adult-calibration+,age-calibration+Ratio,diff:adult-calibration+toyouth-calibration+,age-calibration+Diff,male-adult-calibration+,female-youth-calibration+,male-youth-calibration+,female-adult-calibration+,sex-age-calibration+,female-youth-calibration+_over_male-adult-calibration+,male-youth-calibration+_over_male-adult-calibration+,female-adult-calibration+_over_male-adult-calibration+,sex-age-calibration+Ratio,diff:male-adult-calibration+tofemale-youth-calibration+,diff:male-adult-calibration+tomale-youth-calibration+,diff:male-adult-calibration+tofemale-adult-calibration+,sex-age-calibration+Diff,male-calibration-,female-calibration-,sex-calibration-,female-calibration-_over_male-calibration-,sex-calibration-Ratio,diff:male-calibration-tofemale-calibration-,sex-calibration-Diff,youth-calibration-,adult-calibration-,age-calibration-,youth-calibration-_over_adult-calibration-,age-calibration-Ratio,diff:adult-calibration-toyouth-calibration-,age-calibration-Diff,male-adult-calibration-,female-youth-calibration-,male-youth-calibration-,female-adult-calibration-,sex-age-calibration-,female-youth-calibration-_over_male-adult-calibration-,male-youth-calibration-_over_male-adult-calibration-,female-adult-calibration-_over_male-adult-calibration-,sex-age-calibration-Ratio,diff:male-adult-calibration-tofemale-youth-calibration-,diff:male-adult-calibration-tomale-youth-calibration-,diff:male-adult-calibration-tofemale-adult-calibration-,sex-age-calibration-Diff
SVM,,0,0.9429429429429429,1.0,0.8215962441314554,0.9107981220657277,0.8706379179066588,0.9388892943151135,0.9388892943151135,0.9541346712090175,0.9556025369978859,0.9119170984455959,0.9337598177217409,0.9542849282406346,0.9542849282406346,0.95631456144771,0.95631456144771,0.88,0.9540636042402827,0.9170318021201413,0.9223703703703704,0.9223703703703704,0.9259363957597173,0.9259363957597173,0.96,0.8461538461538461,0.9166666666666666,0.9361702127659575,0.9147476813966176,0.8814102564102564,0.9548611111111112,0.975177304964539,0.9371495574953022,0.8861538461538462,0.9566666666666667,0.9761702127659575,0.9396635751954902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8489208633093526,0.7702702702702703,0.8095955667898114,0.907352267521759,0.907352267521759,0.9213494069609177,0.9213494069609177,0.7446808510638298,0.8433734939759037,0.7940271725198667,0.8829787234042552,0.8829787234042552,0.9013073570879261,0.9013073570879261,0.859504132231405,0.7241379310344828,0.7777777777777778,0.8,0.7903549602609163,0.8425066312997347,0.9049145299145299,0.9307692307692308,0.8927301306611651,0.8646337988030778,0.9182736455463728,0.9404958677685951,0.9078011040393484,0.15107913669064743,0.22972972972972971,0.19040443321018857,1.520592020592021,1.520592020592021,1.0786505930390824,1.0786505930390824,0.25531914893617025,0.15662650602409633,0.2059728274801333,1.6301145662847798,1.6301145662847798,1.098692642912074,1.098692642912074,0.14049586776859502,0.27586206896551724,0.2222222222222222,0.19999999999999996,0.2096450397390836,1.9634888438133877,1.581699346405229,1.4235294117647057,1.6562392006611073,1.135366201196922,1.081726354453627,1.059504132231405,1.0921988959606515,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9408450704225352,0.875,0.9079225352112676,0.9300149700598803,0.9300149700598803,0.9341549295774648,0.9341549295774648,0.8153846153846154,0.9389671361502347,0.8771758757674251,0.8683846153846154,0.8683846153846154,0.8764174792343806,0.8764174792343806,0.9470404984423676,0.7419354838709677,0.8823529411764706,0.9142857142857143,0.87140365944388,0.7834252971137521,0.9316950464396284,0.9654135338345864,0.8935112924626557,0.7948949854286002,0.935312442734103,0.9672452158433467,0.8991508813353498,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,,1,0.9474474474474475,1.0,0.8292682926829268,0.9146341463414633,0.8779244710501053,0.9552505638373948,0.9552505638373948,0.9661915052780318,0.9537444933920705,0.9339622641509434,0.9438533787715069,0.9792583554838992,0.9792583554838992,0.980217770758873,0.980217770758873,0.9230769230769231,0.9519572953736655,0.9375171092252943,0.9696621135873473,0.9696621135873473,0.9711196277032577,0.9711196277032577,0.9537712895377128,0.9016393442622951,0.9534883720930233,0.9470198675496688,0.938979718360675,0.9453412512546002,0.9997033697199811,0.9929213407217191,0.9793219872321002,0.9478680547245822,0.9997170825553104,0.993248578011956,0.9802779050972829,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8409090909090909,0.8082191780821918,0.8245641344956414,0.9611255090707145,0.9611255090707145,0.9673100871731009,0.9673100871731009,0.8,0.8363636363636363,0.8181818181818181,0.9565217391304349,0.9565217391304349,0.9636363636363637,0.9636363636363637,0.8333333333333334,0.7272727272727273,0.8888888888888888,0.8431372549019608,0.8231580510992276,0.8727272727272727,1.0666666666666667,1.011764705882353,0.9837195484254307,0.8939393939393939,1.0555555555555554,1.0098039215686274,0.9864329570211923,0.15909090909090906,0.1917808219178082,0.17543586550435863,1.2054794520547947,1.2054794520547947,1.0326899128268991,1.0326899128268991,0.19999999999999996,0.1636363636363637,0.18181818181818182,1.2222222222222217,1.2222222222222217,1.0363636363636362,1.0363636363636362,0.16666666666666663,0.2727272727272727,0.11111111111111116,0.1568627450980392,0.17684194890077243,1.6363636363636367,0.6666666666666671,0.9411764705882355,1.0814022578728464,1.106060606060606,0.9444444444444445,0.9901960784313726,1.0135670429788077,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9387755102040817,0.9084967320261438,0.9236361211151127,0.967746518897414,0.967746518897414,0.9697212218220621,0.9697212218220621,0.8888888888888888,0.9363207547169812,0.912604821802935,0.9493422893926672,0.9493422893926672,0.9525681341719077,0.9525681341719077,0.939873417721519,0.8666666666666667,0.9259259259259259,0.9259259259259259,0.9145979840600095,0.9221099887766555,0.9851602444195037,0.9851602444195037,0.9641434925385544,0.9267932489451477,0.9860525082044069,0.9860525082044069,0.9662994217846538,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,,2,0.948948948948949,1.0,0.8341463414634146,0.9170731707317072,0.8813917637700533,0.9551193358699411,0.9551193358699411,0.9661962657403387,0.9553191489361702,0.9336734693877551,0.9444963091619627,0.9773419390027726,0.9773419390027726,0.9783543204515849,0.9783543204515849,0.8936170212765957,0.958041958041958,0.9258294896592769,0.9327535331573226,0.9327535331573226,0.9355750632346377,0.9355750632346377,0.9619952494061758,0.8888888888888888,0.8979591836734694,0.9470198675496688,0.9239657973795508,0.9240054869684499,0.9334341143864954,0.9844329981195323,0.9472908664914925,0.9268936394827131,0.9359639342672936,0.9850246181434931,0.9492940639644999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8467153284671532,0.8088235294117647,0.827769428939459,0.9552484787018256,0.9552484787018256,0.9621082009446115,0.9621082009446115,0.7674418604651163,0.8518518518518519,0.8096468561584841,0.9009100101112235,0.9009100101112235,0.9155900086132644,0.9155900086132644,0.8620689655172413,0.7727272727272727,0.7619047619047619,0.8260869565217391,0.8056969891677538,0.8963636363636364,0.8838095238095238,0.9582608695652175,0.9128113432461259,0.9106583072100314,0.8998357963875205,0.9640179910044978,0.9248373648673499,0.15328467153284675,0.19117647058823528,0.17223057106054102,1.2471988795518203,1.2471988795518203,1.0378917990553886,1.0378917990553886,0.2325581395348837,0.14814814814814814,0.19035314384151591,1.569767441860465,1.569767441860465,1.0844099913867356,1.0844099913867356,0.13793103448275867,0.2272727272727273,0.23809523809523814,0.17391304347826086,0.19430301083224624,1.6477272727272723,1.7261904761904758,1.2608695652173907,1.5449291047117129,1.0893416927899686,1.1001642036124795,1.0359820089955023,1.07516263513265,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.940677966101695,0.9078014184397163,0.9242396922707057,0.9650501565395182,0.9650501565395182,0.9671234523380213,0.9671234523380213,0.8360655737704918,0.9447004608294931,0.8903830172999925,0.8850059976009597,0.8850059976009597,0.8913651129409987,0.8913651129409987,0.9501557632398754,0.8214285714285714,0.8484848484848485,0.9292035398230089,0.887318180744076,0.864519906323185,0.8929955290611029,0.977948643551429,0.911821359645239,0.871272808188696,0.8983290852449731,0.9790477765831335,0.9162165566722674,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,,3,0.9444444444444444,1.0,0.8140703517587939,0.907035175879397,0.8685086358456124,0.9171004224008721,0.9171004224008721,0.9356224538384212,0.9479392624728851,0.9365853658536586,0.9422623141632718,0.9880225484177039,0.9880225484177039,0.9886461033807735,0.9886461033807735,0.945054945054945,0.9443478260869566,0.9447013855709507,1.0007487908040393,1.0007487908040393,1.0007071189679886,1.0007071189679886,0.9457547169811321,0.9259259259259259,0.972972972972973,0.9403973509933775,0.9462627417183521,0.9790338967396324,1.0287794028442407,0.9943353536688081,1.0007162177508937,0.9801712089447938,1.027218255991841,0.9946426340122454,1.0006773663162933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8110236220472441,0.8194444444444444,0.8152340332458443,1.0103829557713053,1.0103829557713053,1.0084208223972002,1.0084208223972002,0.868421052631579,0.8012422360248447,0.8348316443282118,1.083843329253366,1.083843329253366,1.0671788166067344,1.0671788166067344,0.7964601769911505,0.8333333333333334,0.9285714285714286,0.8125,0.842716234723978,1.0462962962962963,1.165873015873016,1.020138888888889,1.0774360670194003,1.036873156342183,1.132111251580278,1.0160398230088497,1.0616747436437703,0.1889763779527559,0.18055555555555558,0.18476596675415574,0.955439814814815,0.955439814814815,0.9915791776027997,0.9915791776027997,0.13157894736842102,0.19875776397515532,0.16516835567178817,0.6620065789473681,0.6620065789473681,0.9328211833932657,0.9328211833932657,0.20353982300884954,0.16666666666666663,0.0714285714285714,0.1875,0.1572837652760219,0.8188405797101448,0.3509316770186334,0.9211956521739131,0.6969893029675638,0.9631268436578171,0.8678887484197219,0.9839601769911505,0.9383252563562298,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9329608938547486,0.910958904109589,0.9219598989821688,0.9764170289557871,0.9764170289557871,0.9779980102548405,0.9779980102548405,0.9137931034482759,0.9282511210762332,0.9210221122622546,0.9844244544394469,0.9844244544394469,0.9855419823720427,0.9855419823720427,0.9311377245508982,0.8823529411764706,0.9583333333333334,0.9196428571428571,0.9228667140508898,0.9476073387554379,1.0292068595927117,0.9876550298576022,0.9881564094019173,0.9512152166255724,1.0271956087824352,0.9885051325919589,0.9889719859999889,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,,4,0.948948948948949,1.0,0.8373205741626795,0.9186602870813397,0.8828018513472013,0.9253449830108869,0.9253449830108869,0.9436411797346957,0.9606126914660832,0.9234449760765551,0.9420288337713192,0.9613083236150015,0.9613083236150015,0.9628322846104719,0.9628322846104719,0.9313725490196079,0.9521276595744681,0.941750104297038,0.978201336400482,0.978201336400482,0.9792448894451398,0.9792448894451398,0.9612590799031477,0.9137931034482759,0.9545454545454546,0.9271523178807947,0.9391874889444182,0.9506210370885086,0.9930158003205862,0.9645186581480307,0.9693851651857086,0.9525340235451282,0.9932863746423068,0.9658932379776469,0.9705712120550273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8615384615384616,0.7974683544303798,0.8295034079844207,0.925632911392405,0.925632911392405,0.9359298928919182,0.9359298928919182,0.8444444444444444,0.8353658536585366,0.8399051490514905,1.010867802108678,1.010867802108678,1.009078590785908,1.009078590785908,0.8584070796460177,0.8214285714285714,0.8823529411764706,0.7843137254901961,0.8366255794353139,0.956921944035346,1.0278956943602182,0.9136850616535274,0.9661675666830306,0.9630214917825537,1.0239458615304529,0.9259066458441784,0.9709579997190616,0.1384615384615384,0.20253164556962022,0.17049659201557932,1.4627285513361465,1.4627285513361465,1.0640701071080818,1.0640701071080818,0.15555555555555556,0.16463414634146345,0.1600948509485095,0.9448559670781891,0.9448559670781891,0.9909214092140921,0.9909214092140921,0.1415929203539823,0.1785714285714286,0.11764705882352944,0.21568627450980393,0.16337442056468607,1.2611607142857146,0.8308823529411766,1.5232843137254903,1.2051091269841272,1.0369785082174463,0.9760541384695471,1.0740933541558215,1.0290420002809384,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9478260869565217,0.8904109589041096,0.9191185229303156,0.939424406183235,0.939424406183235,0.9425848719475879,0.9425848719475879,0.890625,0.936768149882904,0.9136965749414521,0.9507421875,0.9507421875,0.953856850117096,0.953856850117096,0.9493670886075949,0.8571428571428571,0.9310344827586207,0.9009009009009009,0.9096113323524934,0.9028571428571428,0.9806896551724138,0.948948948948949,0.9441652489928352,0.9077757685352622,0.9816673941510258,0.951533812293306,0.946992324993198,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,,5,0.9459459459459459,1.0,0.8181818181818182,0.9090909090909092,0.8716308047219649,0.9598126232741618,0.9598126232741618,0.9692013772253948,0.9541484716157205,0.9278846153846154,0.941016543500168,0.9724740362612218,0.9724740362612218,0.973736143768895,0.973736143768895,0.9285714285714286,0.948943661971831,0.9387575452716298,0.9785316724092235,0.9785316724092235,0.9796277665995976,0.9796277665995976,0.9560975609756097,0.92,0.9375,0.930379746835443,0.9359943269527632,0.9622448979591838,0.9805484693877552,0.9731012658227848,0.9719648777232414,0.9639024390243903,0.9814024390243903,0.9742821858598333,0.9731956879695379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8359375,0.7857142857142857,0.8108258928571428,0.9399198931909212,0.9399198931909212,0.9497767857142857,0.9497767857142857,0.825,0.8164556962025317,0.8207278481012659,1.0104651162790697,1.0104651162790697,1.0085443037974682,1.0085443037974682,0.8348623853211009,0.8095238095238095,0.8421052631578947,0.7755102040816326,0.8155004155211094,0.9696493982208269,1.0086755349913243,0.9289078268670106,0.969077586693054,0.9746614242027086,1.0072428778367937,0.9406478187605317,0.974184040266678,0.1640625,0.2142857142857143,0.18917410714285715,1.306122448979592,1.306122448979592,1.0502232142857144,1.0502232142857144,0.17500000000000004,0.18354430379746833,0.1792721518987342,0.9534482758620694,0.9534482758620694,0.9914556962025317,0.9914556962025317,0.1651376146788991,0.19047619047619047,0.1578947368421053,0.22448979591836737,0.18449958447889056,1.1534391534391533,0.9561403508771932,1.3594104308390023,1.1563299783851162,1.0253385757972913,0.9927571221632062,1.0593521812394684,1.025815959733322,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9401709401709402,0.9019607843137255,0.9210658622423329,0.9593582887700535,0.9593582887700535,0.9617898441427853,0.9617898441427853,0.8923076923076924,0.9339407744874715,0.913124233397582,0.9554221388367731,0.9554221388367731,0.9583669178202209,0.9583669178202209,0.9435736677115988,0.8787878787878788,0.90625,0.9083333333333333,0.9092362199582027,0.9313399778516057,0.9604443521594684,0.9626522702104097,0.9514788667404946,0.93521421107628,0.9626763322884012,0.9647596656217345,0.9542167363288052,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,,6,0.9444444444444444,1.0,0.8168316831683168,0.9084158415841583,0.8697739869663791,0.9016949152542373,0.9016949152542373,0.9236842105263158,0.9495614035087719,0.9333333333333333,0.9414473684210527,0.9829099307159354,0.9829099307159354,0.9837719298245614,0.9837719298245614,0.926605504587156,0.947935368043088,0.937270436315122,0.9774986099527384,0.9774986099527384,0.978670136544068,0.978670136544068,0.9511002444987775,0.9193548387096774,0.9361702127659575,0.9391891891891891,0.9364536212909004,0.9666224396716145,0.9843023573811738,0.9874765511012297,0.9794671160513393,0.9682545942108999,0.98506996826718,0.9880889446904116,0.9804711690561638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.816,0.8181818181818182,0.8170909090909091,1.002673796791444,1.002673796791444,1.0021818181818183,1.0021818181818183,0.8181818181818182,0.8164556962025317,0.817318757192175,1.0021141649048626,1.0021141649048626,1.0017261219792866,1.0017261219792866,0.8113207547169812,0.8,0.8421052631578947,0.8269230769230769,0.8200872736994882,0.986046511627907,1.0379436964504283,1.0192307692307692,1.0144069924363681,0.9886792452830189,1.0307845084409135,1.0156023222060957,1.011688691976676,0.18400000000000005,0.18181818181818177,0.1829090909090909,0.988142292490118,0.988142292490118,0.9978181818181817,0.9978181818181817,0.18181818181818177,0.18354430379746833,0.18268124280782505,0.9905956112852663,0.9905956112852663,0.9982738780207134,0.9982738780207134,0.18867924528301883,0.19999999999999996,0.1578947368421053,0.17307692307692313,0.1799127263005118,1.06,0.8368421052631583,0.9173076923076928,0.938049932523617,1.0113207547169811,0.9692154915590865,0.9843976777939043,0.988311308023324,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9350282485875706,0.9047619047619048,0.9198950766747377,0.9676305567544239,0.9676305567544239,0.9697336561743342,0.9697336561743342,0.8904109589041096,0.9322429906542056,0.9113269747791576,0.9551275448896214,0.9551275448896214,0.958167968249904,0.958167968249904,0.9380804953560371,0.8809523809523809,0.9032258064516129,0.9142857142857143,0.9091360992614362,0.9391010529624392,0.9628446715639306,0.9746346063177747,0.9588601102813815,0.9428718855963438,0.9651453110955758,0.9762052189296772,0.9614074718738657,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,,7,0.9519519519519519,1.0,0.8483412322274881,0.9241706161137441,0.8902797712953118,0.8480677166446958,0.8480677166446958,0.8835076445115918,0.9524838012958964,0.9507389162561576,0.951611358776027,0.9981680685410452,0.9981680685410452,0.9982551149602612,0.9982551149602612,0.9574468085106383,0.951048951048951,0.9542478797797946,1.006727158948686,1.006727158948686,1.0063978574616872,1.0063978574616872,0.9524940617577197,0.9615384615384616,0.9523809523809523,0.9470198675496688,0.9533583358067006,1.009495492039133,0.9998812492578079,0.994252778649403,1.0012098399821145,1.009044399780742,0.9998868906232327,0.9945258057919492,1.0011523653986412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8307692307692308,0.8765432098765432,0.853656220322887,1.0550983081847278,1.0550983081847278,1.0457739791073124,1.0457739791073124,0.9090909090909091,0.8323353293413174,0.8707131192161133,1.092217135382603,1.092217135382603,1.0767555797495918,1.0767555797495918,0.8230088495575221,0.9259259259259259,0.8823529411764706,0.8518518518518519,0.8707848921279426,1.1250497809637596,1.0721062618595827,1.0350457984866588,1.0774006137700003,1.1029170763684037,1.0593440916189485,1.0288430022943298,1.0637013900938939,0.16923076923076918,0.12345679012345678,0.14634377967711298,0.729517396184063,0.729517396184063,0.9542260208926876,0.9542260208926876,0.09090909090909094,0.16766467065868262,0.12928688078388678,0.5422077922077925,0.5422077922077925,0.9232444202504083,0.9232444202504083,0.17699115044247793,0.07407407407407407,0.11764705882352944,0.14814814814814814,0.1292151078720574,0.41851851851851835,0.6647058823529411,0.8370370370370367,0.6400871459694987,0.8970829236315961,0.9406559083810515,0.9711569977056702,0.9362986099061059,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9380281690140845,0.9242424242424242,0.9311352966282543,0.9853034853034853,0.9853034853034853,0.9862142552283397,0.9862142552283397,0.9259259259259259,0.9353348729792148,0.9306303994525704,0.9899405578417924,0.9899405578417924,0.9905910529467111,0.9905910529467111,0.9390243902439024,0.9259259259259259,0.9259259259259259,0.9238095238095239,0.9286714414763195,0.9860509860509861,0.9860509860509861,0.9837971552257267,0.985299709109233,0.9869015356820235,0.9869015356820235,0.9847851335656215,0.9861960683098895,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
