algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,male-accuracy,female-accuracy,sex-accuracy,female-accuracy_over_male-accuracy,sex-accuracyRatio,diff:male-accuracytofemale-accuracy,sex-accuracyDiff,adult-accuracy,youth-accuracy,age-accuracy,youth-accuracy_over_adult-accuracy,age-accuracyRatio,diff:adult-accuracytoyouth-accuracy,age-accuracyDiff,female-adult-accuracy,male-youth-accuracy,female-youth-accuracy,male-adult-accuracy,sex-age-accuracy,female-adult-accuracy_over_male-adult-accuracy,male-youth-accuracy_over_male-adult-accuracy,female-youth-accuracy_over_male-adult-accuracy,sex-age-accuracyRatio,diff:male-adult-accuracytofemale-adult-accuracy,diff:male-adult-accuracytomale-youth-accuracy,diff:male-adult-accuracytofemale-youth-accuracy,sex-age-accuracyDiff,male-TPR,female-TPR,sex-TPR,female-TPR_over_male-TPR,sex-TPRRatio,diff:male-TPRtofemale-TPR,sex-TPRDiff,adult-TPR,youth-TPR,age-TPR,youth-TPR_over_adult-TPR,age-TPRRatio,diff:adult-TPRtoyouth-TPR,age-TPRDiff,female-adult-TPR,male-youth-TPR,female-youth-TPR,male-adult-TPR,sex-age-TPR,female-adult-TPR_over_male-adult-TPR,male-youth-TPR_over_male-adult-TPR,female-youth-TPR_over_male-adult-TPR,sex-age-TPRRatio,diff:male-adult-TPRtofemale-adult-TPR,diff:male-adult-TPRtomale-youth-TPR,diff:male-adult-TPRtofemale-youth-TPR,sex-age-TPRDiff,male-TNR,female-TNR,sex-TNR,female-TNR_over_male-TNR,sex-TNRRatio,diff:male-TNRtofemale-TNR,sex-TNRDiff,adult-TNR,youth-TNR,age-TNR,youth-TNR_over_adult-TNR,age-TNRRatio,diff:adult-TNRtoyouth-TNR,age-TNRDiff,female-adult-TNR,male-youth-TNR,female-youth-TNR,male-adult-TNR,sex-age-TNR,female-adult-TNR_over_male-adult-TNR,male-youth-TNR_over_male-adult-TNR,female-youth-TNR_over_male-adult-TNR,sex-age-TNRRatio,diff:male-adult-TNRtofemale-adult-TNR,diff:male-adult-TNRtomale-youth-TNR,diff:male-adult-TNRtofemale-youth-TNR,sex-age-TNRDiff,male-FPR,female-FPR,sex-FPR,female-FPR_over_male-FPR,sex-FPRRatio,diff:male-FPRtofemale-FPR,sex-FPRDiff,adult-FPR,youth-FPR,age-FPR,youth-FPR_over_adult-FPR,age-FPRRatio,diff:adult-FPRtoyouth-FPR,age-FPRDiff,female-adult-FPR,male-youth-FPR,female-youth-FPR,male-adult-FPR,sex-age-FPR,female-adult-FPR_over_male-adult-FPR,male-youth-FPR_over_male-adult-FPR,female-youth-FPR_over_male-adult-FPR,sex-age-FPRRatio,diff:male-adult-FPRtofemale-adult-FPR,diff:male-adult-FPRtomale-youth-FPR,diff:male-adult-FPRtofemale-youth-FPR,sex-age-FPRDiff,male-FNR,female-FNR,sex-FNR,female-FNR_over_male-FNR,sex-FNRRatio,diff:male-FNRtofemale-FNR,sex-FNRDiff,adult-FNR,youth-FNR,age-FNR,youth-FNR_over_adult-FNR,age-FNRRatio,diff:adult-FNRtoyouth-FNR,age-FNRDiff,female-adult-FNR,male-youth-FNR,female-youth-FNR,male-adult-FNR,sex-age-FNR,female-adult-FNR_over_male-adult-FNR,male-youth-FNR_over_male-adult-FNR,female-youth-FNR_over_male-adult-FNR,sex-age-FNRRatio,diff:male-adult-FNRtofemale-adult-FNR,diff:male-adult-FNRtomale-youth-FNR,diff:male-adult-FNRtofemale-youth-FNR,sex-age-FNRDiff,male-calibration+,female-calibration+,sex-calibration+,female-calibration+_over_male-calibration+,sex-calibration+Ratio,diff:male-calibration+tofemale-calibration+,sex-calibration+Diff,adult-calibration+,youth-calibration+,age-calibration+,youth-calibration+_over_adult-calibration+,age-calibration+Ratio,diff:adult-calibration+toyouth-calibration+,age-calibration+Diff,female-adult-calibration+,male-youth-calibration+,female-youth-calibration+,male-adult-calibration+,sex-age-calibration+,female-adult-calibration+_over_male-adult-calibration+,male-youth-calibration+_over_male-adult-calibration+,female-youth-calibration+_over_male-adult-calibration+,sex-age-calibration+Ratio,diff:male-adult-calibration+tofemale-adult-calibration+,diff:male-adult-calibration+tomale-youth-calibration+,diff:male-adult-calibration+tofemale-youth-calibration+,sex-age-calibration+Diff,male-calibration-,female-calibration-,sex-calibration-,female-calibration-_over_male-calibration-,sex-calibration-Ratio,diff:male-calibration-tofemale-calibration-,sex-calibration-Diff,adult-calibration-,youth-calibration-,age-calibration-,youth-calibration-_over_adult-calibration-,age-calibration-Ratio,diff:adult-calibration-toyouth-calibration-,age-calibration-Diff,female-adult-calibration-,male-youth-calibration-,female-youth-calibration-,male-adult-calibration-,sex-age-calibration-,female-adult-calibration-_over_male-adult-calibration-,male-youth-calibration-_over_male-adult-calibration-,female-youth-calibration-_over_male-adult-calibration-,sex-age-calibration-Ratio,diff:male-adult-calibration-tofemale-adult-calibration-,diff:male-adult-calibration-tomale-youth-calibration-,diff:male-adult-calibration-tofemale-youth-calibration-,sex-age-calibration-Diff
SVM,,0,0.9354354354354354,0.9978260869565218,0.7961165048543689,0.8969712959054453,0.8500427971215633,0.8252314814814814,0.8252314814814814,0.8646953405017921,0.9517543859649122,0.9,0.9258771929824561,0.9456221198156682,0.9456221198156682,0.9482456140350878,0.9482456140350878,0.9408602150537635,0.9074074074074074,0.9241338112305855,0.9644444444444444,0.9644444444444444,0.966547192353644,0.966547192353644,0.9047619047619048,0.9333333333333333,0.8888888888888888,0.9537712895377128,0.9201888541304599,0.9486151603498543,0.9785714285714286,0.9319727891156463,0.9530531260123097,0.9509906152241919,0.9795620437956205,0.935117599351176,0.9552234194569961,1.0,0.9924812030075187,0.9962406015037594,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.9924812030075187,1.0,0.9836065573770492,0.9918032786885246,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,1.0,1.0,0.96875,1.0,0.9921875,1.0,1.0,0.96875,0.9895833333333334,1.0,1.0,0.96875,0.9895833333333334,0.8294573643410853,0.7402597402597403,0.7848585523004128,0.8924626775094064,0.8924626775094064,0.910802375918655,0.910802375918655,0.7924528301886793,0.8085106382978723,0.8004817342432757,1.0202634245187436,1.0202634245187436,1.0160578081091929,1.0160578081091929,0.6956521739130435,0.8125,0.8064516129032258,0.831858407079646,0.7866155484739787,0.8362627197039778,0.9767287234042553,0.9694577899794097,0.9274830776958809,0.8637937668333975,0.980641592920354,0.9745932058235798,0.9396761885257771,0.1705426356589147,0.2597402597402597,0.2151414476995872,1.5230224321133414,1.5230224321133414,1.089197624081345,1.089197624081345,0.2075471698113207,0.19148936170212771,0.1995182657567242,0.9226305609284338,0.9226305609284338,0.983942191890807,0.983942191890807,0.30434782608695654,0.1875,0.19354838709677424,0.16814159292035402,0.2133844515260212,1.8100686498855831,1.1151315789473681,1.1511035653650254,1.3587679313993253,1.1362062331666025,1.019358407079646,1.0254067941764202,1.060323811474223,0.0,0.007518796992481258,0.003759398496240629,0.0,1.0,1.0075187969924813,1.0075187969924813,0.0,0.016393442622950838,0.008196721311475419,0.0,1.0,1.0163934426229508,1.0163934426229508,0.0,0.0,0.03125,0.0,0.0078125,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.03125,1.0104166666666667,0.9369627507163324,0.868421052631579,0.9026919016739556,0.9268469338483825,0.9268469338483825,0.9314583019152466,0.9314583019152466,0.9236111111111112,0.8695652173913043,0.8965881642512077,0.9414841451454723,0.9414841451454723,0.9459541062801932,0.9459541062801932,0.8782608695652174,0.90625,0.8378378378378378,0.9400630914826499,0.8906029497214263,0.9342573679603151,0.9640310402684563,0.8912570288409214,0.929848479023231,0.9381977780825675,0.9661869085173501,0.897774746355188,0.9340531443183685,0.0,0.017241379310344827,0.008620689655172414,0.0,1.0,1.0172413793103448,1.0172413793103448,0.0,0.02564102564102564,0.01282051282051282,0.0,1.0,1.0256410256410255,1.0256410256410255,0.0,0.0,0.038461538461538464,0.0,0.009615384615384616,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0384615384615385,1.0128205128205128
SVM,,1,0.9519519519519519,1.0,0.8383838383838383,0.9191919191919191,0.8858483350592655,0.84070058381985,0.84070058381985,0.8775052108385443,0.9564270152505446,0.9420289855072463,0.9492280003788955,0.9849460235713579,0.9849460235713579,0.9856019702567017,0.9856019702567017,0.9559082892416225,0.9292929292929293,0.9426006092672758,0.9721569942972157,0.9721569942972157,0.9733846400513068,0.9733846400513068,0.9403973509933775,0.9069767441860465,0.9464285714285714,0.9615384615384616,0.9388352820366143,0.9780132450331126,0.9432558139534883,0.9842857142857142,0.9685182577574384,0.978858889454916,0.9454382826475849,0.9848901098901098,0.9697290939975369,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8373983739837398,0.84,0.8386991869918698,1.0031067961165048,1.0031067961165048,1.00260162601626,1.00260162601626,0.8397435897435898,0.8333333333333334,0.8365384615384616,0.9923664122137404,0.9923664122137404,0.9935897435897436,0.9935897435897436,0.8269230769230769,0.7894736842105263,0.8695652173913043,0.8461538461538461,0.8330289561696884,0.9772727272727272,0.9330143540669856,1.0276679841897234,0.9793183551764787,0.9807692307692307,0.9433198380566802,1.0234113712374582,0.9825001466877897,0.16260162601626016,0.16000000000000003,0.1613008130081301,0.9840000000000002,0.9840000000000002,0.9973983739837399,0.9973983739837399,0.16025641025641024,0.16666666666666663,0.16346153846153844,1.0399999999999998,1.0399999999999998,1.0064102564102564,1.0064102564102564,0.17307692307692313,0.21052631578947367,0.13043478260869568,0.15384615384615385,0.16697104383031158,1.1250000000000002,1.3684210526315788,0.8478260869565218,1.113749046529367,1.0192307692307692,1.0566801619433197,0.9765886287625418,1.0174998533122102,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9438202247191011,0.9166666666666666,0.9302434456928839,0.9712301587301587,0.9712301587301587,0.9728464419475655,0.9728464419475655,0.9426605504587156,0.890625,0.9166427752293578,0.9447992700729927,0.9447992700729927,0.9479644495412844,0.9479644495412844,0.9166666666666666,0.8571428571428571,0.9166666666666666,0.9512195121951219,0.910423925667828,0.9636752136752137,0.9010989010989011,0.9636752136752137,0.9428164428164428,0.9654471544715447,0.9059233449477352,0.9654471544715447,0.9456058846302748,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,,2,0.93993993993994,1.0,0.7927461139896373,0.8963730569948187,0.8549465196696918,0.8900491400491402,0.8900491400491402,0.913900913900914,0.9473684210526315,0.9214659685863874,0.9344171948195095,0.9726585223967423,0.9726585223967423,0.9740975475337559,0.9740975475337559,0.9488536155202821,0.8888888888888888,0.9188712522045854,0.9368029739776952,0.9368029739776952,0.9400352733686067,0.9400352733686067,0.9338235294117647,0.8863636363636364,0.8909090909090909,0.9535962877030162,0.916173136096877,0.9792650636897096,0.9294956867949569,0.9342623313426234,0.9476743606090966,0.9802272417087485,0.9327673486606202,0.9373128032060747,0.9501024645251478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8046875,0.7692307692307693,0.7869591346153846,0.9559372666168783,0.9559372666168783,0.9645432692307693,0.9645432692307693,0.8092105263157895,0.7317073170731707,0.7704589216944802,0.9042236763831053,0.9042236763831053,0.9224967907573812,0.9224967907573812,0.7857142857142857,0.7222222222222222,0.7391304347826086,0.8181818181818182,0.7663121902252337,0.9603174603174602,0.882716049382716,0.9033816425120772,0.9154717174040844,0.9675324675324675,0.904040404040404,0.9209486166007904,0.9308404960578872,0.1953125,0.23076923076923073,0.21304086538461536,1.1815384615384614,1.1815384615384614,1.0354567307692308,1.0354567307692308,0.1907894736842105,0.2682926829268293,0.2295410783055199,1.4062237174095882,1.4062237174095882,1.0775032092426189,1.0775032092426189,0.2142857142857143,0.2777777777777778,0.26086956521739135,0.18181818181818177,0.2336878097747663,1.178571428571429,1.5277777777777783,1.4347826086956528,1.3803772716816198,1.0324675324675325,1.095959595959596,1.0790513833992095,1.0691595039421127,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9327956989247311,0.8936170212765957,0.9132063601006635,0.9579986510515667,0.9579986510515667,0.9608213223518646,0.9608213223518646,0.9346846846846847,0.8405797101449275,0.887632197414806,0.8993190151911995,0.8993190151911995,0.9058950254602428,0.9058950254602428,0.912621359223301,0.8387096774193549,0.8421052631578947,0.9413489736070382,0.8836963183518972,0.9694825031001422,0.8909657320872274,0.8945728808001311,0.9183403719958335,0.9712723856162628,0.8973607038123167,0.9007562895508565,0.9231297929931453,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,,3,0.9534534534534534,1.0,0.8351063829787234,0.9175531914893618,0.8855762457080347,0.8759659290481208,0.8759659290481208,0.9033328770873255,0.9607843137254902,0.9371980676328503,0.9489911906791703,0.9754510499852115,0.9754510499852115,0.9764137539073601,0.9764137539073601,0.9572953736654805,0.9326923076923077,0.944993840678894,0.9742993994852731,0.9742993994852731,0.9753969340268273,0.9753969340268273,0.9466666666666667,0.9574468085106383,0.9122807017543859,0.9611650485436893,0.9443898063688451,0.9849158249158249,0.9961315280464217,0.9491405280878964,0.976729293683381,0.9855016181229773,0.996281759966949,0.9511156532106966,0.977633010433541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8524590163934426,0.803030303030303,0.8277446597118727,0.942016317016317,0.942016317016317,0.9505712866368604,0.9505712866368604,0.8378378378378378,0.825,0.831418918918919,0.9846774193548387,0.9846774193548387,0.9871621621621621,0.9871621621621621,0.8095238095238095,0.875,0.7916666666666666,0.8490566037735849,0.8313117699910153,0.9534391534391534,1.0305555555555554,0.9324074074074074,0.9721340388007054,0.9604672057502246,1.025943396226415,0.9426100628930817,0.9763402216232405,0.14754098360655743,0.19696969696969702,0.17225534028812722,1.3350168350168348,1.3350168350168348,1.0494287133631395,1.0494287133631395,0.16216216216216217,0.17500000000000004,0.1685810810810811,1.0791666666666668,1.0791666666666668,1.012837837837838,1.012837837837838,0.19047619047619047,0.125,0.20833333333333337,0.15094339622641506,0.16868823000898472,1.261904761904762,0.8281250000000002,1.380208333333334,1.156746031746032,1.0395327942497754,0.9740566037735849,1.0573899371069184,1.0236597783767596,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9492957746478873,0.9155844155844156,0.9324400951161514,0.964488034220972,0.964488034220972,0.9662886409365283,0.9662886409365283,0.9452054794520548,0.9014084507042254,0.92330696507814,0.9536640130638906,0.9536640130638906,0.9562029712521706,0.9562029712521706,0.9310344827586207,0.9393939393939394,0.868421052631579,0.9503105590062112,0.9222900084475876,0.9797160243407708,0.9885125767478709,0.913828689370485,0.9606857634863756,0.9807239237524095,0.9890833803877283,0.9181104936253678,0.9626392659218351,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,,4,0.9519519519519519,1.0,0.8358974358974359,0.917948717948718,0.8847141177771602,0.8251480637813212,0.8251480637813212,0.8643816254416962,0.9582417582417583,0.9383886255924171,0.9483151919170877,0.9792817079003435,0.9792817079003435,0.9801468673506588,0.9801468673506588,0.9540636042402827,0.94,0.9470318021201414,0.9852592592592592,0.9852592592592592,0.9859363957597173,0.9859363957597173,0.9415584415584416,0.9534883720930233,0.9298245614035088,0.9587378640776699,0.9459023097831609,0.9820812099293112,0.9945245805122167,0.9698423273373307,0.982149372592953,0.9828205774807717,0.9947505080153534,0.9710866973258389,0.9828859276073213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8416666666666667,0.8266666666666667,0.8341666666666667,0.9821782178217822,0.9821782178217822,0.985,0.985,0.8300653594771242,0.8571428571428571,0.8436041083099907,1.0326209223847018,1.0326209223847018,1.0270774976657329,1.0270774976657329,0.8235294117647058,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.8447712418300654,0.988235294117647,1.0666666666666667,1.0,1.0183006535947712,0.9901960784313725,1.0555555555555554,1.0,1.0152505446623092,0.15833333333333333,0.17333333333333334,0.16583333333333333,1.0947368421052632,1.0947368421052632,1.0150000000000001,1.0150000000000001,0.16993464052287577,0.1428571428571429,0.15639589169000934,0.8406593406593412,0.8406593406593412,0.9729225023342671,0.9729225023342671,0.17647058823529416,0.11111111111111116,0.16666666666666663,0.16666666666666663,0.15522875816993464,1.0588235294117652,0.6666666666666671,1.0,0.9084967320261441,1.0098039215686274,0.9444444444444445,1.0,0.9847494553376906,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9463276836158192,0.912751677852349,0.9295396807340841,0.9645196834618852,0.9645196834618852,0.9664239942365298,0.9664239942365298,0.9407744874715261,0.90625,0.923512243735763,0.9633020581113801,0.9633020581113801,0.9654755125284739,0.9654755125284739,0.9196428571428571,0.9259259259259259,0.8918918918918919,0.9480122324159022,0.9213682268441443,0.9700748847926267,0.9767025089605734,0.9408020924149956,0.9625264953893987,0.9716306247269549,0.9779136935100238,0.9438796594759897,0.9644746592376562,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,,5,0.954954954954955,1.0,0.8514851485148515,0.9257425742574257,0.8943016963592966,0.8273317865429235,0.8273317865429235,0.8685159010600707,0.9498910675381264,0.966183574879227,0.9580373212086767,1.0171519744714799,1.0171519744714799,1.0162925073411007,1.0162925073411007,0.9540636042402827,0.96,0.9570318021201414,1.0062222222222221,1.0062222222222221,1.0059363957597172,1.0059363957597172,0.9733333333333334,0.9767441860465116,0.9473684210526315,0.9471153846153846,0.9611403312619653,1.0276818950930626,1.0312832015110376,1.0002671653753674,1.0197440873264894,1.0262179487179488,1.029628801431127,1.0002530364372468,1.0186999288621077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8217054263565892,0.9041095890410958,0.8629075076988425,1.1002843111915224,1.1002843111915224,1.0824041626845067,1.0824041626845067,0.8385093167701864,0.9024390243902439,0.8704741705802151,1.0762420957542909,1.0762420957542909,1.0639297076200576,1.0639297076200576,0.9166666666666666,0.9375,0.88,0.8053097345132744,0.8848691002949852,1.1382783882783882,1.1641483516483515,1.0927472527472528,1.1317246642246641,1.1113569321533923,1.1321902654867255,1.0746902654867256,1.1060791543756145,0.17829457364341084,0.09589041095890416,0.1370924923011575,0.5378201310303755,0.5378201310303755,0.9175958373154933,0.9175958373154933,0.16149068322981364,0.09756097560975607,0.12952582941978485,0.6041275797373358,0.6041275797373358,0.9360702923799424,0.9360702923799424,0.08333333333333337,0.0625,0.12,0.19469026548672563,0.11513089970501475,0.42803030303030326,0.32102272727272735,0.6163636363636364,0.455138888888889,0.8886430678466077,0.8678097345132744,0.9253097345132744,0.8939208456243856,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9348441926345609,0.950354609929078,0.9425994012818195,1.0165914463786805,1.0165914463786805,1.015510417294517,1.015510417294517,0.9396751740139211,0.9365079365079365,0.9380915552609288,0.9966294336664707,0.9966294336664707,0.9968327624940154,0.9968327624940154,0.9622641509433962,0.9642857142857143,0.9142857142857143,0.9323076923076923,0.9432858179556293,1.0321315150382964,1.0342998585572842,0.9806694955209807,1.0157002897055205,1.029956458635704,1.0319780219780221,0.981978021978022,1.014637500863916,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,,6,0.9519519519519519,1.0,0.8350515463917526,0.9175257731958764,0.8843259583372532,0.811366738155586,0.811366738155586,0.8534312982881382,0.9558498896247241,0.9436619718309859,0.9497559307278549,0.9872491298832254,0.9872491298832254,0.9878120822062618,0.9878120822062618,0.9564459930313589,0.9239130434782609,0.9401795182548098,0.9659855864417518,0.9659855864417518,0.967467050446902,0.967467050446902,0.9447852760736196,0.9047619047619048,0.94,0.9610705596107056,0.9376544351115574,0.9830550594082472,0.9414104882459312,0.9780759493670885,0.9675138323404223,0.983714716462914,0.9436913451511991,0.9789294403892943,0.9687785006678024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8260869565217391,0.8481012658227848,0.837094111172262,1.0266489007328448,1.0266489007328448,1.0220143093010456,1.0220143093010456,0.8366013071895425,0.8292682926829268,0.8329347999362346,0.9912347560975608,0.9912347560975608,0.9926669854933843,0.9926669854933843,0.8448275862068966,0.8,0.8571428571428571,0.8315789473684211,0.8333873476795437,1.0159319074639894,0.9620253164556962,1.0307414104882457,1.0028995448026439,1.0132486388384754,0.968421052631579,1.025563909774436,1.00241120041483,0.17391304347826086,0.15189873417721522,0.16290588882773804,0.8734177215189876,0.8734177215189876,0.9779856906989544,0.9779856906989544,0.1633986928104575,0.1707317073170732,0.16706520006376535,1.0448780487804883,1.0448780487804883,1.0073330145066157,1.0073330145066157,0.15517241379310343,0.19999999999999996,0.1428571428571429,0.16842105263157892,0.1666126523204563,0.9213362068965517,1.1875,0.8482142857142861,0.9856834975369458,0.9867513611615245,1.0315789473684212,0.974436090225564,0.99758879958517,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9441340782122905,0.9178082191780822,0.9309711486951864,0.9721163978276729,0.9721163978276729,0.9736741409657917,0.9736741409657917,0.9439461883408071,0.8793103448275862,0.9116282665841966,0.931525923499058,0.931525923499058,0.9353641564867791,0.9353641564867791,0.9210526315789473,0.8461538461538461,0.90625,0.9518072289156626,0.906315926662114,0.9676882078614257,0.8889970788704966,0.9521360759493671,0.9362737875604298,0.9692454026632847,0.8943466172381835,0.9544427710843374,0.9393449303286019,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,,7,0.9384384384384384,0.997872340425532,0.7959183673469388,0.8968953538862354,0.8522642235527756,0.8785668113399207,0.8785668113399207,0.9055044553032481,0.9457700650759219,0.9219512195121952,0.9338606422940585,0.9748153949429403,0.9748153949429403,0.9761811544362733,0.9761811544362733,0.9401408450704225,0.9285714285714286,0.9343561368209256,0.9876939539860888,0.9876939539860888,0.9884305835010061,0.9884305835010061,0.9319727891156463,0.975,0.896551724137931,0.9429928741092637,0.9366293468407103,0.9883137133946778,1.0339420654911837,0.9507513245895943,0.9910023678251519,0.9889799150063826,1.0320071258907362,0.9535588500286674,0.9915152969752622,1.0,0.9924812030075187,0.9962406015037594,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.9924812030075187,1.0,0.9838709677419355,0.9919354838709677,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9838709677419355,1.0,1.0,0.9714285714285714,1.0,0.9928571428571429,1.0,1.0,0.9714285714285714,0.9904761904761905,1.0,1.0,0.9714285714285714,0.9904761904761905,0.7983870967741935,0.7916666666666666,0.79502688172043,0.9915824915824916,0.9915824915824916,0.9932795698924731,0.9932795698924731,0.7875,0.8333333333333334,0.8104166666666667,1.0582010582010584,1.0582010582010584,1.0458333333333334,1.0458333333333334,0.7959183673469388,0.9230769230769231,0.782608695652174,0.7837837837837838,0.8213469424649549,1.0154820548909218,1.1777188328912467,0.9985007496251874,1.0639005458024522,1.012134583563155,1.1392931392931394,0.9988249118683902,1.0500842115748947,0.2016129032258065,0.20833333333333337,0.20497311827956993,1.0333333333333332,1.0333333333333332,1.006720430107527,1.006720430107527,0.21250000000000002,0.16666666666666663,0.18958333333333333,0.7843137254901958,0.7843137254901958,0.9541666666666666,0.9541666666666666,0.20408163265306123,0.07692307692307687,0.21739130434782605,0.21621621621621623,0.1786530575350451,0.9438775510204082,0.3557692307692305,1.0054347826086953,0.7683605214661112,0.987865416436845,0.8607068607068606,1.00117508813161,0.9499157884251052,0.0,0.007518796992481258,0.003759398496240629,0.0,1.0,1.0075187969924813,1.0075187969924813,0.0,0.016129032258064502,0.008064516129032251,0.0,1.0,1.0161290322580645,1.0161290322580645,0.0,0.0,0.02857142857142858,0.0,0.007142857142857145,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0285714285714285,1.0095238095238095,0.930939226519337,0.8979591836734694,0.9144492050964033,0.9645733664385635,0.9645733664385635,0.9670199571541324,0.9670199571541324,0.9230769230769231,0.9104477611940298,0.9167623421354765,0.9863184079601989,0.9863184079601989,0.9873708381171067,0.9873708381171067,0.9074074074074074,0.9642857142857143,0.8717948717948718,0.9281437125748503,0.917907926515711,0.9776583034647551,1.0389400921658987,0.9392886683209264,0.98529568798386,0.9792636948325572,1.036142001710864,0.9436511592200215,0.9863522852544809,0.0,0.017241379310344827,0.008620689655172414,0.0,1.0,1.0172413793103448,1.0172413793103448,0.0,0.03225806451612903,0.016129032258064516,0.0,1.0,1.032258064516129,1.032258064516129,0.0,0.0,0.05263157894736842,0.0,0.013157894736842105,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0526315789473684,1.0175438596491226
