algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,H-accuracy,B-accuracy,W-accuracy,Race-accuracy,H-accuracy_over_W-accuracy,B-accuracy_over_W-accuracy,Race-accuracyRatio,diff:W-accuracytoH-accuracy,diff:W-accuracytoB-accuracy,Race-accuracyDiff,H-TPR,B-TPR,W-TPR,Race-TPR,H-TPR_over_W-TPR,B-TPR_over_W-TPR,Race-TPRRatio,diff:W-TPRtoH-TPR,diff:W-TPRtoB-TPR,Race-TPRDiff,H-TNR,B-TNR,W-TNR,Race-TNR,H-TNR_over_W-TNR,B-TNR_over_W-TNR,Race-TNRRatio,diff:W-TNRtoH-TNR,diff:W-TNRtoB-TNR,Race-TNRDiff,H-FPR,B-FPR,W-FPR,Race-FPR,H-FPR_over_W-FPR,B-FPR_over_W-FPR,Race-FPRRatio,diff:W-FPRtoH-FPR,diff:W-FPRtoB-FPR,Race-FPRDiff,H-FNR,B-FNR,W-FNR,Race-FNR,H-FNR_over_W-FNR,B-FNR_over_W-FNR,Race-FNRRatio,diff:W-FNRtoH-FNR,diff:W-FNRtoB-FNR,Race-FNRDiff,H-calibration+,B-calibration+,W-calibration+,Race-calibration+,H-calibration+_over_W-calibration+,B-calibration+_over_W-calibration+,Race-calibration+Ratio,diff:W-calibration+toH-calibration+,diff:W-calibration+toB-calibration+,Race-calibration+Diff,H-calibration-,B-calibration-,W-calibration-,Race-calibration-,H-calibration-_over_W-calibration-,B-calibration-_over_W-calibration-,Race-calibration-Ratio,diff:W-calibration-toH-calibration-,diff:W-calibration-toB-calibration-,Race-calibration-Diff
GaussianNB,,0,0.9102564102564102,0.9210526315789473,0.9,0.9105263157894736,0.8207826816681231,0.314453125,0.32414215686274506,0.5230978260869565,0.9411764705882353,1.0,0.8695652173913043,0.9369138959931799,1.0823529411764705,1.1500000000000001,1.1161764705882353,1.0716112531969308,1.1304347826086958,1.1010230179028133,0.6666666666666666,1.0,0.9333333333333333,0.8666666666666666,0.7142857142857142,1.0714285714285714,0.8928571428571428,0.7333333333333333,1.0666666666666667,0.8999999999999999,1.0,1.0,0.75,0.9166666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.25,1.25,1.25,0.0,0.0,0.25,0.08333333333333333,0.0,0.0,1.0,0.75,0.75,0.75,0.33333333333333337,0.0,0.06666666666666665,0.13333333333333333,5.000000000000002,0.0,2.500000000000001,1.2666666666666666,0.9333333333333333,1.1,1.0,1.0,0.875,0.9583333333333334,1.1428571428571428,1.1428571428571428,1.1428571428571428,1.125,1.125,1.125,0.06666666666666667,0.0,0.14285714285714285,0.06984126984126983,0.4666666666666667,0.0,0.23333333333333334,0.9238095238095239,0.8571428571428572,0.8904761904761905
GaussianNB,,1,0.9487179487179487,0.975,0.9210526315789473,0.9480263157894737,0.8984200138594741,0.5379812695109262,0.5369623655913979,0.695264241592313,0.8666666666666667,1.0,0.9574468085106383,0.941371158392435,0.9051851851851852,1.0444444444444443,0.9748148148148148,0.9092198581560283,1.0425531914893615,0.9758865248226949,0.8,1.0,1.0,0.9333333333333332,0.8,1.0,0.9,0.8,1.0,0.9,0.9,1.0,0.8888888888888888,0.9296296296296296,1.0125000000000002,1.125,1.06875,1.011111111111111,1.1111111111111112,1.0611111111111111,0.09999999999999998,0.0,0.11111111111111116,0.07037037037037037,0.8999999999999994,0.0,0.4499999999999997,0.9888888888888888,0.8888888888888888,0.9388888888888889,0.19999999999999996,0.0,0.0,0.06666666666666665,0.0,1.0,0.5,1.2,1.0,1.1,0.8,1.0,0.9354838709677419,0.9118279569892472,0.8551724137931035,1.0689655172413794,0.9620689655172414,0.8645161290322582,1.064516129032258,0.9645161290322581,0.1,0.0,0.0,0.03333333333333333,0.0,1.0,0.5,1.1,1.0,1.05
GaussianNB,,2,0.9743589743589743,1.0,0.9512195121951219,0.975609756097561,0.949967907031729,0.40909090909090906,0.40808823529411764,0.6060606060606061,1.0,1.0,0.9555555555555556,0.9851851851851853,1.0465116279069766,1.0465116279069766,1.0465116279069766,1.0444444444444443,1.0444444444444443,1.0444444444444443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8823529411764706,0.9607843137254902,1.1333333333333333,1.1333333333333333,1.1333333333333333,1.1176470588235294,1.1176470588235294,1.1176470588235294,0.0,0.0,0.11764705882352944,0.03921568627450981,0.0,0.0,1.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.9777777777777779,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0666666666666667,1.0666666666666667,1.0666666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,3,0.9358974358974359,0.9444444444444444,0.9285714285714286,0.9365079365079365,0.8715759646087575,0.37333333333333335,0.3559808612440191,0.6083333333333334,0.9090909090909091,1.0,0.9166666666666666,0.9419191919191919,0.9917355371900827,1.090909090909091,1.0413223140495869,0.9924242424242424,1.0833333333333335,1.037878787878788,0.6666666666666666,1.0,0.9642857142857143,0.876984126984127,0.691358024691358,1.037037037037037,0.8641975308641975,0.7023809523809523,1.0357142857142856,0.869047619047619,1.0,1.0,0.85,0.9500000000000001,1.1764705882352942,1.1764705882352942,1.1764705882352942,1.15,1.15,1.15,0.0,0.0,0.15000000000000002,0.05000000000000001,0.0,0.0,1.0,0.85,0.85,0.85,0.33333333333333337,0.0,0.0357142857142857,0.12301587301587302,9.33333333333334,0.0,4.66666666666667,1.2976190476190477,0.9642857142857143,1.130952380952381,1.0,1.0,0.9,0.9666666666666667,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1,1.1,1.1,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555,2.0,0.0,1.0,1.0555555555555556,0.9444444444444444,1.0
GaussianNB,,4,0.9102564102564102,0.9166666666666666,0.9047619047619048,0.9107142857142857,0.8200737485182403,0.4620535714285714,0.448958935801041,0.6725543478260869,1.0,1.0,0.8478260869565217,0.9492753623188405,1.1794871794871795,1.1794871794871795,1.1794871794871795,1.1521739130434783,1.1521739130434783,1.1521739130434783,1.0,1.0,0.8888888888888888,0.9629629629629629,1.125,1.125,1.125,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.0,1.0,0.7894736842105263,0.9298245614035089,1.2666666666666666,1.2666666666666666,1.2666666666666666,1.2105263157894737,1.2105263157894737,1.2105263157894737,0.0,0.0,0.21052631578947367,0.07017543859649122,0.0,0.0,1.0,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.0,0.0,0.11111111111111116,0.037037037037037056,0.0,0.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,0.8571428571428571,0.9523809523809524,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,1.1428571428571428,0.0,0.0,0.16666666666666666,0.05555555555555555,0.0,0.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
GaussianNB,,5,0.9358974358974359,1.0,0.8611111111111112,0.9305555555555556,0.8772135122644268,0.579696394686907,0.5788602941176471,0.6959505833905284,0.9333333333333333,1.0,0.9148936170212766,0.9494089834515367,1.02015503875969,1.0930232558139534,1.0565891472868216,1.0184397163120567,1.0851063829787235,1.05177304964539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.7647058823529411,0.888235294117647,1.176923076923077,1.3076923076923077,1.2423076923076923,1.1352941176470588,1.2352941176470589,1.1852941176470588,0.09999999999999998,0.0,0.23529411764705888,0.11176470588235295,0.4249999999999998,0.0,0.2124999999999999,0.8647058823529411,0.7647058823529411,0.8147058823529412,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8823529411764706,0.9052287581699346,0.9444444444444445,1.1333333333333333,1.038888888888889,0.9509803921568628,1.1176470588235294,1.0343137254901962,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,6,0.9487179487179487,1.0,0.8974358974358975,0.9487179487179487,0.9021937088963174,0.5211693548387097,0.5272435897435898,0.6739876458476322,0.9230769230769231,1.0,0.9361702127659575,0.9530823786142936,0.986013986013986,1.0681818181818181,1.027097902097902,0.9869067103109657,1.0638297872340425,1.0253682487725042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.8333333333333334,0.9074074074074074,1.0666666666666667,1.2,1.1333333333333333,1.0555555555555554,1.1666666666666665,1.111111111111111,0.11111111111111116,0.0,0.16666666666666663,0.0925925925925926,0.6666666666666671,0.0,0.33333333333333354,0.9444444444444445,0.8333333333333334,0.888888888888889,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.90625,0.9020833333333332,0.8827586206896553,1.103448275862069,0.993103448275862,0.89375,1.09375,0.99375,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,7,0.9230769230769231,0.9,0.9473684210526315,0.9236842105263158,0.8473684210526317,0.40430107526881714,0.4047222222222222,0.6197666437886067,0.8666666666666667,1.0,0.9148936170212766,0.9271867612293144,0.9472868217054264,1.0930232558139534,1.02015503875969,0.9517730496453901,1.0851063829787235,1.0184397163120569,0.6666666666666666,1.0,0.9333333333333333,0.8666666666666666,0.7142857142857142,1.0714285714285714,0.8928571428571428,0.7333333333333333,1.0666666666666667,0.8999999999999999,1.0,1.0,0.8823529411764706,0.9607843137254902,1.1333333333333333,1.1333333333333333,1.1333333333333333,1.1176470588235294,1.1176470588235294,1.1176470588235294,0.0,0.0,0.11764705882352944,0.03921568627450981,0.0,0.0,1.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.33333333333333337,0.0,0.06666666666666665,0.13333333333333333,5.000000000000002,0.0,2.500000000000001,1.2666666666666666,0.9333333333333333,1.1,1.0,1.0,0.9333333333333333,0.9777777777777779,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0666666666666667,1.0666666666666667,1.0666666666666667,0.18181818181818182,0.0,0.11764705882352941,0.0998217468805704,1.5454545454545454,0.0,0.7727272727272727,1.0641711229946524,0.8823529411764706,0.9732620320855615
GaussianNB,,8,0.9487179487179487,1.0,0.9069767441860465,0.9534883720930232,0.9021937088963174,0.40909090909090906,0.3980769230769231,0.6060606060606061,1.0,1.0,0.9111111111111111,0.9703703703703703,1.0975609756097562,1.0975609756097562,1.0975609756097562,1.088888888888889,1.088888888888889,1.088888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7894736842105263,0.9298245614035089,1.2666666666666666,1.2666666666666666,1.2666666666666666,1.2105263157894737,1.2105263157894737,1.2105263157894737,0.0,0.0,0.21052631578947367,0.07017543859649122,0.0,0.0,1.0,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.9555555555555556,1.1538461538461537,1.1538461538461537,1.1538461538461537,1.1333333333333333,1.1333333333333333,1.1333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,9,1.0,1.0,1.0,1.0,1.0,0.4914285714285714,0.486578947368421,0.7043189368770764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
