Algorithms,Acc,Acc_SD,BCR,BCR_SD,MCC,MCC_SD,DI,DI_SD,CV,CV_SD,Run Time
Zafar Unconstrained,0.698823529412,0.0227138053839,0.651029411764706,0.00857619018343,0.0,0.0,1.0,0.0,1.0,0.0,0:00:00.014727
Zafar w Acc Constraint,0.701176470588,0.0222520944934,0.6548529411764707,0.0105031301975,0.00835484533196,0.0250645359959,1.0004115226337449,0.00123456790123,0.9995901639344262,0.00122950819672,0:00:00.212355
Zafar w Fair Constraint,0.707058823529,0.018377058061,0.6589705882352941,0.00843379468173,0.167245096305,0.0622121148168,1.0050081227806245,0.0222973672187,0.9953020507893638,0.0212237167437,0:00:00.144065
Zafar No Pos Misclass,0.695882352941,0.0229034380399,0.6494117647058824,0.00944387903412,0.0,0.0,1.0,0.0,1.0,0.0,0:00:09.867344
