algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,female-accuracy,male-accuracy,sex-accuracy,female-accuracy_over_male-accuracy,sex-accuracyRatio,diff:male-accuracytofemale-accuracy,sex-accuracyDiff,youth-accuracy,adult-accuracy,age-accuracy,youth-accuracy_over_adult-accuracy,age-accuracyRatio,diff:adult-accuracytoyouth-accuracy,age-accuracyDiff,male-adult-accuracy,female-adult-accuracy,female-youth-accuracy,male-youth-accuracy,sex-age-accuracy,female-adult-accuracy_over_male-adult-accuracy,female-youth-accuracy_over_male-adult-accuracy,male-youth-accuracy_over_male-adult-accuracy,sex-age-accuracyRatio,diff:male-adult-accuracytofemale-adult-accuracy,diff:male-adult-accuracytofemale-youth-accuracy,diff:male-adult-accuracytomale-youth-accuracy,sex-age-accuracyDiff,female-TPR,male-TPR,sex-TPR,female-TPR_over_male-TPR,sex-TPRRatio,diff:male-TPRtofemale-TPR,sex-TPRDiff,youth-TPR,adult-TPR,age-TPR,youth-TPR_over_adult-TPR,age-TPRRatio,diff:adult-TPRtoyouth-TPR,age-TPRDiff,male-adult-TPR,female-adult-TPR,female-youth-TPR,male-youth-TPR,sex-age-TPR,female-adult-TPR_over_male-adult-TPR,female-youth-TPR_over_male-adult-TPR,male-youth-TPR_over_male-adult-TPR,sex-age-TPRRatio,diff:male-adult-TPRtofemale-adult-TPR,diff:male-adult-TPRtofemale-youth-TPR,diff:male-adult-TPRtomale-youth-TPR,sex-age-TPRDiff,female-TNR,male-TNR,sex-TNR,female-TNR_over_male-TNR,sex-TNRRatio,diff:male-TNRtofemale-TNR,sex-TNRDiff,youth-TNR,adult-TNR,age-TNR,youth-TNR_over_adult-TNR,age-TNRRatio,diff:adult-TNRtoyouth-TNR,age-TNRDiff,male-adult-TNR,female-adult-TNR,female-youth-TNR,male-youth-TNR,sex-age-TNR,female-adult-TNR_over_male-adult-TNR,female-youth-TNR_over_male-adult-TNR,male-youth-TNR_over_male-adult-TNR,sex-age-TNRRatio,diff:male-adult-TNRtofemale-adult-TNR,diff:male-adult-TNRtofemale-youth-TNR,diff:male-adult-TNRtomale-youth-TNR,sex-age-TNRDiff,female-FPR,male-FPR,sex-FPR,female-FPR_over_male-FPR,sex-FPRRatio,diff:male-FPRtofemale-FPR,sex-FPRDiff,youth-FPR,adult-FPR,age-FPR,youth-FPR_over_adult-FPR,age-FPRRatio,diff:adult-FPRtoyouth-FPR,age-FPRDiff,male-adult-FPR,female-adult-FPR,female-youth-FPR,male-youth-FPR,sex-age-FPR,female-adult-FPR_over_male-adult-FPR,female-youth-FPR_over_male-adult-FPR,male-youth-FPR_over_male-adult-FPR,sex-age-FPRRatio,diff:male-adult-FPRtofemale-adult-FPR,diff:male-adult-FPRtofemale-youth-FPR,diff:male-adult-FPRtomale-youth-FPR,sex-age-FPRDiff,female-FNR,male-FNR,sex-FNR,female-FNR_over_male-FNR,sex-FNRRatio,diff:male-FNRtofemale-FNR,sex-FNRDiff,youth-FNR,adult-FNR,age-FNR,youth-FNR_over_adult-FNR,age-FNRRatio,diff:adult-FNRtoyouth-FNR,age-FNRDiff,male-adult-FNR,female-adult-FNR,female-youth-FNR,male-youth-FNR,sex-age-FNR,female-adult-FNR_over_male-adult-FNR,female-youth-FNR_over_male-adult-FNR,male-youth-FNR_over_male-adult-FNR,sex-age-FNRRatio,diff:male-adult-FNRtofemale-adult-FNR,diff:male-adult-FNRtofemale-youth-FNR,diff:male-adult-FNRtomale-youth-FNR,sex-age-FNRDiff,female-calibration+,male-calibration+,sex-calibration+,female-calibration+_over_male-calibration+,sex-calibration+Ratio,diff:male-calibration+tofemale-calibration+,sex-calibration+Diff,youth-calibration+,adult-calibration+,age-calibration+,youth-calibration+_over_adult-calibration+,age-calibration+Ratio,diff:adult-calibration+toyouth-calibration+,age-calibration+Diff,male-adult-calibration+,female-adult-calibration+,female-youth-calibration+,male-youth-calibration+,sex-age-calibration+,female-adult-calibration+_over_male-adult-calibration+,female-youth-calibration+_over_male-adult-calibration+,male-youth-calibration+_over_male-adult-calibration+,sex-age-calibration+Ratio,diff:male-adult-calibration+tofemale-adult-calibration+,diff:male-adult-calibration+tofemale-youth-calibration+,diff:male-adult-calibration+tomale-youth-calibration+,sex-age-calibration+Diff,female-calibration-,male-calibration-,sex-calibration-,female-calibration-_over_male-calibration-,sex-calibration-Ratio,diff:male-calibration-tofemale-calibration-,sex-calibration-Diff,youth-calibration-,adult-calibration-,age-calibration-,youth-calibration-_over_adult-calibration-,age-calibration-Ratio,diff:adult-calibration-toyouth-calibration-,age-calibration-Diff,male-adult-calibration-,female-adult-calibration-,female-youth-calibration-,male-youth-calibration-,sex-age-calibration-,female-adult-calibration-_over_male-adult-calibration-,female-youth-calibration-_over_male-adult-calibration-,male-youth-calibration-_over_male-adult-calibration-,sex-age-calibration-Ratio,diff:male-adult-calibration-tofemale-adult-calibration-,diff:male-adult-calibration-tofemale-youth-calibration-,diff:male-adult-calibration-tomale-youth-calibration-,sex-age-calibration-Diff
Feldman-SVM,lambda=1.0,0,0.6796407185628742,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6346153846153846,0.7,0.6673076923076923,0.9065934065934066,0.9065934065934066,0.9346153846153846,0.9346153846153846,0.5952380952380952,0.6917808219178082,0.6435094585779517,0.8604431871758604,0.8604431871758604,0.903457273320287,0.903457273320287,0.7075471698113207,0.65,0.5833333333333334,0.6111111111111112,0.6379979035639414,0.9186666666666667,0.8244444444444445,0.8637037037037039,0.8689382716049384,0.9424528301886793,0.8757861635220127,0.9035639412997905,0.9072676450034942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6346153846153846,0.7,0.6673076923076923,0.9065934065934066,0.9065934065934066,0.9346153846153846,0.9346153846153846,0.5952380952380952,0.6917808219178082,0.6435094585779517,0.8604431871758604,0.8604431871758604,0.903457273320287,0.903457273320287,0.7075471698113207,0.65,0.5833333333333334,0.6111111111111112,0.6379979035639414,0.9186666666666667,0.8244444444444445,0.8637037037037039,0.8689382716049384,0.9424528301886793,0.8757861635220127,0.9035639412997905,0.9072676450034942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-SVM,lambda=1.0,1,0.6736526946107785,0.9568965517241379,0.029411764705882353,0.49315415821501013,-0.03260443956263087,1.01396449704142,1.0117125672681226,1.0133484162895927,0.6851851851851852,0.668141592920354,0.6766633890527696,1.0255089526612706,1.0255089526612706,1.017043592264831,1.017043592264831,0.6530612244897959,0.6771929824561403,0.6651271034729681,0.9643650206196468,0.9643650206196468,0.9758682420336555,0.9758682420336555,0.6715686274509803,0.691358024691358,0.6666666666666666,0.6363636363636364,0.6664892387931602,1.0294674236280077,0.9927007299270073,0.9475779694757798,0.9899153743435983,1.0197893972403778,0.9950980392156863,0.964795008912656,0.9932274817895733,0.9605263157894737,0.9551282051282052,0.9578272604588394,1.0056517131755562,1.0056517131755562,1.0053981106612686,1.0053981106612686,0.96875,0.955,0.961875,1.0143979057591623,1.0143979057591623,1.01375,1.01375,0.9507042253521126,0.9655172413793104,0.9444444444444444,1.0,0.9651664777939668,1.015581098339719,0.9934156378600824,1.0518518518518518,1.0202828626838845,1.0148130160271978,0.9937402190923318,1.0492957746478875,1.0192830032558058,0.03125,0.02857142857142857,0.029910714285714284,1.09375,1.09375,1.0026785714285715,1.0026785714285715,0.058823529411764705,0.023529411764705882,0.041176470588235294,2.5,2.5,1.035294117647059,1.035294117647059,0.03225806451612903,0.0,0.1111111111111111,0.0,0.035842293906810034,0.0,3.444444444444444,0.0,1.1481481481481481,0.967741935483871,1.0788530465949822,0.967741935483871,1.004778972520908,0.96875,0.9714285714285714,0.9700892857142858,0.9972426470588235,0.9972426470588235,0.9973214285714286,0.9973214285714286,0.9411764705882353,0.9764705882352941,0.9588235294117646,0.963855421686747,0.963855421686747,0.9647058823529412,0.9647058823529412,0.967741935483871,1.0,0.8888888888888888,1.0,0.96415770609319,1.0333333333333332,0.9185185185185184,1.0333333333333332,0.9950617283950617,1.032258064516129,0.9211469534050178,1.032258064516129,0.9952210274790919,0.03947368421052633,0.04487179487179482,0.042172739541160575,0.879699248120302,0.879699248120302,0.9946018893387315,0.9946018893387315,0.03125,0.04500000000000004,0.03812500000000002,0.6944444444444439,0.6944444444444439,0.98625,0.98625,0.04929577464788737,0.03448275862068961,0.05555555555555558,0.0,0.03483352220603314,0.6995073891625601,1.1269841269841265,0.0,0.6088305053822288,0.9851869839728022,1.0062597809076683,0.9507042253521126,0.9807169967441944,0.7019230769230769,0.6866359447004609,0.6942795108117689,1.0222638100154877,1.0222638100154877,1.015287132222616,1.015287132222616,0.6595744680851063,0.6970802919708029,0.6783273800279546,0.9461958337974824,0.9461958337974824,0.9624941761143034,0.9624941761143034,0.6923076923076923,0.7088607594936709,0.68,0.6363636363636364,0.6793830220412499,1.0239099859353025,0.9822222222222223,0.9191919191919192,0.9751080424498147,1.0165530671859786,0.9876923076923078,0.9440559440559441,0.9827671063114102,0.75,0.7777777777777778,0.7638888888888888,0.9642857142857143,0.9642857142857143,0.9722222222222222,0.9722222222222222,0.5,0.8181818181818182,0.6590909090909092,0.611111111111111,0.611111111111111,0.6818181818181818,0.6818181818181818,0.7777777777777778,1.0,0.5,1.0,0.8194444444444444,1.2857142857142856,0.6428571428571428,1.2857142857142856,1.0714285714285714,1.2222222222222223,0.7222222222222222,1.2222222222222223,1.0555555555555556
Feldman-SVM,lambda=1.0,2,0.7215568862275449,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6636363636363637,0.75,0.7068181818181818,0.8848484848484849,0.8848484848484849,0.9136363636363637,0.9136363636363637,0.6153846153846154,0.7411347517730497,0.6782596835788326,0.8303275671696725,0.8303275671696725,0.8742498636115658,0.8742498636115658,0.766497461928934,0.6823529411764706,0.6,0.6296296296296297,0.6696200081837586,0.8902220490845345,0.7827814569536424,0.8214373313711063,0.8314802791364277,0.9158554792475366,0.833502538071066,0.8631321677006957,0.8708300616730994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6636363636363637,0.75,0.7068181818181818,0.8848484848484849,0.8848484848484849,0.9136363636363637,0.9136363636363637,0.6153846153846154,0.7411347517730497,0.6782596835788326,0.8303275671696725,0.8303275671696725,0.8742498636115658,0.8742498636115658,0.766497461928934,0.6823529411764706,0.6,0.6296296296296297,0.6696200081837586,0.8902220490845345,0.7827814569536424,0.8214373313711063,0.8314802791364277,0.9158554792475366,0.833502538071066,0.8631321677006957,0.8708300616730994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-SVM,lambda=1.0,3,0.7035928143712575,0.9666666666666667,0.031914893617021274,0.49929078014184397,-0.003574232725828111,1.0108386565011334,1.016119856315354,1.0104427238435578,0.631578947368421,0.7322175732217573,0.6818982602950892,0.8625563909774436,0.8625563909774436,0.8993613741466637,0.8993613741466637,0.6346153846153846,0.7163120567375887,0.6754637206764866,0.8859482102056359,0.8859482102056359,0.9183033278777959,0.9183033278777959,0.726027397260274,0.6825396825396826,0.53125,0.8,0.6849542699499891,0.9401018268942797,0.7317216981132075,1.1018867924528302,0.9245701058201057,0.9565122852794086,0.805222602739726,1.073972602739726,0.9452358302529534,0.9672131147540983,0.9664804469273743,0.9668467808407364,1.0007580782715815,1.0007580782715815,1.0007326678267239,1.0007326678267239,0.9705882352941176,0.9660194174757282,0.9683038263849228,1.004729530002956,1.004729530002956,1.0045688178183894,1.0045688178183894,0.9631901840490797,0.9767441860465116,0.9444444444444444,1.0,0.9710947036350089,1.0140719893349133,0.9805378627034678,1.0382165605095541,1.0109421375159784,1.0135540019974318,0.9812542603953647,1.0368098159509203,1.0105393594479055,0.029411764705882353,0.03333333333333333,0.03137254901960784,0.8823529411764706,0.8823529411764706,0.996078431372549,0.996078431372549,0.0,0.039473684210526314,0.019736842105263157,0.0,1.0,0.9605263157894737,0.9605263157894737,0.03571428571428571,0.05,0.0,0.0,0.02142857142857143,1.4000000000000001,0.0,0.0,0.46666666666666673,1.0142857142857142,0.9642857142857143,0.9642857142857143,0.980952380952381,0.9705882352941176,0.9666666666666667,0.9686274509803922,1.0040567951318458,1.0040567951318458,1.003921568627451,1.003921568627451,1.0,0.9605263157894737,0.9802631578947368,1.0410958904109588,1.0410958904109588,1.0394736842105263,1.0394736842105263,0.9642857142857143,0.95,1.0,1.0,0.9785714285714285,0.9851851851851852,1.037037037037037,1.037037037037037,1.019753086419753,0.9857142857142857,1.0357142857142856,1.0357142857142856,1.019047619047619,0.032786885245901676,0.03351955307262566,0.03315321915926367,0.9781420765027343,0.9781420765027343,0.999267332173276,0.999267332173276,0.02941176470588236,0.03398058252427183,0.031696173615077095,0.8655462184873955,0.8655462184873955,0.9954311821816105,0.9954311821816105,0.036809815950920255,0.023255813953488413,0.05555555555555558,0.0,0.028905296364991062,0.6317829457364351,1.5092592592592595,0.0,0.7136807349985649,0.9864459980025682,1.0187457396046353,0.9631901840490797,0.9894606405520946,0.6413043478260869,0.7489177489177489,0.6951110483719178,0.8563081176174918,0.8563081176174918,0.892386598908338,0.892386598908338,0.6470588235294118,0.7316176470588235,0.6893382352941176,0.8844221105527639,0.8844221105527639,0.9154411764705883,0.9154411764705883,0.7440758293838863,0.6885245901639344,0.5483870967741935,0.8,0.6952468790805035,0.9253419651247781,0.7370043147729607,1.0751592356687898,0.9125018385221763,0.9444487607800481,0.8043112673903072,1.0559241706161138,0.934894732928823,0.6666666666666666,0.75,0.7083333333333333,0.8888888888888888,0.8888888888888888,0.9166666666666666,0.9166666666666666,1.0,0.7,0.85,1.4285714285714286,1.4285714285714286,1.3,1.3,0.75,0.5,1.0,1.0,0.8125,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.111111111111111,0.75,1.25,1.25,1.0833333333333333
Feldman-SVM,lambda=1.0,4,0.688622754491018,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6354166666666666,0.7100840336134454,0.672750350140056,0.8948471400394477,0.8948471400394477,0.9253326330532212,0.9253326330532212,0.6111111111111112,0.7035714285714286,0.65734126984127,0.8685843203609701,0.8685843203609701,0.9075396825396825,0.9075396825396825,0.7203791469194313,0.6521739130434783,0.5925925925925926,0.6296296296296297,0.648693820546283,0.9053203661327232,0.8226120857699805,0.8740253411306044,0.867319264344436,0.931794766124047,0.8722134456731613,0.9092504827101984,0.9044195648358023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6354166666666666,0.7100840336134454,0.672750350140056,0.8948471400394477,0.8948471400394477,0.9253326330532212,0.9253326330532212,0.6111111111111112,0.7035714285714286,0.65734126984127,0.8685843203609701,0.8685843203609701,0.9075396825396825,0.9075396825396825,0.7203791469194313,0.6521739130434783,0.5925925925925926,0.6296296296296297,0.648693820546283,0.9053203661327232,0.8226120857699805,0.8740253411306044,0.867319264344436,0.931794766124047,0.8722134456731613,0.9092504827101984,0.9044195648358023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-SVM,lambda=1.0,5,0.688622754491018,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5943396226415094,0.7324561403508771,0.6633978814961933,0.8114337363009829,0.8114337363009829,0.8618834822906323,0.8618834822906323,0.66,0.6936619718309859,0.676830985915493,0.9514720812182742,0.9514720812182742,0.9663380281690142,0.9663380281690142,0.7298578199052133,0.589041095890411,0.6060606060606061,0.7647058823529411,0.6724163510522928,0.8070628002134852,0.8303817394726486,1.047746371275783,0.8950636369873056,0.8591832759851977,0.8762027861553928,1.0348480624477279,0.9234113748627729,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5943396226415094,0.7324561403508771,0.6633978814961933,0.8114337363009829,0.8114337363009829,0.8618834822906323,0.8618834822906323,0.66,0.6936619718309859,0.676830985915493,0.9514720812182742,0.9514720812182742,0.9663380281690142,0.9663380281690142,0.7298578199052133,0.589041095890411,0.6060606060606061,0.7647058823529411,0.6724163510522928,0.8070628002134852,0.8303817394726486,1.047746371275783,0.8950636369873056,0.8591832759851977,0.8762027861553928,1.0348480624477279,0.9234113748627729,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-SVM,lambda=1.0,6,0.7245508982035929,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6601941747572816,0.7532467532467533,0.7067204640020175,0.8764646802812186,0.8764646802812186,0.9069474215105283,0.9069474215105283,0.5454545454545454,0.7517241379310344,0.6485893416927899,0.725604670558799,0.725604670558799,0.793730407523511,0.793730407523511,0.7783018867924528,0.6794871794871795,0.6,0.47368421052631576,0.6328683192014871,0.8730380730380731,0.7709090909090909,0.6086124401913875,0.7508532013795172,0.9011852926947267,0.8216981132075472,0.695382323733863,0.806088576545379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6601941747572816,0.7532467532467533,0.7067204640020175,0.8764646802812186,0.8764646802812186,0.9069474215105283,0.9069474215105283,0.5454545454545454,0.7517241379310344,0.6485893416927899,0.725604670558799,0.725604670558799,0.793730407523511,0.793730407523511,0.7783018867924528,0.6794871794871795,0.6,0.47368421052631576,0.6328683192014871,0.8730380730380731,0.7709090909090909,0.6086124401913875,0.7508532013795172,0.9011852926947267,0.8216981132075472,0.695382323733863,0.806088576545379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-SVM,lambda=1.0,7,0.6916167664670658,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6116504854368932,0.7272727272727273,0.6694616063548102,0.8410194174757281,0.8410194174757281,0.8843777581641659,0.8843777581641659,0.5384615384615384,0.7198581560283688,0.6291598472449536,0.7480106100795756,0.7480106100795756,0.8186033824331697,0.8186033824331697,0.7428571428571429,0.6527777777777778,0.5161290322580645,0.5714285714285714,0.6207981310803892,0.8787393162393162,0.6947890818858561,0.7692307692307692,0.7809197224519805,0.9099206349206349,0.7732718894009216,0.8285714285714285,0.8372546509643284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6116504854368932,0.7272727272727273,0.6694616063548102,0.8410194174757281,0.8410194174757281,0.8843777581641659,0.8843777581641659,0.5384615384615384,0.7198581560283688,0.6291598472449536,0.7480106100795756,0.7480106100795756,0.8186033824331697,0.8186033824331697,0.7428571428571429,0.6527777777777778,0.5161290322580645,0.5714285714285714,0.6207981310803892,0.8787393162393162,0.6947890818858561,0.7692307692307692,0.7809197224519805,0.9099206349206349,0.7732718894009216,0.8285714285714285,0.8372546509643284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-SVM,lambda=1.0,8,0.6946107784431138,0.9956896551724138,0.00980392156862745,0.5027467883705207,0.03279557383482817,0.9950376312960053,0.9805099030762748,0.995059491951089,0.6451612903225806,0.7136929460580913,0.679427118190336,0.9039759939984996,0.9039759939984996,0.9314683442644893,0.9314683442644893,0.5,0.7195945945945946,0.6097972972972974,0.6948356807511736,0.6948356807511736,0.7804054054054054,0.7804054054054054,0.7224669603524229,0.7101449275362319,0.4583333333333333,0.5714285714285714,0.6155934481626398,0.9829445033580771,0.634400406504065,0.7909407665505227,0.8027618921375549,0.9876779671838091,0.7358663729809105,0.8489616110761485,0.857501983746956,1.0,0.9941860465116279,0.997093023255814,1.0058479532163742,1.0058479532163742,1.005813953488372,1.005813953488372,1.0,0.9953271028037384,0.9976635514018692,1.004694835680751,1.004694835680751,1.0046728971962615,1.0046728971962615,0.9939393939393939,1.0,1.0,1.0,0.9984848484848485,1.0060975609756098,1.0060975609756098,1.0060975609756098,1.0060975609756098,1.006060606060606,1.006060606060606,1.006060606060606,1.006060606060606,0.0,0.014492753623188406,0.007246376811594203,0.0,1.0,0.9855072463768116,0.9855072463768116,0.05,0.0,0.025,0.0,1.0,1.05,1.05,0.0,0.0,0.0,0.14285714285714285,0.03571428571428571,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.1428571428571428,1.0476190476190477,1.0,0.9855072463768116,0.9927536231884058,1.0147058823529411,1.0147058823529411,1.0144927536231885,1.0144927536231885,0.95,1.0,0.975,0.95,0.95,0.95,0.95,1.0,1.0,1.0,0.8571428571428572,0.9642857142857143,1.0,1.0,0.8571428571428572,0.9523809523809524,1.0,1.0,0.8571428571428572,0.9523809523809524,0.0,0.005813953488372103,0.0029069767441860517,0.0,1.0,0.9941860465116279,0.9941860465116279,0.0,0.004672897196261627,0.0023364485981308136,0.0,1.0,0.9953271028037384,0.9953271028037384,0.0060606060606061,0.0,0.0,0.0,0.001515151515151525,0.0,0.0,0.0,1.0,0.9939393939393939,0.9939393939393939,0.9939393939393939,0.9939393939393938,0.6451612903225806,0.7154811715481172,0.6803212309353489,0.901716657234484,0.901716657234484,0.9296801187744634,0.9296801187744634,0.4864864864864865,0.7220338983050848,0.6042601923957857,0.6737723639132089,0.6737723639132089,0.7644525881814017,0.7644525881814017,0.7256637168141593,0.7101449275362319,0.4583333333333333,0.5384615384615384,0.6081508790363157,0.9786143513609049,0.6316056910569106,0.7420262664165103,0.7840821029447752,0.9844812107220726,0.732669616519174,0.8127978216473791,0.8433162162962086,1.0,0.5,0.75,2.0,2.0,1.5,1.5,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666
