Algorithms,Acc,Acc_SD,BCR,BCR_SD,MCC,MCC_SD,DI,DI_SD,CV,CV_SD,Run Time
Kamishima Acc/DI,0.765,0.0184358046403,0.6830882352941177,0.0101086228565,0.400212126454,0.0446863443916,0.924526221075088,0.0415968088952,1.0613910133316935,0.0355617555997,0:00:17.296780
Kamishima Acc,0.765,0.0196619351922,0.6764705882352942,0.0139201877249,0.403497941584,0.0465448383858,0.9016340268591184,0.0748228461243,1.0799536364180757,0.0592449253564,0:00:17.487612
Kamishima DI,0.768529411765,0.019819688928,0.6797058823529412,0.012300308039,0.405005571205,0.0486526865198,0.9012807773707484,0.0416644974298,1.0815191507024753,0.0363882504037,0:00:17.626727
