algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,W-accuracy,B-accuracy,H-accuracy,Race-accuracy,B-accuracy_over_W-accuracy,H-accuracy_over_W-accuracy,Race-accuracyRatio,diff:W-accuracytoB-accuracy,diff:W-accuracytoH-accuracy,Race-accuracyDiff,W-TPR,B-TPR,H-TPR,Race-TPR,B-TPR_over_W-TPR,H-TPR_over_W-TPR,Race-TPRRatio,diff:W-TPRtoB-TPR,diff:W-TPRtoH-TPR,Race-TPRDiff,W-TNR,B-TNR,H-TNR,Race-TNR,B-TNR_over_W-TNR,H-TNR_over_W-TNR,Race-TNRRatio,diff:W-TNRtoB-TNR,diff:W-TNRtoH-TNR,Race-TNRDiff,W-FPR,B-FPR,H-FPR,Race-FPR,B-FPR_over_W-FPR,H-FPR_over_W-FPR,Race-FPRRatio,diff:W-FPRtoB-FPR,diff:W-FPRtoH-FPR,Race-FPRDiff,W-FNR,B-FNR,H-FNR,Race-FNR,B-FNR_over_W-FNR,H-FNR_over_W-FNR,Race-FNRRatio,diff:W-FNRtoB-FNR,diff:W-FNRtoH-FNR,Race-FNRDiff,W-calibration+,B-calibration+,H-calibration+,Race-calibration+,B-calibration+_over_W-calibration+,H-calibration+_over_W-calibration+,Race-calibration+Ratio,diff:W-calibration+toB-calibration+,diff:W-calibration+toH-calibration+,Race-calibration+Diff,W-calibration-,B-calibration-,H-calibration-,Race-calibration-,B-calibration-_over_W-calibration-,H-calibration-_over_W-calibration-,Race-calibration-Ratio,diff:W-calibration-toB-calibration-,diff:W-calibration-toH-calibration-,Race-calibration-Diff
Feldman-GaussianNB-accuracy,lambda=0.0,0,0.85,0.9230769230769231,0.8148148148148148,0.8689458689458689,0.6991298210527999,0.4605263157894737,0.45738636363636365,0.6917293233082706,0.8571428571428571,1.0,0.7272727272727273,0.8614718614718614,1.1666666666666667,0.8484848484848485,1.0075757575757576,1.1428571428571428,0.8701298701298702,1.0064935064935066,1.0,1.0,0.5,0.8333333333333334,1.0,0.5,0.75,1.0,0.5,0.75,0.75,1.0,0.7777777777777778,0.8425925925925926,1.3333333333333333,1.037037037037037,1.1851851851851851,1.25,1.0277777777777777,1.1388888888888888,0.25,0.0,0.2222222222222222,0.1574074074074074,0.0,0.8888888888888888,0.4444444444444444,0.75,0.9722222222222222,0.8611111111111112,0.0,0.0,0.5,0.16666666666666666,1.0,0.0,0.5,1.0,1.5,1.25,0.75,1.0,0.3333333333333333,0.6944444444444445,1.3333333333333333,0.4444444444444444,0.8888888888888888,1.25,0.5833333333333333,0.9166666666666666,0.0,0.0,0.125,0.041666666666666664,1.0,0.0,0.5,1.0,1.125,1.0625
Feldman-GaussianNB-accuracy,lambda=0.05,0,0.85,1.0,0.7777777777777778,0.8888888888888888,0.7294955398698875,0.5101214574898785,0.4956293706293706,0.6967418546365914,0.8095238095238095,1.0,0.8181818181818182,0.8759018759018758,1.2352941176470589,1.0106951871657754,1.1229946524064172,1.1904761904761905,1.0086580086580086,1.0995670995670994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7777777777777778,0.8148148148148148,1.5,1.1666666666666667,1.3333333333333335,1.3333333333333335,1.1111111111111112,1.2222222222222223,0.33333333333333337,0.0,0.2222222222222222,0.1851851851851852,0.0,0.6666666666666665,0.33333333333333326,0.6666666666666666,0.8888888888888888,0.7777777777777777,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,1.0,0.5,0.7307692307692308,1.4444444444444444,0.7222222222222222,1.0833333333333333,1.3076923076923077,0.8076923076923077,1.0576923076923077,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.1,0,0.85,1.0,0.7777777777777778,0.8888888888888888,0.7294955398698875,0.5101214574898785,0.4956293706293706,0.6967418546365914,0.8095238095238095,1.0,0.8181818181818182,0.8759018759018758,1.2352941176470589,1.0106951871657754,1.1229946524064172,1.1904761904761905,1.0086580086580086,1.0995670995670994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7777777777777778,0.8148148148148148,1.5,1.1666666666666667,1.3333333333333335,1.3333333333333335,1.1111111111111112,1.2222222222222223,0.33333333333333337,0.0,0.2222222222222222,0.1851851851851852,0.0,0.6666666666666665,0.33333333333333326,0.6666666666666666,0.8888888888888888,0.7777777777777777,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,1.0,0.5,0.7307692307692308,1.4444444444444444,0.7222222222222222,1.0833333333333333,1.3076923076923077,0.8076923076923077,1.0576923076923077,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.15,0,0.85,1.0,0.7777777777777778,0.8888888888888888,0.7294955398698875,0.5101214574898785,0.4956293706293706,0.6967418546365914,0.8095238095238095,1.0,0.8181818181818182,0.8759018759018758,1.2352941176470589,1.0106951871657754,1.1229946524064172,1.1904761904761905,1.0086580086580086,1.0995670995670994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7777777777777778,0.8148148148148148,1.5,1.1666666666666667,1.3333333333333335,1.3333333333333335,1.1111111111111112,1.2222222222222223,0.33333333333333337,0.0,0.2222222222222222,0.1851851851851852,0.0,0.6666666666666665,0.33333333333333326,0.6666666666666666,0.8888888888888888,0.7777777777777777,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,1.0,0.5,0.7307692307692308,1.4444444444444444,0.7222222222222222,1.0833333333333333,1.3076923076923077,0.8076923076923077,1.0576923076923077,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.2,0,0.85,1.0,0.7777777777777778,0.8888888888888888,0.7294955398698875,0.5101214574898785,0.4956293706293706,0.6967418546365914,0.8095238095238095,1.0,0.8181818181818182,0.8759018759018758,1.2352941176470589,1.0106951871657754,1.1229946524064172,1.1904761904761905,1.0086580086580086,1.0995670995670994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7777777777777778,0.8148148148148148,1.5,1.1666666666666667,1.3333333333333335,1.3333333333333335,1.1111111111111112,1.2222222222222223,0.33333333333333337,0.0,0.2222222222222222,0.1851851851851852,0.0,0.6666666666666665,0.33333333333333326,0.6666666666666666,0.8888888888888888,0.7777777777777777,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,1.0,0.5,0.7307692307692308,1.4444444444444444,0.7222222222222222,1.0833333333333333,1.3076923076923077,0.8076923076923077,1.0576923076923077,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.25,0,0.85,1.0,0.7777777777777778,0.8888888888888888,0.7294955398698875,0.5101214574898785,0.4956293706293706,0.6967418546365914,0.8095238095238095,1.0,0.8181818181818182,0.8759018759018758,1.2352941176470589,1.0106951871657754,1.1229946524064172,1.1904761904761905,1.0086580086580086,1.0995670995670994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.7777777777777778,0.8148148148148148,1.5,1.1666666666666667,1.3333333333333335,1.3333333333333335,1.1111111111111112,1.2222222222222223,0.33333333333333337,0.0,0.2222222222222222,0.1851851851851852,0.0,0.6666666666666665,0.33333333333333326,0.6666666666666666,0.8888888888888888,0.7777777777777777,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,1.0,0.5,0.7307692307692308,1.4444444444444444,0.7222222222222222,1.0833333333333333,1.3076923076923077,0.8076923076923077,1.0576923076923077,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.3,0,0.825,1.0,0.7407407407407407,0.8703703703703703,0.693888666488711,0.5951417004048583,0.5965909090909091,0.7493734335839599,0.8095238095238095,0.875,0.8181818181818182,0.8342352092352092,1.0808823529411764,1.0106951871657754,1.045788770053476,1.0654761904761905,1.0086580086580086,1.0370670995670994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,0.7777777777777778,0.7592592592592592,1.2500000000000002,1.1666666666666667,1.2083333333333335,1.1666666666666667,1.1111111111111112,1.1388888888888888,0.33333333333333337,0.16666666666666663,0.2222222222222222,0.24074074074074073,0.49999999999999983,0.6666666666666665,0.5833333333333331,0.8333333333333333,0.8888888888888888,0.861111111111111,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,0.6666666666666666,0.5,0.6196581196581197,0.9629629629629629,0.7222222222222222,0.8425925925925926,0.9743589743589743,0.8076923076923077,0.891025641025641,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.35,0,0.8,1.0,0.7037037037037037,0.8518518518518519,0.6600197741679934,0.680161943319838,0.6700174825174825,0.8020050125313283,0.8095238095238095,0.875,0.7272727272727273,0.8039321789321789,1.0808823529411764,0.8983957219251337,0.9896390374331551,1.0654761904761905,0.9177489177489178,0.9916125541125541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7222222222222222,1.2500000000000002,1.0,1.125,1.1666666666666667,1.0,1.0833333333333335,0.33333333333333337,0.16666666666666663,0.33333333333333337,0.2777777777777778,0.49999999999999983,1.0,0.7499999999999999,0.8333333333333333,1.0,0.9166666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,0.6666666666666666,0.4,0.5863247863247864,0.9629629629629629,0.5777777777777778,0.7703703703703704,0.9743589743589743,0.7076923076923077,0.841025641025641,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.4,0,0.8,1.0,0.7037037037037037,0.8518518518518519,0.6600197741679934,0.680161943319838,0.6700174825174825,0.8020050125313283,0.8095238095238095,0.875,0.7272727272727273,0.8039321789321789,1.0808823529411764,0.8983957219251337,0.9896390374331551,1.0654761904761905,0.9177489177489178,0.9916125541125541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7222222222222222,1.2500000000000002,1.0,1.125,1.1666666666666667,1.0,1.0833333333333335,0.33333333333333337,0.16666666666666663,0.33333333333333337,0.2777777777777778,0.49999999999999983,1.0,0.7499999999999999,0.8333333333333333,1.0,0.9166666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,0.6666666666666666,0.4,0.5863247863247864,0.9629629629629629,0.5777777777777778,0.7703703703703704,0.9743589743589743,0.7076923076923077,0.841025641025641,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.45,0,0.8,1.0,0.7037037037037037,0.8518518518518519,0.6600197741679934,0.680161943319838,0.6700174825174825,0.8020050125313283,0.8095238095238095,0.875,0.7272727272727273,0.8039321789321789,1.0808823529411764,0.8983957219251337,0.9896390374331551,1.0654761904761905,0.9177489177489178,0.9916125541125541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7222222222222222,1.2500000000000002,1.0,1.125,1.1666666666666667,1.0,1.0833333333333335,0.33333333333333337,0.16666666666666663,0.33333333333333337,0.2777777777777778,0.49999999999999983,1.0,0.7499999999999999,0.8333333333333333,1.0,0.9166666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,0.6666666666666666,0.4,0.5863247863247864,0.9629629629629629,0.5777777777777778,0.7703703703703704,0.9743589743589743,0.7076923076923077,0.841025641025641,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
