algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,H-accuracy,W-accuracy,B-accuracy,Race-accuracy,H-accuracy_over_W-accuracy,B-accuracy_over_W-accuracy,Race-accuracyRatio,diff:W-accuracytoH-accuracy,diff:W-accuracytoB-accuracy,Race-accuracyDiff,H-TPR,W-TPR,B-TPR,Race-TPR,H-TPR_over_W-TPR,B-TPR_over_W-TPR,Race-TPRRatio,diff:W-TPRtoH-TPR,diff:W-TPRtoB-TPR,Race-TPRDiff,H-TNR,W-TNR,B-TNR,Race-TNR,H-TNR_over_W-TNR,B-TNR_over_W-TNR,Race-TNRRatio,diff:W-TNRtoH-TNR,diff:W-TNRtoB-TNR,Race-TNRDiff,H-FPR,W-FPR,B-FPR,Race-FPR,H-FPR_over_W-FPR,B-FPR_over_W-FPR,Race-FPRRatio,diff:W-FPRtoH-FPR,diff:W-FPRtoB-FPR,Race-FPRDiff,H-FNR,W-FNR,B-FNR,Race-FNR,H-FNR_over_W-FNR,B-FNR_over_W-FNR,Race-FNRRatio,diff:W-FNRtoH-FNR,diff:W-FNRtoB-FNR,Race-FNRDiff,H-calibration+,W-calibration+,B-calibration+,Race-calibration+,H-calibration+_over_W-calibration+,B-calibration+_over_W-calibration+,Race-calibration+Ratio,diff:W-calibration+toH-calibration+,diff:W-calibration+toB-calibration+,Race-calibration+Diff,H-calibration-,W-calibration-,B-calibration-,Race-calibration-,H-calibration-_over_W-calibration-,B-calibration-_over_W-calibration-,Race-calibration-Ratio,diff:W-calibration-toH-calibration-,diff:W-calibration-toB-calibration-,Race-calibration-Diff
Feldman-GaussianNB-DIavgall,lambda=0.0,0,0.9487179487179487,0.9428571428571428,0.9534883720930233,0.9481727574750831,0.896345514950166,0.47202797202797203,0.47087104072398195,0.694949494949495,1.0,0.9111111111111111,1.0,0.9703703703703703,1.0975609756097562,1.0975609756097562,1.0975609756097562,1.088888888888889,1.088888888888889,1.088888888888889,1.0,0.9230769230769231,1.0,0.9743589743589745,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0769230769230769,1.0769230769230769,1.0769230769230769,1.0,0.8947368421052632,1.0,0.9649122807017544,1.1176470588235294,1.1176470588235294,1.1176470588235294,1.1052631578947367,1.1052631578947367,1.1052631578947367,0.0,0.10526315789473684,0.0,0.03508771929824561,0.0,0.0,1.0,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.0,0.07692307692307687,0.0,0.025641025641025623,0.0,0.0,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231,1.0,0.9743589743589745,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0769230769230769,1.0769230769230769,1.0769230769230769,0.0,0.10526315789473684,0.0,0.03508771929824561,0.0,0.0,1.0,0.8947368421052632,0.8947368421052632,0.8947368421052632
Feldman-GaussianNB-DIavgall,lambda=0.05,0,0.9230769230769231,0.9428571428571428,0.9069767441860465,0.9249169435215947,0.8464659719951583,0.5050505050505051,0.5024509803921569,0.7030303030303031,0.9411764705882353,0.8888888888888888,1.0,0.943355119825708,1.0588235294117647,1.125,1.0919117647058822,1.0522875816993464,1.1111111111111112,1.081699346405229,1.0,0.9230769230769231,1.0,0.9743589743589745,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0769230769230769,1.0769230769230769,1.0769230769230769,0.9166666666666666,0.8421052631578947,1.0,0.9195906432748537,1.0885416666666667,1.1875,1.1380208333333335,1.0745614035087718,1.1578947368421053,1.1162280701754386,0.08333333333333337,0.1578947368421053,0.0,0.08040935672514622,0.5277777777777779,0.0,0.26388888888888895,0.9254385964912281,0.8421052631578947,0.8837719298245614,0.0,0.07692307692307687,0.0,0.025641025641025623,0.0,0.0,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8333333333333334,0.8888888888888888,1.0,0.9074074074074074,0.9375000000000001,1.125,1.03125,0.9444444444444445,1.1111111111111112,1.027777777777778,0.0,0.1111111111111111,0.0,0.037037037037037035,0.0,0.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
Feldman-GaussianNB-DIavgall,lambda=0.1,0,0.9358974358974359,0.9428571428571428,0.9302325581395349,0.9365448504983389,0.8710663154238953,0.5244755244755246,0.5217760180995475,0.7252525252525253,0.9411764705882353,0.9111111111111111,1.0,0.9507625272331155,1.0329985652797704,1.0975609756097562,1.0652797704447634,1.030065359477124,1.088888888888889,1.0594771241830065,1.0,0.9230769230769231,1.0,0.9743589743589745,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0769230769230769,1.0769230769230769,1.0769230769230769,0.9166666666666666,0.8947368421052632,1.0,0.9371345029239766,1.0245098039215685,1.1176470588235294,1.071078431372549,1.0219298245614035,1.1052631578947367,1.0635964912280702,0.08333333333333337,0.10526315789473684,0.0,0.0628654970760234,0.7916666666666671,0.0,0.39583333333333354,0.9780701754385965,0.8947368421052632,0.9364035087719298,0.0,0.07692307692307687,0.0,0.025641025641025623,0.0,0.0,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8333333333333334,0.9230769230769231,1.0,0.9188034188034188,0.9027777777777778,1.0833333333333333,0.9930555555555556,0.9102564102564102,1.0769230769230769,0.9935897435897436,0.0,0.10526315789473684,0.0,0.03508771929824561,0.0,0.0,1.0,0.8947368421052632,0.8947368421052632,0.8947368421052632
Feldman-GaussianNB-DIavgall,lambda=0.15,0,0.9358974358974359,0.9428571428571428,0.9302325581395349,0.9365448504983389,0.8710663154238953,0.5244755244755246,0.5217760180995475,0.7252525252525253,0.9411764705882353,0.9111111111111111,1.0,0.9507625272331155,1.0329985652797704,1.0975609756097562,1.0652797704447634,1.030065359477124,1.088888888888889,1.0594771241830065,1.0,0.9230769230769231,1.0,0.9743589743589745,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0769230769230769,1.0769230769230769,1.0769230769230769,0.9166666666666666,0.8947368421052632,1.0,0.9371345029239766,1.0245098039215685,1.1176470588235294,1.071078431372549,1.0219298245614035,1.1052631578947367,1.0635964912280702,0.08333333333333337,0.10526315789473684,0.0,0.0628654970760234,0.7916666666666671,0.0,0.39583333333333354,0.9780701754385965,0.8947368421052632,0.9364035087719298,0.0,0.07692307692307687,0.0,0.025641025641025623,0.0,0.0,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8333333333333334,0.9230769230769231,1.0,0.9188034188034188,0.9027777777777778,1.0833333333333333,0.9930555555555556,0.9102564102564102,1.0769230769230769,0.9935897435897436,0.0,0.10526315789473684,0.0,0.03508771929824561,0.0,0.0,1.0,0.8947368421052632,0.8947368421052632,0.8947368421052632
Feldman-GaussianNB-DIavgall,lambda=0.2,0,0.9102564102564102,0.9142857142857143,0.9069767441860465,0.9106312292358804,0.8193591825448511,0.5244755244755246,0.5217760180995475,0.7252525252525253,0.9411764705882353,0.8666666666666667,1.0,0.9359477124183005,1.085972850678733,1.1538461538461537,1.1199095022624435,1.0745098039215686,1.1333333333333333,1.103921568627451,1.0,0.8846153846153846,1.0,0.9615384615384616,1.1304347826086958,1.1304347826086958,1.1304347826086958,1.1153846153846154,1.1153846153846154,1.1153846153846154,0.9166666666666666,0.8421052631578947,1.0,0.9195906432748537,1.0885416666666667,1.1875,1.1380208333333335,1.0745614035087718,1.1578947368421053,1.1162280701754386,0.08333333333333337,0.1578947368421053,0.0,0.08040935672514622,0.5277777777777779,0.0,0.26388888888888895,0.9254385964912281,0.8421052631578947,0.8837719298245614,0.0,0.11538461538461542,0.0,0.03846153846153847,0.0,0.0,1.0,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8333333333333334,0.8846153846153846,1.0,0.905982905982906,0.9420289855072465,1.1304347826086958,1.0362318840579712,0.9487179487179488,1.1153846153846154,1.0320512820512822,0.0,0.15789473684210525,0.0,0.05263157894736842,0.0,0.0,1.0,0.8421052631578947,0.8421052631578947,0.8421052631578947
Feldman-GaussianNB-DIavgall,lambda=0.25,0,0.9230769230769231,0.9142857142857143,0.9302325581395349,0.9222591362126246,0.8445182724252491,0.5454545454545454,0.5426470588235294,0.7474747474747474,0.9411764705882353,0.8888888888888888,1.0,0.943355119825708,1.0588235294117647,1.125,1.0919117647058822,1.0522875816993464,1.1111111111111112,1.081699346405229,1.0,0.8846153846153846,1.0,0.9615384615384616,1.1304347826086958,1.1304347826086958,1.1304347826086958,1.1153846153846154,1.1153846153846154,1.1153846153846154,0.9166666666666666,0.8947368421052632,1.0,0.9371345029239766,1.0245098039215685,1.1176470588235294,1.071078431372549,1.0219298245614035,1.1052631578947367,1.0635964912280702,0.08333333333333337,0.10526315789473684,0.0,0.0628654970760234,0.7916666666666671,0.0,0.39583333333333354,0.9780701754385965,0.8947368421052632,0.9364035087719298,0.0,0.11538461538461542,0.0,0.03846153846153847,0.0,0.0,1.0,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8333333333333334,0.92,1.0,0.9177777777777778,0.9057971014492754,1.0869565217391304,0.9963768115942029,0.9133333333333333,1.08,0.9966666666666667,0.0,0.15,0.0,0.049999999999999996,0.0,0.0,1.0,0.85,0.85,0.85
Feldman-GaussianNB-DIavgall,lambda=0.3,0,0.9230769230769231,0.9142857142857143,0.9302325581395349,0.9222591362126246,0.8445182724252491,0.5454545454545454,0.5426470588235294,0.7474747474747474,0.9411764705882353,0.8888888888888888,1.0,0.943355119825708,1.0588235294117647,1.125,1.0919117647058822,1.0522875816993464,1.1111111111111112,1.081699346405229,1.0,0.8846153846153846,1.0,0.9615384615384616,1.1304347826086958,1.1304347826086958,1.1304347826086958,1.1153846153846154,1.1153846153846154,1.1153846153846154,0.9166666666666666,0.8947368421052632,1.0,0.9371345029239766,1.0245098039215685,1.1176470588235294,1.071078431372549,1.0219298245614035,1.1052631578947367,1.0635964912280702,0.08333333333333337,0.10526315789473684,0.0,0.0628654970760234,0.7916666666666671,0.0,0.39583333333333354,0.9780701754385965,0.8947368421052632,0.9364035087719298,0.0,0.11538461538461542,0.0,0.03846153846153847,0.0,0.0,1.0,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8333333333333334,0.92,1.0,0.9177777777777778,0.9057971014492754,1.0869565217391304,0.9963768115942029,0.9133333333333333,1.08,0.9966666666666667,0.0,0.15,0.0,0.049999999999999996,0.0,0.0,1.0,0.85,0.85,0.85
Feldman-GaussianNB-DIavgall,lambda=0.35,0,0.9358974358974359,0.9142857142857143,0.9534883720930233,0.9338870431893688,0.8703804552639625,0.5681818181818182,0.5652573529411765,0.7696969696969698,0.9411764705882353,0.9111111111111111,1.0,0.9507625272331155,1.0329985652797704,1.0975609756097562,1.0652797704447634,1.030065359477124,1.088888888888889,1.0594771241830065,1.0,0.8846153846153846,1.0,0.9615384615384616,1.1304347826086958,1.1304347826086958,1.1304347826086958,1.1153846153846154,1.1153846153846154,1.1153846153846154,0.9166666666666666,0.9473684210526315,1.0,0.9546783625730993,0.9675925925925926,1.0555555555555556,1.011574074074074,0.9692982456140351,1.0526315789473686,1.0109649122807018,0.08333333333333337,0.052631578947368474,0.0,0.04532163742690062,1.5833333333333324,0.0,0.7916666666666662,1.030701754385965,0.9473684210526315,0.9890350877192982,0.0,0.11538461538461542,0.0,0.03846153846153847,0.0,0.0,1.0,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8333333333333334,0.9583333333333334,1.0,0.9305555555555557,0.8695652173913043,1.0434782608695652,0.9565217391304348,0.875,1.0416666666666665,0.9583333333333333,0.0,0.14285714285714285,0.0,0.047619047619047616,0.0,0.0,1.0,0.8571428571428572,0.8571428571428572,0.8571428571428572
Feldman-GaussianNB-DIavgall,lambda=0.4,0,0.9358974358974359,0.9142857142857143,0.9534883720930233,0.9338870431893688,0.8703804552639625,0.5681818181818182,0.5652573529411765,0.7696969696969698,0.9411764705882353,0.9111111111111111,1.0,0.9507625272331155,1.0329985652797704,1.0975609756097562,1.0652797704447634,1.030065359477124,1.088888888888889,1.0594771241830065,1.0,0.8846153846153846,1.0,0.9615384615384616,1.1304347826086958,1.1304347826086958,1.1304347826086958,1.1153846153846154,1.1153846153846154,1.1153846153846154,0.9166666666666666,0.9473684210526315,1.0,0.9546783625730993,0.9675925925925926,1.0555555555555556,1.011574074074074,0.9692982456140351,1.0526315789473686,1.0109649122807018,0.08333333333333337,0.052631578947368474,0.0,0.04532163742690062,1.5833333333333324,0.0,0.7916666666666662,1.030701754385965,0.9473684210526315,0.9890350877192982,0.0,0.11538461538461542,0.0,0.03846153846153847,0.0,0.0,1.0,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8333333333333334,0.9583333333333334,1.0,0.9305555555555557,0.8695652173913043,1.0434782608695652,0.9565217391304348,0.875,1.0416666666666665,0.9583333333333333,0.0,0.14285714285714285,0.0,0.047619047619047616,0.0,0.0,1.0,0.8571428571428572,0.8571428571428572,0.8571428571428572
Feldman-GaussianNB-DIavgall,lambda=0.45,0,0.9230769230769231,0.9142857142857143,0.9302325581395349,0.9222591362126246,0.8445182724252491,0.625,0.6238511029411765,0.8,0.9411764705882353,0.9111111111111111,0.9375,0.9299291938997821,1.0329985652797704,1.0289634146341464,1.0309809899569584,1.030065359477124,1.026388888888889,1.0282271241830065,1.0,0.8846153846153846,1.0,0.9615384615384616,1.1304347826086958,1.1304347826086958,1.1304347826086958,1.1153846153846154,1.1153846153846154,1.1153846153846154,0.9166666666666666,0.9473684210526315,0.9166666666666666,0.9269005847953217,0.9675925925925926,0.9675925925925926,0.9675925925925926,0.9692982456140351,0.9692982456140351,0.9692982456140351,0.08333333333333337,0.052631578947368474,0.08333333333333337,0.0730994152046784,1.5833333333333324,1.5833333333333324,1.5833333333333324,1.030701754385965,1.030701754385965,1.030701754385965,0.0,0.11538461538461542,0.0,0.03846153846153847,0.0,0.0,1.0,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8333333333333334,0.9583333333333334,0.8,0.8638888888888889,0.8695652173913043,0.8347826086956522,0.8521739130434782,0.875,0.8416666666666667,0.8583333333333334,0.0,0.14285714285714285,0.0,0.047619047619047616,0.0,0.0,1.0,0.8571428571428572,0.8571428571428572,0.8571428571428572
