algorithm,params,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sensitive-attr-accuracy,0-accuracy_over_1-accuracy,sensitive-attr-accuracyRatio,diff:1-accuracyto0-accuracy,sensitive-attr-accuracyDiff,0-TPR,1-TPR,sensitive-attr-TPR,0-TPR_over_1-TPR,sensitive-attr-TPRRatio,diff:1-TPRto0-TPR,sensitive-attr-TPRDiff,0-TNR,1-TNR,sensitive-attr-TNR,0-TNR_over_1-TNR,sensitive-attr-TNRRatio,diff:1-TNRto0-TNR,sensitive-attr-TNRDiff,0-FPR,1-FPR,sensitive-attr-FPR,0-FPR_over_1-FPR,sensitive-attr-FPRRatio,diff:1-FPRto0-FPR,sensitive-attr-FPRDiff,0-FNR,1-FNR,sensitive-attr-FNR,0-FNR_over_1-FNR,sensitive-attr-FNRRatio,diff:1-FNRto0-FNR,sensitive-attr-FNRDiff,0-calibration+,1-calibration+,sensitive-attr-calibration+,0-calibration+_over_1-calibration+,sensitive-attr-calibration+Ratio,diff:1-calibration+to0-calibration+,sensitive-attr-calibration+Diff,0-calibration-,1-calibration-,sensitive-attr-calibration-,0-calibration-_over_1-calibration-,sensitive-attr-calibration-Ratio,diff:1-calibration-to0-calibration-,sensitive-attr-calibration-Diff
Zafar,,0.5671641791044776,1.0,0.03333333333333333,0.5166666666666667,0.13669992204412065,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.48484848484848486,0.6470588235294118,0.5659536541889483,0.7493112947658402,0.7493112947658402,0.8377896613190731,0.8377896613190731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05555555555555555,0.0,0.027777777777777776,0.0,1.0,1.0555555555555556,1.0555555555555556,0.9444444444444444,1.0,0.9722222222222222,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.46875,0.6470588235294118,0.5579044117647058,0.7244318181818181,0.7244318181818181,0.8216911764705882,0.8216911764705882,0.0,1.0,0.5,0.0,1.0,0.0,1.0
Zafar,,0.6417910447761194,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5161290322580645,0.75,0.6330645161290323,0.6881720430107526,0.6881720430107526,0.7661290322580645,0.7661290322580645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5161290322580645,0.75,0.6330645161290323,0.6881720430107526,0.6881720430107526,0.7661290322580645,0.7661290322580645,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Zafar,,0.6268656716417911,1.0,0.038461538461538464,0.5192307692307693,0.15457287566961378,0.972972972972973,0.972972972972973,0.972972972972973,0.6216216216216216,0.6333333333333333,0.6274774774774774,0.9815078236130867,0.9815078236130867,0.9882882882882883,0.9882882882882883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666666666666667,0.0,0.03333333333333333,0.0,1.0,1.0666666666666667,1.0666666666666667,0.9333333333333333,1.0,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6111111111111112,0.6333333333333333,0.6222222222222222,0.9649122807017545,0.9649122807017545,0.9777777777777779,0.9777777777777779,0.0,1.0,0.5,0.0,1.0,0.0,1.0
Zafar,,0.6567164179104478,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6578947368421053,0.6551724137931034,0.6565335753176044,1.0041551246537397,1.0041551246537397,1.0027223230490019,1.0027223230490019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6578947368421053,0.6551724137931034,0.6565335753176044,1.0041551246537397,1.0041551246537397,1.0027223230490019,1.0027223230490019,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Zafar,,0.746268656716418,1.0,0.19047619047619047,0.5952380952380952,0.37293143252288047,0.9290322580645162,0.9290322580645162,0.9310035842293907,0.6774193548387096,0.8055555555555556,0.7414874551971327,0.8409343715239154,0.8409343715239154,0.871863799283154,0.871863799283154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23076923076923078,0.125,0.1778846153846154,1.8461538461538463,1.8461538461538463,1.1057692307692308,1.1057692307692308,0.7692307692307692,0.875,0.8221153846153846,0.879120879120879,0.879120879120879,0.8942307692307692,0.8942307692307692,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6428571428571429,0.8,0.7214285714285715,0.8035714285714286,0.8035714285714286,0.8428571428571429,0.8428571428571429,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Zafar,,0.6119402985074627,1.0,0.037037037037037035,0.5185185185185185,0.1498221916584983,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.5277777777777778,0.7096774193548387,0.6187275985663083,0.7436868686868686,0.7436868686868686,0.818100358422939,0.818100358422939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05555555555555555,0.0,0.027777777777777776,0.0,1.0,1.0555555555555556,1.0555555555555556,0.9444444444444444,1.0,0.9722222222222222,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5142857142857142,0.7096774193548387,0.6119815668202765,0.7246753246753246,0.7246753246753246,0.8046082949308755,0.8046082949308755,0.0,1.0,0.5,0.0,1.0,0.0,1.0
Zafar,,0.7014925373134329,1.0,0.13043478260869565,0.5652173913043478,0.299456028564259,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.631578947368421,0.7931034482758621,0.7123411978221416,0.7963386727688786,0.7963386727688786,0.8384754990925589,0.8384754990925589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17647058823529413,0.0,0.08823529411764706,0.0,1.0,1.1764705882352942,1.1764705882352942,0.8235294117647058,1.0,0.9117647058823529,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6,0.7931034482758621,0.6965517241379311,0.7565217391304347,0.7565217391304347,0.8068965517241379,0.8068965517241379,0.0,1.0,0.5,0.0,1.0,0.0,1.0
Zafar,,0.6716417910447762,1.0,0.043478260869565216,0.5217391304347826,0.1702513061517498,1.03125,1.03125,1.0303030303030303,0.5882352941176471,0.7575757575757576,0.6729055258467023,0.7764705882352941,0.7764705882352941,0.8306595365418895,0.8306595365418895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.05555555555555555,0.0,1.0,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.9444444444444444,1.125,1.125,1.1111111111111112,1.1111111111111112,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5882352941176471,0.75,0.6691176470588236,0.7843137254901961,0.7843137254901961,0.8382352941176471,0.8382352941176471,1.0,0.0,0.5,0.0,1.0,2.0,2.0
Zafar,,0.7014925373134329,1.0,0.2,0.6,0.3680813374347331,0.8907407407407407,0.8907407407407407,0.8936936936936937,0.5666666666666667,0.8108108108108109,0.6887387387387387,0.6988888888888888,0.6988888888888888,0.7558558558558558,0.7558558558558558,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23529411764705882,0.125,0.1801470588235294,1.8823529411764706,1.8823529411764706,1.1102941176470589,1.1102941176470589,0.7647058823529411,0.875,0.8198529411764706,0.8739495798319327,0.8739495798319327,0.8897058823529411,0.8897058823529411,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8055555555555556,0.6527777777777778,0.6206896551724138,0.6206896551724138,0.6944444444444444,0.6944444444444444,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Zafar,,0.6865671641791045,1.0,0.08695652173913043,0.5434782608695652,0.24261672707004486,0.9990817263544537,0.9990817263544537,0.9991087344028521,0.6666666666666666,0.7058823529411765,0.6862745098039216,0.9444444444444443,0.9444444444444443,0.9607843137254901,0.9607843137254901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.09090909090909091,0.08712121212121213,0.9166666666666666,0.9166666666666666,0.9924242424242424,0.9924242424242424,0.9166666666666666,0.9090909090909091,0.9128787878787878,1.0083333333333333,1.0083333333333333,1.0075757575757576,1.0075757575757576,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.65625,0.696969696969697,0.6766098484848485,0.9415760869565217,0.9415760869565217,0.959280303030303,0.959280303030303,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SVM,,1.0,1.0,1.0,1.0,1.0,0.7024793388429752,0.7024793388429752,0.8074866310160427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SVM,,1.0,1.0,1.0,1.0,1.0,0.6881720430107526,0.6881720430107526,0.7661290322580645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SVM,,1.0,1.0,1.0,1.0,1.0,0.9388335704125179,0.9388335704125179,0.9612612612612613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
