algorithm,params,accuracy,MCC,DisparateImpact
SVM,{},0.6906906906906907,-0.0364691007004412,1.0046082949308754
SVM,{},0.6876876876876877,-0.07223606600787802,0.9754132928475033
SVM,{},0.6846846846846847,-0.08810720357900567,0.9826521739130435
SVM,{},0.7147147147147147,-0.05891000367195029,1.0
SVM,{},0.6846846846846847,-0.05033038861254287,1.0005801758379078
SVM,{},0.7057057057057057,-0.04947233907111748,1.009009009009009
SVM,{},0.6906906906906907,-0.012785735760637717,1.002913043478261
SVM,{},0.6516516516516516,-0.06849389729894716,1.007157640565712
SVM,{},0.6846846846846847,0.07130102701083597,1.013274336283186
SVM,{},0.6966966966966966,-0.03595447880659214,0.9907407407407407
GaussianNB,{},0.7087087087087087,0.3473289936691799,0.8829064919594998
GaussianNB,{},0.7627627627627628,0.4998368832641752,0.9346292197011622
GaussianNB,{},0.6906906906906907,0.2966683318717548,0.8700632911392404
GaussianNB,{},0.7147147147147147,0.34220495021618275,1.006896551724138
GaussianNB,{},0.6696696696696697,0.299999665073186,0.9080877014665312
GaussianNB,{},0.7027027027027027,0.3465109660507573,0.8848114169215087
GaussianNB,{},0.7177177177177178,0.40420541234783697,0.932
GaussianNB,{},0.7177177177177178,0.353325258823541,0.9106718898385566
GaussianNB,{},0.7477477477477478,0.4404490196595515,0.863499245852187
GaussianNB,{},0.6906906906906907,0.3534500835745427,1.0662729658792651
LR,{},0.7447447447447447,0.35650002401187886,0.9698685540950455
LR,{},0.7747747747747747,0.4331567082903508,0.9123990650233744
LR,{},0.7477477477477478,0.36628360027489976,0.9502234636871508
LR,{},0.7447447447447447,0.3342857592110821,0.9028571428571427
LR,{},0.7417417417417418,0.3586273175932683,0.9704621800069501
LR,{},0.7687687687687688,0.40871753147314993,0.9107589658048374
LR,{},0.7657657657657657,0.41769674652456384,0.9872881355932203
LR,{},0.7147147147147147,0.2984779921733279,0.8876862666129682
LR,{},0.7327327327327328,0.3463286273419926,0.9401469317199653
LR,{},0.7477477477477478,0.3799560061418048,0.954861111111111
DecisionTree,{},0.6876876876876877,0.24505132882730166,0.9596739130434783
DecisionTree,{},0.7057057057057057,0.3037049728355162,1.0378490935815776
DecisionTree,{},0.6966966966966966,0.2762031026367727,0.7900574712643678
DecisionTree,{},0.6846846846846847,0.2403741752025925,0.987012987012987
DecisionTree,{},0.6336336336336337,0.20091208820683135,1.020834835267825
DecisionTree,{},0.6786786786786787,0.2579610971452006,0.9390606962755939
DecisionTree,{},0.7207207207207207,0.35227479393606836,0.8666463414634146
DecisionTree,{},0.6546546546546547,0.19972106873889817,0.8289592760180996
DecisionTree,{},0.7177177177177178,0.34955531543512597,0.8273892773892774
DecisionTree,{},0.6726726726726727,0.21887062130403448,0.9259259259259259
Kamishima,{'eta': 1.0},0.6936936936936937,0.0,1.0
Kamishima,{'eta': 1.0},0.6996996996996997,0.0,1.0
Kamishima,{'eta': 1.0},0.7027027027027027,0.0,1.0
Kamishima,{'eta': 1.0},0.7237237237237237,0.0,1.0
Kamishima,{'eta': 1.0},0.6996996996996997,0.0,1.0
Kamishima,{'eta': 1.0},0.7117117117117117,0.0,1.0
Kamishima,{'eta': 1.0},0.6966966966966966,0.0,1.0
Kamishima,{'eta': 1.0},0.6696696696696697,0.0,1.0
Kamishima,{'eta': 1.0},0.6816816816816816,0.0,1.0
Kamishima,{'eta': 1.0},0.6996996996996997,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.6936936936936937,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.6996996996996997,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.7027027027027027,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.7237237237237237,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.6996996996996997,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.7117117117117117,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.6966966966966966,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.6696696696696697,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.6816816816816816,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.6996996996996997,0.0,1.0
Kamishima-DisparateImpact,{'eta': 300.0},0.6936936936936937,0.0,1.0
Kamishima-DisparateImpact,{'eta': 300.0},0.6996996996996997,0.0,1.0
Kamishima-DisparateImpact,{'eta': 300.0},0.7027027027027027,0.0,1.0
Kamishima-DisparateImpact,{'eta': 300.0},0.7237237237237237,0.0,1.0
Kamishima-DisparateImpact,{'eta': 300.0},0.6996996996996997,0.0,1.0
Kamishima-DisparateImpact,{'eta': 300.0},0.7117117117117117,0.0,1.0
Kamishima-DisparateImpact,{'eta': 300.0},0.6966966966966966,0.0,1.0
Kamishima-DisparateImpact,{'eta': 300.0},0.6696696696696697,0.0,1.0
Kamishima-DisparateImpact,{'eta': 300.0},0.6816816816816816,0.0,1.0
Kamishima-DisparateImpact,{'eta': 300.0},0.6996996996996997,0.0,1.0
Feldman-SVM,{'lambda': 1.0},0.6876876876876877,0.00794215177999307,1.0145744029393755
Feldman-SVM,{'lambda': 1.0},0.6906906906906907,0.012010566004807663,0.9830013736263737
Feldman-SVM,{'lambda': 1.0},0.6846846846846847,-0.03745572631642842,1.0148444444444444
Feldman-SVM,{'lambda': 1.0},0.7267267267267268,0.08324239649297327,1.0
Feldman-SVM,{'lambda': 1.0},0.7057057057057057,0.11865306506341342,1.0085470085470085
Feldman-SVM,{'lambda': 1.0},0.7057057057057057,-0.049472339071117456,1.009009009009009
