|1-DI|/Acc, Acc, |1-DI|
1.14151880564,0.810043881034,0.9246803235908142
0.832090760704,0.807020965383,0.6715146889891083
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.306111502792,0.769185763042,0.23545660985141614
0.0589267519235,0.769965870307,0.04537158782911721
0.293417227048,0.7831301804,0.22978388595029708
0.742086124847,0.656460263286,0.4871500528980073
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.700274038652,0.80253534861,0.5619946697324414
0.0458567583655,0.261238420283,0.011979547114682187
0.0551515165343,0.26289614822,0.014499121265377779
0.000569481774362,0.253534861043,0.00014438348252965305
0.00113869006228,0.253632374451,0.0002888086642598431
0.00284467786984,0.253924914676,0.0007223345853799579
0.00907910546907,0.254997562165,0.002315149761250135
0.00113869006228,0.253632374451,0.0002888086642598431
0.0231460939635,0.257240370551,0.005954109787975614
0.0281677854034,0.258117991224,0.007270612185546144
0.0337231639003,0.259093125305,0.008737439930100566
0.0442092243445,0.260945880059,0.011536214953271173
0.0147186398107,0.255972696246,0.003767569917403346
0.022027323365,0.257045343735,0.005662020905923271
0.0248223085891,0.257532910775,0.006392561383117723
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.000569481774362,0.253534861043,0.00014438348252965305
0.00113869006228,0.253632374451,0.0002888086642598431
0.00113869006228,0.253632374451,0.0002888086642598431
0.00170762525027,0.25372988786,0.0004332755632583396
0.00284467786984,0.253924914676,0.0007223345853799579
0.0045482181812,0.2542174549,0.00115623645035412
0.00568255712078,0.254412481716,0.0014457134595922128
0.0102091422346,0.255192588981,0.002605297438124099
0.0169670409232,0.256362749878,0.004349717268377518
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.000569481774362,0.253534861043,0.00014438348252965305
0.000569481774362,0.253534861043,0.00014438348252965305
0.000569481774362,0.253534861043,0.00014438348252965305
0.00113869006228,0.253632374451,0.0002888086642598431
0.00227628772432,0.253827401268,0.000577784197602238
0.00398064271423,0.254119941492,0.001011560693641611
0.00511552285582,0.254314968308,0.0013009540329573799
0.00681581594971,0.254607508532,0.0017353579175705125
0.00681581594971,0.254607508532,0.0017353579175705125
0.00964425753573,0.255095075573,0.002460202604920303
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.0,0.253437347635,0.0
0.00113869006228,0.253632374451,0.0002888086642598431
0.00113869006228,0.253632374451,0.0002888086642598431
0.00113869006228,0.253632374451,0.0002888086642598431
0.000569481774362,0.253534861043,0.00014438348252965305
0.000569481774362,0.253534861043,0.00014438348252965305
0.00113869006228,0.253632374451,0.0002888086642598431
0.00113869006228,0.253632374451,0.0002888086642598431
0.00170762525027,0.25372988786,0.0004332755632583396
0.00341279607171,0.254022428084,0.000866926744690133
