|1-DI|/Acc, Acc, |1-DI|
1.28078817734,0.725,0.9285714285714286
0.657894736842,0.8,0.5263157894736842
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.269230769231,0.65,0.17500000000000004
0.263157894737,0.475,0.125
0.0,0.425,0.0
0.0,0.425,0.0
0.0,0.425,0.0
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
0.553633217993,0.85,0.47058823529411764
