algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,race-accuracy,0-accuracy_over_1-accuracy,race-accuracyRatio,diff:1-accuracyto0-accuracy,race-accuracyDiff,0-accuracy,1-accuracy,sex-accuracy,0-accuracy_over_1-accuracy,sex-accuracyRatio,diff:1-accuracyto0-accuracy,sex-accuracyDiff,0-accuracy,1-accuracy,race-sex-accuracy,0-accuracy_over_1-1-accuracy,1-accuracy_over_1-1-accuracy,race-sex-accuracyRatio,diff:1-1-accuracyto0-accuracy,diff:1-1-accuracyto1-accuracy,race-sex-accuracyDiff,0-TPR,1-TPR,race-TPR,0-TPR_over_1-TPR,race-TPRRatio,diff:1-TPRto0-TPR,race-TPRDiff,0-TPR,1-TPR,sex-TPR,0-TPR_over_1-TPR,sex-TPRRatio,diff:1-TPRto0-TPR,sex-TPRDiff,0-TPR,1-TPR,race-sex-TPR,0-TPR_over_1-1-TPR,1-TPR_over_1-1-TPR,race-sex-TPRRatio,diff:1-1-TPRto0-TPR,diff:1-1-TPRto1-TPR,race-sex-TPRDiff,0-TNR,1-TNR,race-TNR,0-TNR_over_1-TNR,race-TNRRatio,diff:1-TNRto0-TNR,race-TNRDiff,0-TNR,1-TNR,sex-TNR,0-TNR_over_1-TNR,sex-TNRRatio,diff:1-TNRto0-TNR,sex-TNRDiff,0-TNR,1-TNR,race-sex-TNR,0-TNR_over_1-1-TNR,1-TNR_over_1-1-TNR,race-sex-TNRRatio,diff:1-1-TNRto0-TNR,diff:1-1-TNRto1-TNR,race-sex-TNRDiff,0-FPR,1-FPR,race-FPR,0-FPR_over_1-FPR,race-FPRRatio,diff:1-FPRto0-FPR,race-FPRDiff,0-FPR,1-FPR,sex-FPR,0-FPR_over_1-FPR,sex-FPRRatio,diff:1-FPRto0-FPR,sex-FPRDiff,0-FPR,1-FPR,race-sex-FPR,0-FPR_over_1-1-FPR,1-FPR_over_1-1-FPR,race-sex-FPRRatio,diff:1-1-FPRto0-FPR,diff:1-1-FPRto1-FPR,race-sex-FPRDiff,0-FNR,1-FNR,race-FNR,0-FNR_over_1-FNR,race-FNRRatio,diff:1-FNRto0-FNR,race-FNRDiff,0-FNR,1-FNR,sex-FNR,0-FNR_over_1-FNR,sex-FNRRatio,diff:1-FNRto0-FNR,sex-FNRDiff,0-FNR,1-FNR,race-sex-FNR,0-FNR_over_1-1-FNR,1-FNR_over_1-1-FNR,race-sex-FNRRatio,diff:1-1-FNRto0-FNR,diff:1-1-FNRto1-FNR,race-sex-FNRDiff,0-calibration+,1-calibration+,race-calibration+,0-calibration+_over_1-calibration+,race-calibration+Ratio,diff:1-calibration+to0-calibration+,race-calibration+Diff,0-calibration+,1-calibration+,sex-calibration+,0-calibration+_over_1-calibration+,sex-calibration+Ratio,diff:1-calibration+to0-calibration+,sex-calibration+Diff,0-calibration+,1-calibration+,race-sex-calibration+,0-calibration+_over_1-1-calibration+,1-calibration+_over_1-1-calibration+,race-sex-calibration+Ratio,diff:1-1-calibration+to0-calibration+,diff:1-1-calibration+to1-calibration+,race-sex-calibration+Diff,0-calibration-,1-calibration-,race-calibration-,0-calibration-_over_1-calibration-,race-calibration-Ratio,diff:1-calibration-to0-calibration-,race-calibration-Diff,0-calibration-,1-calibration-,sex-calibration-,0-calibration-_over_1-calibration-,sex-calibration-Ratio,diff:1-calibration-to0-calibration-,sex-calibration-Diff,0-calibration-,1-calibration-,race-sex-calibration-,0-calibration-_over_1-1-calibration-,1-calibration-_over_1-1-calibration-,race-sex-calibration-Ratio,diff:1-1-calibration-to0-calibration-,diff:1-1-calibration-to1-calibration-,race-sex-calibration-Diff
ZafarFairness-DIavgall,c=1.0,0,0.848965585836483,0.601904376012966,0.9293435275507513,0.7656239517818586,0.5704452735886786,0.5785711092470502,0.5785711092470502,0.9099531746179292,0.8962699822380107,0.841265251836003,0.8687676170370069,1.0653833381112126,1.0653833381112126,1.0550047304020076,1.0550047304020076,0.9217471832072851,0.814366424535916,0.8680568038716006,1.1318580376549319,1.1318580376549319,1.107380758671369,1.107380758671369,0.9080059671805072,0.8095988063660478,0.8588023867732775,None,None,1.0,None,None,1.0,0.5606060606060606,0.6061689763075547,0.5833875184568076,0.9248346294806471,0.9248346294806471,0.9544370842985058,0.9544370842985058,0.5020134228187919,0.6196611787162968,0.5608373007675443,0.8101418001669454,0.8101418001669454,0.8823522441024951,0.8823522441024951,0.5305206463195691,0.6227106227106227,0.5766156345150959,None,None,1.0,None,None,1.0,0.96217594560136,0.9233169514002653,0.9427464485008126,1.0420862999884954,1.0420862999884954,1.0388589942010946,1.0388589942010946,0.9762818276944542,0.9008264462809917,0.9385541369877229,1.0837623958809997,1.0837623958809997,1.0754553814134624,1.0754553814134624,0.9686868686868687,0.8962630429507401,0.9324749558188044,None,None,1.0,None,None,1.0,0.037824054398640006,0.07668304859973474,0.05725355149918737,0.49325183452305843,0.49325183452305843,0.9611410057989053,0.9611410057989053,0.023718172305545848,0.09917355371900827,0.06144586301227706,0.23915823741425396,0.23915823741425396,0.9245446185865376,0.9245446185865376,0.03131313131313129,0.10373695704925989,0.06752504418119559,None,None,1.0,None,None,1.0,0.43939393939393945,0.39383102369244527,0.41661248154319236,1.1156915351012968,1.1156915351012968,1.045562915701494,1.045562915701494,0.4979865771812081,0.3803388212837032,0.43916269923245566,1.309323553931269,1.309323553931269,1.1176477558975049,1.1176477558975049,0.4694793536804309,0.3772893772893773,0.4233843654849041,None,None,1.0,None,None,1.0,0.7442528735632183,0.7339648173207036,0.739108845441961,1.01401709727732,1.01401709727732,1.0102880562425147,1.0102880562425147,0.7333333333333333,0.7350693461647325,0.7342013397490329,0.9976383006032601,0.9976383006032601,0.9982639871686008,0.9982639871686008,0.7314356435643564,0.7357032457496137,0.733569444656985,None,None,1.0,None,None,1.0,0.08228617754357519,0.12957787909986762,0.10593202832172141,0.6350326005888396,0.6350326005888396,0.9527082984437075,0.9527082984437075,0.06215446473446139,0.15788431061806657,0.11001938767626399,0.3936709384938031,0.3936709384938031,0.9042701541163948,0.9042701541163948,0.072277501381979,0.16332540491561898,0.11780145314879899,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,1,0.848368808434454,0.6126858275520317,0.9273053176658036,0.7699955726089176,0.5765998696266336,0.5133864350397339,0.5133864350397339,0.8913357159364786,0.8960714285714285,0.840651721747169,0.8683615751592988,1.0659246931762394,1.0659246931762394,1.0554197068242597,1.0554197068242597,0.9270399506401358,0.8109357798165138,0.8689878652283247,1.1431730769727442,1.1431730769727442,1.116104170823622,1.116104170823622,0.912669739628753,0.805645228044036,0.8591574838363945,None,None,1.0,None,None,1.0,0.5344036697247706,0.6200911260577132,0.5772473978912419,0.8618147353958948,0.8618147353958948,0.9143125436670574,0.9143125436670574,0.5406896551724137,0.6247685185185186,0.5827290868454662,0.8654239756742598,0.8654239756742598,0.9159211366538952,0.9159211366538952,0.542642924086223,0.6314731020613373,0.5870580130737801,None,None,1.0,None,None,1.0,0.9627749576988156,0.92070241751319,0.9417386876060028,1.04569613306682,1.04569613306682,1.0420725401856257,1.0420725401856257,0.975686002084057,0.8973670069854917,0.9365265045347744,1.0872764370529522,1.0872764370529522,1.0783189950985652,1.0783189950985652,0.969396551724138,0.8911514253980007,0.9302739885610694,None,None,1.0,None,None,1.0,0.0372250423011844,0.07929758248680996,0.05826131239399718,0.4694347688011329,0.4694347688011329,0.9579274598143744,0.9579274598143744,0.02431399791594302,0.10263299301450834,0.06347349546522568,0.2369023566574343,0.2369023566574343,0.9216810049014347,0.9216810049014347,0.030603448275862033,0.10884857460199926,0.06972601143893065,None,None,1.0,None,None,1.0,0.4655963302752294,0.3799088739422868,0.4227526021087581,1.2255473936256611,1.2255473936256611,1.0856874563329426,1.0856874563329426,0.45931034482758626,0.37523148148148144,0.41727091315453385,1.224071986215406,1.224071986215406,1.0840788633461047,1.0840788633461047,0.45735707591377694,0.36852689793866267,0.4129419869262198,None,None,1.0,None,None,1.0,0.7258566978193146,0.7394566623544632,0.7326566800868889,0.9816081655254202,0.9816081655254202,0.9864000354648514,0.9864000354648514,0.7368421052631579,0.7386425834701696,0.7377423443666637,0.9975624500302256,0.9975624500302256,0.9981995217929882,0.9981995217929882,0.7310606060606061,0.7401296405421331,0.7355951233013696,None,None,1.0,None,None,1.0,0.08188785800726099,0.13025366361675222,0.10607076081200661,0.628679883033472,0.628679883033472,0.9516341943905088,0.9516341943905088,0.0559569820198286,0.16257145722595526,0.10926421962289193,0.3441993014927273,0.3441993014927273,0.8933855247938733,0.8933855247938733,0.06744989633724949,0.16875791412455393,0.11810390523090171,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,2,0.8462800875273523,0.6081986598344501,0.9266329652787016,0.7674158125565759,0.5720269792245748,0.5528224062241341,0.5528224062241341,0.9007074794662705,0.8927285817134629,0.8388343912290825,0.8657814864712727,1.0642489042508296,1.0642489042508296,1.0538941904843804,1.0538941904843804,0.9270027837921435,0.8080193520011728,0.8675110678966582,1.1472531957264287,1.1472531957264287,1.1189834317909706,1.1189834317909706,0.9122479462285288,0.8023852907073049,0.8573166184679168,None,None,1.0,None,None,1.0,0.5480984340044742,0.61400475470067,0.581051594352572,0.8926615466873292,0.8926615466873292,0.9340936793038043,0.9340936793038043,0.5374149659863946,0.6201889836367827,0.5788019748115887,0.8665342019379287,0.8665342019379287,0.917225982349612,0.917225982349612,0.5472043996333639,0.6249058498619131,0.5860551247476384,None,None,1.0,None,None,1.0,0.9588159588159588,0.9207273872313627,0.9397716730236607,1.0413679142304313,1.0413679142304313,1.0380885715845962,1.0380885715845962,0.9769673704414588,0.8956250671826292,0.9362962188120441,1.0908218251580521,1.0908218251580521,1.0813423032588294,1.0813423032588294,0.9696096788131932,0.8897540477073291,0.9296818632602611,None,None,1.0,None,None,1.0,0.041184041184041176,0.07927261276863729,0.06022832697633923,0.5195242057208296,0.5195242057208296,0.9619114284154039,0.9619114284154039,0.02303262955854124,0.10437493281737076,0.063703781187956,0.22067204200114224,0.22067204200114224,0.9186576967411705,0.9186576967411705,0.030390321186806846,0.11024595229267087,0.07031813673973886,None,None,1.0,None,None,1.0,0.4519015659955258,0.38599524529933005,0.4189484056474279,1.1707438666636605,1.1707438666636605,1.0659063206961958,1.0659063206961958,0.4625850340136054,0.37981101636321735,0.4211980251884114,1.2179347467142194,1.2179347467142194,1.082774017650388,1.082774017650388,0.45279560036663613,0.3750941501380869,0.4139448752523615,None,None,1.0,None,None,1.0,0.718475073313783,0.7383056133056133,0.7283903433096981,0.9731404724081089,0.9731404724081089,0.9801694600081697,0.9801694600081697,0.7495256166982922,0.7348443473511742,0.7421849820247333,1.019978747063971,1.019978747063971,1.0146812693471179,1.0146812693471179,0.7388613861386139,0.7361727299615498,0.7375170580500818,None,None,1.0,None,None,1.0,0.08288879770209273,0.13247292686545023,0.10768086228377148,0.6257036789583507,0.6257036789583507,0.9504158708366425,0.9504158708366425,0.057248695066509515,0.16513026052104207,0.11118947779377579,0.34668809269645934,0.34668809269645934,0.8921184345454675,0.8921184345454675,0.06836424024356491,0.17186241803750144,0.12011332914053317,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,3,0.849015317286652,0.6034136546184738,0.929865150713908,0.7666394026661909,0.5731216434696237,0.5174621559172106,0.5174621559172106,0.8954227332192234,0.9000358294518094,0.8407922850378241,0.8704140572448167,1.0704615699599576,1.0704615699599576,1.0592435444139854,1.0592435444139854,0.926094890510949,0.8115577889447236,0.8688263397278363,1.141132403787485,1.141132403787485,1.1145371015662253,1.1145371015662253,0.9117030459982736,0.806650554212851,0.8591768001055623,None,None,1.0,None,None,1.0,0.5395348837209303,0.6094505494505494,0.5744927165857399,0.8852808225496692,0.8852808225496692,0.9300843342703808,0.9300843342703808,0.5148648648648648,0.6188679245283019,0.5668663946965833,0.8319462755438365,0.8319462755438365,0.895996940336563,0.895996940336563,0.5280588776448942,0.6244541484716157,0.576256513058255,None,None,1.0,None,None,1.0,0.96569250317662,0.9232396020991619,0.944466052637891,1.0459825390732085,1.0459825390732085,1.0424529010774581,1.0424529010774581,0.9782385195339274,0.8994834266035299,0.9388609730687286,1.08755591331769,1.08755591331769,1.0787550929303975,1.0787550929303975,0.971090857305611,0.8941524796447077,0.9326216684751594,None,None,1.0,None,None,1.0,0.03430749682337997,0.0767603979008381,0.05553394736210904,0.4469426652490735,0.4469426652490735,0.9575470989225419,0.9575470989225419,0.021761480466072625,0.10051657339647013,0.06113902693127138,0.21649644163891513,0.21649644163891513,0.9212449070696025,0.9212449070696025,0.028909142694389045,0.10584752035529232,0.06737833152484068,None,None,1.0,None,None,1.0,0.4604651162790697,0.39054945054945056,0.42550728341426014,1.1790187276700996,1.1790187276700996,1.0699156657296192,1.0699156657296192,0.4851351351351352,0.38113207547169814,0.43313360530341666,1.272879314958523,1.272879314958523,1.104003059663437,1.104003059663437,0.47194112235510577,0.37554585152838427,0.423743486941745,None,None,1.0,None,None,1.0,0.7412140575079872,0.7388755662136957,0.7400448118608414,1.0031649325017944,1.0031649325017944,1.0023384912942914,1.0023384912942914,0.75,0.7374929735806633,0.7437464867903316,1.0169588414634145,1.0169588414634145,1.0125070264193368,1.0125070264193368,0.7387387387387387,0.7391304347826086,0.7389345867606737,None,None,1.0,None,None,1.0,0.07990314769975787,0.1310085520495429,0.10545584987465038,0.6099078758579155,0.6099078758579155,0.948894595650215,0.948894595650215,0.05916282135794331,0.16202125526368558,0.11059203831081445,0.36515469073275164,0.36515469073275164,0.8971415660942578,0.8971415660942578,0.06996726677577741,0.16785304247990815,0.11891015462784278,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,4,0.8471255221802267,0.6045862412761714,0.9277148346915789,0.7661505379838751,0.5704500348930075,0.5295271443850883,0.5295271443850883,0.896922369112988,0.8916453848960233,0.8400990384061726,0.865872211651098,1.0613574639814418,1.0613574639814418,1.0515463464898507,1.0515463464898507,0.9259886136328666,0.8094643250789918,0.8677264693559292,1.1439523459449603,1.1439523459449603,1.1165242885538746,1.1165242885538746,0.9110502055562477,0.804651932787021,0.8578510691716343,None,None,1.0,None,None,1.0,0.5240274599542334,0.6122761031017911,0.5681517815280123,0.8558678957083412,0.8558678957083412,0.9117513568524422,0.9117513568524422,0.5096952908587258,0.6205450733752621,0.565120182116994,0.8213670734446358,0.8213670734446358,0.8891502174834637,0.8891502174834637,0.5251865671641791,0.626172964747654,0.5756797659559165,None,None,1.0,None,None,1.0,0.9613715277777778,0.921651419188365,0.9415114734830714,1.0430966716509713,1.0430966716509713,1.0397201085894128,1.0397201085894128,0.9780162714211529,0.8965221124946329,0.9372691919578928,1.0909003334003184,1.0909003334003184,1.0814941589265201,1.0814941589265201,0.9705248023005032,0.8911280412877857,0.9308264217941444,None,None,1.0,None,None,1.0,0.03862847222222221,0.07834858081163498,0.058488526516928596,0.49303346432135725,0.49303346432135725,0.9602798914105872,0.9602798914105872,0.021983728578847117,0.10347788750536713,0.06273080804210712,0.2124485637349997,0.2124485637349997,0.91850584107348,0.91850584107348,0.029475197699496802,0.10887195871221433,0.06917357820585557,None,None,1.0,None,None,1.0,0.4759725400457666,0.38772389689820885,0.43184821847198773,1.2276069230025461,1.2276069230025461,1.0882486431475578,1.0882486431475578,0.4903047091412742,0.3794549266247379,0.43487981788300606,1.2921289848640212,1.2921289848640212,1.1108497825165364,1.1108497825165364,0.4748134328358209,0.37382703525234595,0.4243202340440834,None,None,1.0,None,None,1.0,0.720125786163522,0.7366622864651774,0.7283940363143497,0.9775521285594724,0.9775521285594724,0.9834634996983446,0.9834634996983446,0.7434343434343434,0.7342888643880926,0.738861603911218,1.0124548791215457,1.0124548791215457,1.0091454790462508,1.0091454790462508,0.7330729166666666,0.7359165424739196,0.734494729570293,None,None,1.0,None,None,1.0,0.08584399504746182,0.13088040112077864,0.10836219808412023,0.6558964849767196,0.6558964849767196,0.9549635939266832,0.9549635939266832,0.05896069287141906,0.16321009918845808,0.11108539602993857,0.3612563999690814,0.3612563999690814,0.895750593682961,0.895750593682961,0.0701198512191762,0.16892046756818702,0.1195201593936816,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,5,0.8506067236920629,0.6102003642987249,0.9289246390189226,0.7695625016588238,0.5764510045362208,0.4898419919293995,0.4898419919293995,0.8881242798599661,0.9035335689045937,0.8419377242736428,0.8727356465891183,1.0731596207832248,1.0731596207832248,1.061595844630951,1.061595844630951,0.9249809014514897,0.8147165081471651,0.8698487047993274,1.1353408114376973,1.1353408114376973,1.1102643933043246,1.1102643933043246,0.9126261383214374,0.8085461525621765,0.8605861454418069,None,None,1.0,None,None,1.0,0.5369928400954654,0.616983635559487,0.5769882378274762,0.8703518361690662,0.8703518361690662,0.9200092045359785,0.9200092045359785,0.5055401662049861,0.6281109267598957,0.5668255464824409,0.8048580985731458,0.8048580985731458,0.8774292394450904,0.8774292394450904,0.5267605633802817,0.6331269349845201,0.5799437491824009,None,None,1.0,None,None,1.0,0.9672335130651182,0.9216839134524929,0.9444587132588056,1.0494199789622054,1.0494199789622054,1.0455495996126252,1.0455495996126252,0.976987806972351,0.898972602739726,0.9379802048560385,1.0867826271844818,1.0867826271844818,1.078015204232625,1.078015204232625,0.970825662087523,0.8924253639279546,0.9316255130077388,None,None,1.0,None,None,1.0,0.03276648693488182,0.0783160865475071,0.05554128674119446,0.4183876950363887,0.4183876950363887,0.9544504003873747,0.9544504003873747,0.02301219302764901,0.10102739726027399,0.0620197951439615,0.22778170725672914,0.22778170725672914,0.921984795767375,0.921984795767375,0.029174337912477033,0.10757463607204543,0.06837448699226123,None,None,1.0,None,None,1.0,0.46300715990453456,0.383016364440513,0.4230117621725238,1.2088443285729247,1.2088443285729247,1.0799907954640215,1.0799907954640215,0.4944598337950139,0.37188907324010434,0.4331744535175591,1.3295895721995943,1.3295895721995943,1.1225707605549096,1.1225707605549096,0.47323943661971835,0.3668730650154799,0.4200562508175991,None,None,1.0,None,None,1.0,0.7401315789473685,0.7363420427553444,0.7382368108513564,1.0051464346349746,1.0051464346349746,1.003789536192024,1.003789536192024,0.7314629258517034,0.7373400111296605,0.7344014684906819,0.9920293417022724,0.9920293417022724,0.9941229147220428,0.9941229147220428,0.7314211212516297,0.7378232110643416,0.7346221661579857,None,None,1.0,None,None,1.0,0.0768012668250198,0.12840091926755134,0.10260109304628556,0.598136425059291,0.598136425059291,0.9484003475574685,0.9484003475574685,0.05904730400264638,0.157387902497743,0.1082176032501947,0.375170537668822,0.375170537668822,0.9016594015049033,0.9016594015049033,0.06848756624541377,0.16427911275415896,0.11638333949978637,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,6,0.8452357270738015,0.6080204442697071,0.9255708674522335,0.7667956558609703,0.5700839754554351,0.5172076726357177,0.5172076726357177,0.8915428054870982,0.8962097059865392,0.8369106161411629,0.866560161063851,1.0708547468531264,1.0708547468531264,1.0592990898453762,1.0592990898453762,0.9231358138110549,0.8077631288207999,0.8654494713159274,1.1428298480999992,1.1428298480999992,1.115372684990255,1.115372684990255,0.9100444225074038,0.8014828390536488,0.8557636307805263,None,None,1.0,None,None,1.0,0.5391498881431768,0.6146551724137931,0.5769025302784849,0.8771583032904419,0.8771583032904419,0.9244947157293837,0.9244947157293837,0.5289473684210526,0.6219089438409984,0.5754281561310255,0.8505222085313618,0.8505222085313618,0.9070384245800542,0.9070384245800542,0.5365853658536586,0.6278894472361809,0.5822374065449197,None,None,1.0,None,None,1.0,0.9633838383838383,0.9184657967576118,0.940924817570725,1.0489055137216838,1.0489055137216838,1.0449180416262265,1.0449180416262265,0.9750476520533703,0.8947027027027027,0.9348751773780365,1.0898007227517732,1.0898007227517732,1.0803449493506676,1.0803449493506676,0.9691296269829928,0.8875872382851445,0.9283584326340686,None,None,1.0,None,None,1.0,0.03661616161616166,0.08153420324238825,0.05907518242927495,0.44908958645622155,0.44908958645622155,0.9550819583737734,0.9550819583737734,0.024952347946629705,0.10529729729729731,0.06512482262196351,0.23697045021183238,0.23697045021183238,0.9196550506493324,0.9196550506493324,0.030870373017007235,0.11241276171485548,0.07164156736593136,None,None,1.0,None,None,1.0,0.46085011185682323,0.3853448275862069,0.4230974697215151,1.1959421247291162,1.1959421247291162,1.0755052842706163,1.0755052842706163,0.4710526315789474,0.3780910561590016,0.4245718438689745,1.2458708660404068,1.2458708660404068,1.0929615754199458,1.0929615754199458,0.46341463414634143,0.3721105527638191,0.41776259345508027,None,None,1.0,None,None,1.0,0.7347560975609756,0.7344836466649498,0.7346198721129626,1.0003709420859987,1.0003709420859987,1.0002724508960257,1.0002724508960257,0.7362637362637363,0.7342428376534789,0.7352532869586076,1.0027523572674075,1.0027523572674075,1.0020208986102574,1.0020208986102574,0.7333333333333333,0.7347838870920318,0.7340586102126825,None,None,1.0,None,None,1.0,0.08256513026052104,0.13341292344426206,0.10798902685239155,0.6188690580265676,0.6188690580265676,0.949152206816259,0.949152206816259,0.05981620718462824,0.16505246166263116,0.1124343344236297,0.362407240595376,0.362407240595376,0.8947637455219971,0.8947637455219971,0.07033177954483137,0.17214925026153668,0.12124051490318402,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,7,0.8459319673761687,0.6008711146307661,0.9281397356711164,0.7645054251509413,0.5685834889085837,0.5141138781881027,0.5141138781881027,0.8932096779046206,0.8912429378531074,0.8385042833989349,0.8648736106260211,1.0628961061956568,1.0628961061956568,1.0527386544541724,1.0527386544541724,0.923973022685469,0.8084511189634864,0.8662120708244777,1.142892873807996,1.142892873807996,1.1155219037219826,1.1155219037219826,0.9096630877452795,0.8029154518950438,0.8562892698201616,None,None,1.0,None,None,1.0,0.5133928571428571,0.6093851835759287,0.561389020359393,0.8424767634326457,0.8424767634326457,0.9040076735669283,0.9040076735669283,0.523936170212766,0.6143289137008606,0.5691325419568133,0.8528593698389553,0.8528593698389553,0.9096072565119053,0.9096072565119053,0.5324909747292419,0.6200862287598276,0.5762886017445348,None,None,1.0,None,None,1.0,0.962248322147651,0.9217233488518899,0.9419858354997704,1.04396652568934,1.04396652568934,1.040524973295761,1.040524973295761,0.9760914760914761,0.8983306408185245,0.9372110584550003,1.0865614860939161,1.0865614860939161,1.0777608352729515,1.0777608352729515,0.9694067190850607,0.8923344083354007,0.9308705637102307,None,None,1.0,None,None,1.0,0.03775167785234901,0.07827665114811011,0.05801416450022956,0.4822852957891323,0.4822852957891323,0.9594750267042389,0.9594750267042389,0.023908523908523938,0.10166935918147546,0.0627889415449997,0.23515958102822546,0.23515958102822546,0.9222391647270485,0.9222391647270485,0.03059328091493929,0.10766559166459932,0.06912943628976931,None,None,1.0,None,None,1.0,0.4866071428571429,0.39061481642407125,0.4386109796406071,1.2457467622755445,1.2457467622755445,1.0959923264330715,1.0959923264330715,0.47606382978723405,0.3856710862991394,0.4308674580431867,1.2343778071503733,1.2343778071503733,1.0903927434880947,1.0903927434880947,0.4675090252707581,0.37991377124017245,0.4237113982554653,None,None,1.0,None,None,1.0,0.71875,0.7387411114037398,0.7287455557018698,0.9729389483065954,0.9729389483065954,0.9800088885962602,0.9800088885962602,0.7406015037593985,0.7366806136680614,0.73864105871373,1.005322374470823,1.005322374470823,1.003920890091337,1.003920890091337,0.7338308457711443,0.738001811047389,0.7359163284092667,None,None,1.0,None,None,1.0,0.08678343949044585,0.13339268491727874,0.1100880622038623,0.650586196269032,0.650586196269032,0.9533907545731671,0.9533907545731671,0.059746328437917225,0.16581658165816582,0.11278145504804152,0.36031576480743926,0.36031576480743926,0.8939297467797513,0.8939297467797513,0.07096862583915604,0.1723423838011965,0.12165550482017629,None,None,1.0,None,None,1.0
