name,attribute,percent_pos_class,algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sensitive-accuracy,0-accuracy_over_1-accuracy,sensitive-accuracyRatio,diff:1-accuracyto0-accuracy,comparative-sensitive-accuracy,0-TPR,1-TPR,sensitive-TPR,0-TPR_over_1-TPR,sensitive-TPRRatio,diff:1-TPRto0-TPR,comparative-sensitive-TPR,0-TNR,1-TNR,sensitive-TNR,0-TNR_over_1-TNR,sensitive-attr-TNRRatio,diff:1-TNRto0-TNR,comparative-sensitive-TNR,0-FPR,1-FPR,sensitive-attr-FPR,0-FPR_over_1-FPR,sensitive-attr-FPRRatio,diff:1-FPRto0-FPR,comparative-sensitive-attr-FPR,0-FNR,1-FNR,sensitive-attr-FNR,0-FNR_over_1-FNR,sensitive-attr-FNRRatio,diff:1-FNRto0-FNR,sensitive-attr-FNRDiff,0-calibration+,1-calibration+,sensitive-calibration+,0-calibration+_over_1-calibration+,sensitive-attr-calibration+Ratio,diff:1-calibration+to0-calibration+,comparative-sensitive-attr-calibration+,0-calibration-,1-calibration-,sensitive-calibration-,0-calibration-_over_1-calibration-,sensitive-calibration-Ratio,diff:1-calibration-to0-calibration-,comparative-sensitive-calibration-
two-gaussians,sensitive-attr,0.4,Feldman-SVM-DIavgall,lambda=1.0,0,0.835820896,1,0.738095238,0.869047619,0.715937244,0.994897959,0.994897959,0.997252747,0.75,0.897435897,0.823717949,0.835714286,0.835714286,0.852564103,0.852564103,1,1,1,1,1,1,1,0.65,0.818181818,0.734090909,0.794444444,0.794444444,0.831818182,0.831818182,0.35,0.181818182,0.265909091,1.925,1.925,1.168181818,1.168181818,0,0,1,1,1,1,1,0.533333333,0.80952381,0.671428571,0.658823529,0.658823529,0.723809524,0.723809524,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,Feldman-SVM-DIavgall,lambda=1.0,1,0.925373134,0.8,0.978723404,0.889361702,0.81891286,1.032258065,1.032258065,1.008064516,0.967741935,0.888888889,0.928315412,1.088709677,1.088709677,1.078853047,1.078853047,1,0.692307692,0.846153846,1.444444444,1.444444444,1.307692308,1.307692308,0.958333333,1,0.979166667,0.958333333,0.958333333,0.958333333,0.958333333,0.041666667,0,0.020833333,0,1,1.041666667,1.041666667,0,0.307692308,0.153846154,0,1,0.692307692,0.692307692,0.875,1,0.9375,0.875,0.875,0.875,0.875,0,0.148148148,0.074074074,0,1,0.851851852,0.851851852
two-gaussians,sensitive-attr,0.4,Feldman-SVM-DIavgall,lambda=1.0,2,0.925373134,0.857142857,0.974358974,0.915750916,0.847968813,0.99047619,0.99047619,0.996428571,0.971428571,0.875,0.923214286,1.110204082,1.110204082,1.096428571,1.096428571,1,0.75,0.875,1.333333333,1.333333333,1.25,1.25,0.956521739,1,0.97826087,0.956521739,0.956521739,0.956521739,0.956521739,0.043478261,0,0.02173913,0,1,1.043478261,1.043478261,0,0.25,0.125,0,1,0.75,0.75,0.923076923,1,0.961538462,0.923076923,0.923076923,0.923076923,0.923076923,0,0.2,0.1,0,1,0.8,0.8
two-gaussians,sensitive-attr,0.4,Feldman-SVM-DIavgall,lambda=1.0,3,0.895522388,0.826086957,0.931818182,0.878952569,0.766280035,1.03030303,1.03030303,1.009803922,0.909090909,0.882352941,0.895721925,1.03030303,1.03030303,1.026737968,1.026737968,1,0.733333333,0.866666667,1.363636364,1.363636364,1.266666667,1.266666667,0.88,1,0.94,0.88,0.88,0.88,0.88,0.12,0,0.06,0,1,1.12,1.12,0,0.266666667,0.133333333,0,1,0.733333333,0.733333333,0.727272727,1,0.863636364,0.727272727,0.727272727,0.727272727,0.727272727,0,0.173913043,0.086956522,0,1,0.826086957,0.826086957
two-gaussians,sensitive-attr,0.4,Feldman-SVM-DIavgall,lambda=1.0,4,0.820895522,1,0.714285714,0.857142857,0.694712518,1.013071895,1.013071895,1.007168459,0.833333333,0.806451613,0.819892473,1.033333333,1.033333333,1.02688172,1.02688172,1,1,1,1,1,1,1,0.727272727,0.7,0.713636364,1.038961039,1.038961039,1.027272727,1.027272727,0.272727273,0.3,0.286363636,0.909090909,0.909090909,0.972727273,0.972727273,0,0,1,1,1,1,1,0.7,0.647058824,0.673529412,1.081818182,1.081818182,1.052941176,1.052941176,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,Feldman-SVM-DIavgall,lambda=1.0,5,0.940298507,1,0.902439024,0.951219512,0.884371993,0.997975709,0.997975709,0.999092559,0.894736842,1,0.947368421,0.894736842,0.894736842,0.894736842,0.894736842,1,1,1,1,1,1,1,0.84,1,0.92,0.84,0.84,0.84,0.84,0.16,0,0.08,0,1,1.16,1.16,0,0,1,1,1,1,1,0.764705882,1,0.882352941,0.764705882,0.764705882,0.764705882,0.764705882,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,Feldman-SVM-DIavgall,lambda=1.0,6,0.865671642,1,0.763157895,0.881578947,0.763157895,0.984375,0.984375,0.991071429,0.84375,0.885714286,0.864732143,0.952620968,0.952620968,0.958035714,0.958035714,1,1,1,1,1,1,1,0.736842105,0.789473684,0.763157895,0.933333333,0.933333333,0.947368421,0.947368421,0.263157895,0.210526316,0.236842105,1.25,1.25,1.052631579,1.052631579,0,0,1,1,1,1,1,0.722222222,0.8,0.761111111,0.902777778,0.902777778,0.922222222,0.922222222,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,Feldman-SVM-DIavgall,lambda=1.0,7,0.895522388,1,0.840909091,0.920454545,0.80293024,0.997975709,0.997975709,0.999092559,0.815789474,1,0.907894737,0.815789474,0.815789474,0.815789474,0.815789474,1,1,1,1,1,1,1,0.75,1,0.875,0.75,0.75,0.75,0.75,0.25,0,0.125,0,1,1.25,1.25,0,0,1,1,1,1,1,0.588235294,1,0.794117647,0.588235294,0.588235294,0.588235294,0.588235294,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,Feldman-SVM-DIavgall,lambda=1.0,8,0.880597015,0.878787879,0.882352941,0.88057041,0.76114082,1.029411765,1.029411765,1.014285714,0.875,0.885714286,0.880357143,0.987903226,0.987903226,0.989285714,0.989285714,1,0.80952381,0.904761905,1.235294118,1.235294118,1.19047619,1.19047619,0.8,1,0.9,0.8,0.8,0.8,0.8,0.2,0,0.1,0,1,1.2,1.2,0,0.19047619,0.095238095,0,1,0.80952381,0.80952381,0.75,1,0.875,0.75,0.75,0.75,0.75,0,0.222222222,0.111111111,0,1,0.777777778,0.777777778
two-gaussians,sensitive-attr,0.4,Feldman-SVM-DIavgall,lambda=1.0,9,0.925373134,0.965517241,0.894736842,0.930127042,0.853313328,1.019157088,1.019157088,1.00907441,0.862068966,0.973684211,0.917876588,0.885368127,0.885368127,0.888384755,0.888384755,1,0.947368421,0.973684211,1.055555556,1.055555556,1.052631579,1.052631579,0.789473684,1,0.894736842,0.789473684,0.789473684,0.789473684,0.789473684,0.210526316,0,0.105263158,0,1,1.210526316,1.210526316,0,0.052631579,0.026315789,0,1,0.947368421,0.947368421,0.714285714,1,0.857142857,0.714285714,0.714285714,0.714285714,0.714285714,0,0.05,0.025,0,1,0.95,0.95
