,name,attribute,algorithm,params,run-id,DIbinary,DIavgall,CV,comparative-sensitive-TPR,accuracy,0-accuracy,1-accuracy,sensitive-accuracy,TNR,sensitive-TNR,comparative-sensitive-accuracy,BCR,sensitive-calibration+,sensitive-calibration-,TPR,sensitive-TPR,comparative-sensitive-TNR,MCC,comparative-sensitive-calibration+,comparative-sensitive-calibration-
85,propublica-recidivism,sex,Kamishima-accuracy,eta=1.0,5,0.6905210295040803,0.6905210295040803,0.8480739599383667,0.8284449363586055,0.6407185628742516,0.6271186440677966,0.6436363636363637,0.6353775038520801,0.6745562130177515,0.7059937611408199,0.9834822804314328,0.6403084095391788,0.625925925925926,0.3616300366300366,0.6060606060606061,0.5473159933591588,1.1031639928698749,0.2813239180156098,0.948148148148148,0.9946886446886448
86,propublica-recidivism,sex,Kamishima-accuracy,eta=1.0,6,0.5564483728404982,0.5564483728404982,0.7902337070112103,0.7714285714285714,0.6467065868263473,0.631578947368421,0.6498194945848376,0.6406992209766293,0.7108433734939759,0.7704505411527812,0.9817594527835836,0.6470883534136547,0.6987277353689567,0.3838878016960209,0.5833333333333334,0.5071428571428571,1.1832368487289202,0.2965252046349457,1.0692111959287531,1.0417482061317678
87,propublica-recidivism,sex,Kamishima-accuracy,eta=1.0,7,0.8815201192250371,0.8815201192250371,0.9427130246802378,1.012093023255814,0.6467065868263473,0.6885245901639344,0.6373626373626373,0.6629436137632858,0.6611111111111111,0.6840277777777778,1.051161952801297,0.6454906204906206,0.6145104895104896,0.2987841945288754,0.6298701298701299,0.633953488372093,1.0763888888888888,0.2905204627966961,1.0017482517482517,0.9167173252279636
88,propublica-recidivism,sex,Kamishima-accuracy,eta=1.0,8,0.8354830218478547,0.8354830218478547,0.9219140429785108,1.048582995951417,0.6586826347305389,0.7413793103448276,0.6413043478260869,0.6913418290854573,0.7115384615384616,0.748991935483871,1.1000749625187407,0.6619490060501296,0.7207102555592433,0.3354679802955665,0.6123595505617978,0.6295546558704453,1.127016129032258,0.3241783219857815,1.0368403584467307,0.8433497536945813
89,propublica-recidivism,sex,Kamishima-accuracy,eta=1.0,9,0.6907517464289438,0.6907517464289438,0.8377905386929176,0.7696292257360959,0.655688622754491,0.6086956521739131,0.6679245283018868,0.6383100902379,0.6571428571428571,0.6745540589734256,0.9407711238720264,0.6556154537286613,0.5873381294964028,0.3291847041847041,0.6540880503144654,0.5794711014176663,1.0655260283946122,0.3109237670261579,0.8653237410071942,1.0234487734487734
90,propublica-recidivism,sex,Kamishima-DIavgall,eta=1.0,0,0.6426858513189448,0.6426858513189448,0.8146766169154229,0.8194444444444444,0.6736526946107785,0.6666666666666666,0.6753731343283582,0.6710199004975124,0.7025316455696202,0.7464421252371916,0.9912935323383084,0.6751294591484465,0.7161543492478744,0.3601127554615927,0.6477272727272727,0.5902777777777778,1.1541745730550286,0.3499758604090476,1.022236756049706,1.007047216349542
91,propublica-recidivism,sex,Kamishima-DIavgall,eta=1.0,1,0.6737030411449016,0.6737030411449016,0.8435230197311983,0.9027777777777778,0.6347305389221557,0.676923076923077,0.6245353159851301,0.6507291964541035,0.69375,0.7422857142857143,1.0523877609379468,0.6371048850574712,0.6904761904761905,0.3775974025974026,0.5804597701149425,0.5486111111111112,1.1725714285714286,0.2753994059396958,1.0476190476190477,0.9266233766233766
92,propublica-recidivism,sex,Kamishima-DIavgall,eta=1.0,2,0.4133118625872249,0.4133118625872249,0.7108465608465608,0.6580572711959574,0.6467065868263473,0.6111111111111112,0.6535714285714286,0.6323412698412698,0.6959064327485379,0.7750999000999002,0.9575396825396826,0.6454992286442076,0.6861001317523057,0.3783164100884376,0.5950920245398773,0.478663672094329,1.2355144855144855,0.29261968980419645,1.0823451910408433,1.0805764821487065
93,propublica-recidivism,sex,Kamishima-DIavgall,eta=1.0,3,0.5713289152424136,0.5713289152424136,0.7785984507295982,0.7821582733812951,0.6856287425149701,0.6885245901639344,0.6849816849816851,0.6867531375728098,0.7058823529411765,0.7524875621890548,1.0035429051822495,0.68525824964132,0.6773049645390071,0.3102536997885835,0.6646341463414634,0.5889208633093526,1.1616915422885572,0.370882507318731,0.9787234042553192,0.9841437632135306
94,propublica-recidivism,sex,Kamishima-DIavgall,eta=1.0,4,0.5934731934731935,0.5934731934731935,0.8028041610131162,0.8561643835616438,0.6796407185628742,0.7121212121212122,0.6716417910447762,0.6918815015829942,0.7378048780487805,0.7691256830601093,1.040479421076436,0.6806671449067432,0.6773279352226719,0.3160653715695344,0.6235294117647059,0.5719178082191779,1.128415300546448,0.3633930051175558,0.908502024291498,0.8785075547332717
95,propublica-recidivism,sex,Kamishima-DIavgall,eta=1.0,5,0.6905210295040803,0.6905210295040803,0.8480739599383667,0.8284449363586055,0.6407185628742516,0.6271186440677966,0.6436363636363637,0.6353775038520801,0.6745562130177515,0.7059937611408199,0.9834822804314328,0.6403084095391788,0.625925925925926,0.3616300366300366,0.6060606060606061,0.5473159933591588,1.1031639928698749,0.2813239180156098,0.948148148148148,0.9946886446886448
96,propublica-recidivism,sex,Kamishima-DIavgall,eta=1.0,6,0.5564483728404982,0.5564483728404982,0.7902337070112103,0.7714285714285714,0.6467065868263473,0.631578947368421,0.6498194945848376,0.6406992209766293,0.7108433734939759,0.7704505411527812,0.9817594527835836,0.6470883534136547,0.6987277353689567,0.3838878016960209,0.5833333333333334,0.5071428571428571,1.1832368487289202,0.2965252046349457,1.0692111959287531,1.0417482061317678
97,propublica-recidivism,sex,Kamishima-DIavgall,eta=1.0,7,0.8815201192250371,0.8815201192250371,0.9427130246802378,1.012093023255814,0.6467065868263473,0.6885245901639344,0.6373626373626373,0.6629436137632858,0.6611111111111111,0.6840277777777778,1.051161952801297,0.6454906204906206,0.6145104895104896,0.2987841945288754,0.6298701298701299,0.633953488372093,1.0763888888888888,0.2905204627966961,1.0017482517482517,0.9167173252279636
98,propublica-recidivism,sex,Kamishima-DIavgall,eta=1.0,8,0.8354830218478547,0.8354830218478547,0.9219140429785108,1.048582995951417,0.6586826347305389,0.7413793103448276,0.6413043478260869,0.6913418290854573,0.7115384615384616,0.748991935483871,1.1000749625187407,0.6619490060501296,0.7207102555592433,0.3354679802955665,0.6123595505617978,0.6295546558704453,1.127016129032258,0.3241783219857815,1.0368403584467307,0.8433497536945813
