"","name","attribute","algorithm","DIbinary","DIavgall","CV","TNR","accuracy","BCR","MCC","0-accuracy","1-accuracy","sensitive-accuracy","sensitive-calibration+","sensitive-TNR","sensitive-calibration-","sensitive-TPR","comparative-sensitive-accuracy","comparative-sensitive-calibration+","comparative-sensitive-TNR","comparative-sensitive-calibration-","comparative-sensitive-TPR","TPR"
"1","propublica-violent-recidivism","race","SVM",0,1,1.00239808153477,1,0.821241585639491,0.504149377593361,0.0825412650614107,0.892116182572614,0.805656934306569,0.829098550185696,1,1,0.171145004970179,0.00584795321637427,0.936527120252108,1,1,1.06395999005964,1.01169590643275,0.00829875518672199
"2","propublica-violent-recidivism","race","SVM",0,1,1.00232558139535,1,0.854899027673897,0.505102040816326,0.0933875864636782,0.913194444444444,0.838894184938036,0.866669104383014,1,1,0.133534180703992,0.00657894736842105,0.917824581931647,1,1,1.08258198824237,1.01315789473684,0.0102040816326531
"3","propublica-violent-recidivism","race","SVM",0,1,1.00923787528868,0.999099099099099,0.834704562453254,0.514968051752193,0.145734443113078,0.906137184115523,0.816037735849057,0.842865408471975,0.9375,0.999285714285714,0.157413181298532,0.0210843373493976,0.944754171508706,0.875,0.998571428571429,1.05580300803231,1.0421686746988,0.0308370044052863
"4","propublica-violent-recidivism","race","SVM",9.52744630071599,9.52744630071599,1.01708907074292,0.993699369936994,0.833208676140613,0.518973578773807,0.126934323606822,0.910071942446043,0.813031161473088,0.841408353700241,0.3125,0.994404796664607,0.155922961920675,0.0304878048780488,0.935321717420521,1.625,0.993386252368116,1.06284993990561,1.0609756097561,0.0442477876106195
"5","propublica-violent-recidivism","race","SVM",8.41676646706587,8.41676646706587,1.01477443519336,0.993772241992883,0.841436050860135,0.515665463719446,0.108864141233705,0.909090909090909,0.82391713747646,0.848029439129709,0.285714285714286,0.994477671451356,0.148965163461141,0.0264900662251656,0.947054894195672,1.57142857142857,0.993500797448166,1.05042533690232,1.05298013245033,0.0375586854460094
"6","propublica-violent-recidivism","race","SVM",0,1,1.00942285041225,0.997366110623354,0.853403141361257,0.51130931793794,0.104172570909959,0.908771929824561,0.838403041825095,0.863658305817838,0.8125,0.997854077253219,0.135387224420577,0.0166666666666667,0.924037923111085,0.625,0.995708154506438,1.07405313736574,1.03333333333333,0.0252525252525253
"7","propublica-violent-recidivism","race","SVM",0,1,1.011641443539,0.998204667863555,0.837696335078534,0.517039553662719,0.147451018170083,0.886986301369863,0.823923444976077,0.844925256087403,0.9,0.998567335243553,0.154959563552493,0.0248447204968944,0.949264738116229,0.8,0.997134670487106,1.05050490116356,1.04968944099379,0.0358744394618834
"8","propublica-violent-recidivism","race","SVM",0,1,1.01190476190476,0.997338065661047,0.845923709798055,0.51533569949719,0.129529810327166,0.927335640138408,0.823473282442748,0.853965459423206,0.85,0.997816593886463,0.145295871615234,0.0228758169934641,0.937307176391683,0.7,0.995633187772926,1.0612154856852,1.04575163398693,0.0333333333333333
"9","propublica-violent-recidivism","race","SVM",0,1,1.00598086124402,0.999121265377856,0.853403141361257,0.509610883945209,0.112086648450249,0.942372881355932,0.828214971209213,0.859979801163224,0.9,0.999279538904899,0.139918718519639,0.0140845070422535,0.947504512506088,0.8,0.998559077809798,1.05229252685964,1.02816901408451,0.0201005025125628
"10","propublica-violent-recidivism","race","SVM",0,1,1.00692041522491,0.997304582210243,0.832460732984293,0.50534871967655,0.0597704838371863,0.91254752851711,0.812849162011173,0.840129819136666,0.75,0.997875354107649,0.158775051276349,0.0093167701863354,0.948344744656311,0.5,0.995750708215297,1.04946499616972,1.01863354037267,0.0133928571428571
"11","propublica-violent-recidivism","race","GaussianNB",1.04072834755451,1.04072834755451,1.03481747405257,0.124087591240876,0.260284218399402,0.501877820516703,0.00438926796998511,0.20746887966805,0.271897810218978,0.258736549527773,0.173171190371717,0.12860223144152,0.168924955330554,0.881453634085213,1.01250292012911,1.05797028772018,0.956973516000822,1.11867182846933,0.991478696741855,0.879668049792531
"12","propublica-violent-recidivism","race","GaussianNB",1.10642102083963,1.10642102083963,1.08589537321437,0.142857142857143,0.2528047868362,0.517857142857143,0.0366681721315346,0.236111111111111,0.257387988560534,0.255331285651602,0.139191017316017,0.154134210148615,0.114130434782609,0.89055023923445,0.98236068451075,1.07578463203463,0.906420845239493,1.1195652173913,1.00837320574163,0.892857142857143
"13","propublica-violent-recidivism","race","GaussianNB",1.07399070365715,1.07399070365715,1.06205165168699,0.128828828828829,0.262528047868362,0.522564194150097,0.0519215681848234,0.205776173285199,0.277358490566038,0.260276155592494,0.165822784810127,0.135993031358885,0.11735006119951,0.89610902626901,1.01524445555866,1.06835443037975,0.945156794425087,0.997858017135863,1.08730001975114,0.916299559471366
"14","propublica-violent-recidivism","race","GaussianNB",1.02968837691824,1.02968837691824,1.02504770878272,0.152115211521152,0.281226626776365,0.534022207530488,0.0733609243996324,0.183453237410072,0.306893295561851,0.274606492220718,0.169215434209496,0.153533669679294,0.101282051282051,0.901947285601888,1.05221899646548,1.08189880191068,0.986701206635477,0.997435897435897,1.06195908733281,0.915929203539823
"15","propublica-violent-recidivism","race","GaussianNB",1.02965291137183,1.02965291137183,1.0261087386979,0.104982206405694,0.232610321615557,0.505542746395335,0.0133345641935373,0.192727272727273,0.242937853107345,0.229126607343083,0.153366468017956,0.107741892610314,0.141666666666667,0.90050202948088,1.02797433022401,1.05786415775537,0.974574694311536,1.05,1.02681051057466,0.906103286384977
