name,attribute,percent_pos_class,algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sensitive-accuracy,0-accuracy_over_1-accuracy,sensitive-accuracyRatio,diff:1-accuracyto0-accuracy,comparative-sensitive-accuracy,0-TPR,1-TPR,sensitive-TPR,0-TPR_over_1-TPR,sensitive-TPRRatio,diff:1-TPRto0-TPR,comparative-sensitive-TPR,0-TNR,1-TNR,sensitive-TNR,0-TNR_over_1-TNR,sensitive-attr-TNRRatio,diff:1-TNRto0-TNR,comparative-sensitive-TNR,0-FPR,1-FPR,sensitive-attr-FPR,0-FPR_over_1-FPR,sensitive-attr-FPRRatio,diff:1-FPRto0-FPR,comparative-sensitive-attr-FPR,0-FNR,1-FNR,sensitive-attr-FNR,0-FNR_over_1-FNR,sensitive-attr-FNRRatio,diff:1-FNRto0-FNR,sensitive-attr-FNRDiff,0-calibration+,1-calibration+,sensitive-calibration+,0-calibration+_over_1-calibration+,sensitive-attr-calibration+Ratio,diff:1-calibration+to0-calibration+,comparative-sensitive-attr-calibration+,0-calibration-,1-calibration-,sensitive-calibration-,0-calibration-_over_1-calibration-,sensitive-calibration-Ratio,diff:1-calibration-to0-calibration-,comparative-sensitive-calibration-
two-gaussians,sensitive-attr,0.1,GaussianNB,,3,0.985074627,0.857142857,1,0.928571429,0.918200052,0,1,0.853658537,1,0.975609756,0.987804878,1.025,1.025,1.024390244,1.024390244,0,0.857142857,0.428571429,0,1,0.142857143,0.142857143,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.142857143,0.571428571,7,7,1.857142857,1.857142857,1,1,1,1,1,1,1,0,0.028571429,0.014285714,0,1,0.971428571,0.971428571
two-gaussians,sensitive-attr,0.1,GaussianNB,,4,0.940298507,0.2,1,0.6,0.433449868,0,1,0.96969697,0.970588235,0.909090909,0.939839572,1.067647059,1.067647059,1.061497326,1.061497326,0,0.25,0.125,0,1,0.75,0.75,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.75,0.875,1.333333333,1.333333333,1.25,1.25,1,1,1,1,1,1,1,0.029411765,0.09375,0.061580882,0.31372549,0.31372549,0.935661765,0.935661765
two-gaussians,sensitive-attr,0.1,GaussianNB,,5,0.985074627,0.8,1,0.9,0.887300168,0.343434343,0.343434343,0.942067736,1,0.970588235,0.985294118,1.03030303,1.03030303,1.029411765,1.029411765,1,0.75,0.875,1.333333333,1.333333333,1.25,1.25,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.25,0.125,0,1,0.75,0.75,1,1,1,1,1,1,1,0,0.032258065,0.016129032,0,1,0.967741935,0.967741935
two-gaussians,sensitive-attr,0.1,GaussianNB,,6,0.940298507,0.428571429,1,0.714285714,0.633865691,0.546875,0.546875,0.974107143,0.96875,0.914285714,0.941517857,1.059570313,1.059570313,1.054464286,1.054464286,0.5,0.4,0.45,1.25,1.25,1.1,1.1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.5,0.6,0.55,0.833333333,0.833333333,0.9,0.9,1,1,1,1,1,1,1,0.032258065,0.090909091,0.061583578,0.35483871,0.35483871,0.941348974,0.941348974
two-gaussians,sensitive-attr,0.1,GaussianNB,,7,0.985074627,0.875,1,0.9375,0.927586474,0.493333333,0.493333333,0.931531532,1,0.972972973,0.986486486,1.027777778,1.027777778,1.027027027,1.027027027,1,0.833333333,0.916666667,1.2,1.2,1.166666667,1.166666667,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.166666667,0.083333333,0,1,0.833333333,0.833333333,1,1,1,1,1,1,1,0,0.03125,0.015625,0,1,0.96875,0.96875
two-gaussians,sensitive-attr,0.1,GaussianNB,,8,0.910447761,0.333333333,1,0.666666667,0.549621082,0,1,0.921052632,0.965517241,0.868421053,0.916969147,1.111807732,1.111807732,1.097096189,1.097096189,0,0.375,0.1875,0,1,0.625,0.625,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.625,0.8125,1.6,1.6,1.375,1.375,1,1,1,1,1,1,1,0.034482759,0.142857143,0.088669951,0.24137931,0.24137931,0.891625616,0.891625616
two-gaussians,sensitive-attr,0.1,GaussianNB,,9,0.985074627,0.875,1,0.9375,0.927586474,0.524137931,0.524137931,0.93738657,1,0.973684211,0.986842105,1.027027027,1.027027027,1.026315789,1.026315789,1,0.833333333,0.916666667,1.2,1.2,1.166666667,1.166666667,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.166666667,0.083333333,0,1,0.833333333,0.833333333,1,1,1,1,1,1,1,0,0.03030303,0.015151515,0,1,0.96969697,0.96969697
two-gaussians,sensitive-attr,0.1,LR,,0,0.910447761,0.25,1,0.625,0.476364437,1.03030303,1.03030303,1.000891266,0.939393939,0.882352941,0.91087344,1.064646465,1.064646465,1.057040998,1.057040998,0.333333333,0.2,0.266666667,1.666666667,1.666666667,1.133333333,1.133333333,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.666666667,0.8,0.733333333,0.833333333,0.833333333,0.866666667,0.866666667,1,1,1,1,1,1,1,0.0625,0.121212121,0.091856061,0.515625,0.515625,0.941287879,0.941287879
two-gaussians,sensitive-attr,0.1,LR,,1,0.940298507,0.5,1,0.75,0.684290851,0.343434343,0.343434343,0.942067736,0.939393939,0.941176471,0.940285205,0.998106061,0.998106061,0.998217469,0.998217469,0.333333333,0.6,0.466666667,0.555555556,0.555555556,0.733333333,0.733333333,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.666666667,0.4,0.533333333,1.666666667,1.666666667,1.266666667,1.266666667,1,1,1,1,1,1,1,0.0625,0.064516129,0.063508065,0.96875,0.96875,0.997983871,0.997983871
two-gaussians,sensitive-attr,0.1,LR,,2,0.955223881,0.666666667,1,0.833333333,0.796165675,0.457142857,0.457142857,0.932142857,0.971428571,0.9375,0.954464286,1.036190476,1.036190476,1.033928571,1.033928571,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.333333333,0.333333333,0.333333333,1,1,1,1,1,1,1,1,1,1,1,0.03030303,0.071428571,0.050865801,0.424242424,0.424242424,0.958874459,0.958874459
